MetricName,RunIndex,CaseName,PhaseName,MetricValue,Scenario,Sequence,Size,Iteration,Tool
Memory,2,StatisticBasedCase,M2MTransformation2,19743792,BasicXform,8,16,2,BATCH_OPTIMIZED-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation2,1167757949,BasicXform,8,16,2,BATCH_OPTIMIZED-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation2,3099724112,BasicXform,8,16,2,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,Modification,265619,BasicXform,9,16,3,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,Modification,19744176,BasicXform,9,16,3,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation2,35512739477,BasicXform,10,16,3,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation2,20887992,BasicXform,10,16,3,BATCH_OPTIMIZED-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation2,3093518384,BasicXform,10,16,3,BATCH_OPTIMIZED-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation2,1112617476,BasicXform,10,16,3,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,Modification,255121,BasicXform,11,16,4,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,Modification,20888400,BasicXform,11,16,4,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation2,34519249471,BasicXform,12,16,4,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation2,21837512,BasicXform,12,16,4,BATCH_OPTIMIZED-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation2,3094318520,BasicXform,12,16,4,BATCH_OPTIMIZED-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation2,1290217634,BasicXform,12,16,4,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,Modification,256449,BasicXform,13,16,5,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,Modification,21837920,BasicXform,13,16,5,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation2,34672691916,BasicXform,14,16,5,BATCH_OPTIMIZED-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation2,22788392,BasicXform,14,16,5,BATCH_OPTIMIZED-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation2,982247596,BasicXform,14,16,5,BATCH_OPTIMIZED-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation2,3086871216,BasicXform,14,16,5,BATCH_OPTIMIZED-TEMPLATE
Time,2,StatisticBasedCase,EMFResourceInitialization,184498,BasicXform,1,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,EMFResourceInitialization,11141936,BasicXform,1,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,Generation,115775103,BasicXform,2,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,Generation,13149456,BasicXform,2,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,Initialization,131015789,BasicXform,3,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,Initialization,13355720,BasicXform,3,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,2,StatisticBasedCase,Initialization,32738504,BasicXform,3,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,2,StatisticBasedCase,Initialization,32738504,BasicXform,3,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation1,89470684,BasicXform,4,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation1,13686432,BasicXform,4,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation1,34841584,BasicXform,4,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation1,34841584,BasicXform,4,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,Modification,220271,BasicXform,5,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,Modification,13687176,BasicXform,5,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation2,67104970,BasicXform,6,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation2,13697432,BasicXform,6,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation2,35173056,BasicXform,6,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation2,35173056,BasicXform,6,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,Modification,171408,BasicXform,7,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,Modification,13698176,BasicXform,7,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation2,58880913,BasicXform,8,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation2,13706280,BasicXform,8,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation2,35184056,BasicXform,8,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation2,35184056,BasicXform,8,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,Modification,104838,BasicXform,9,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,Modification,13706928,BasicXform,9,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation2,47415375,BasicXform,10,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation2,13715512,BasicXform,10,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation2,35192808,BasicXform,10,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation2,35192808,BasicXform,10,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,Modification,123738,BasicXform,11,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,Modification,13716280,BasicXform,11,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation2,41297709,BasicXform,12,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation2,13723688,BasicXform,12,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation2,35202184,BasicXform,12,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation2,35202184,BasicXform,12,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,Modification,146852,BasicXform,13,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,Modification,13724496,BasicXform,13,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation2,36067361,BasicXform,14,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation2,13731672,BasicXform,14,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation2,35210376,BasicXform,14,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation2,35210376,BasicXform,14,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
Time,1,StatisticBasedCase,EMFResourceInitialization,261333,BasicXform,1,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,EMFResourceInitialization,11360880,BasicXform,1,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,Generation,5791503830,BasicXform,2,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,Generation,204390384,BasicXform,2,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,Initialization,739011041,BasicXform,3,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,Initialization,117687200,BasicXform,3,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,StatisticBasedCase,Initialization,228286548,BasicXform,3,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,StatisticBasedCase,Initialization,399674296,BasicXform,3,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,M2MTransformation1,550888095,BasicXform,4,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,M2MTransformation1,139471808,BasicXform,4,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,StatisticBasedCase,M2MTransformation1,332013464,BasicXform,4,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,StatisticBasedCase,M2MTransformation1,246269972,BasicXform,4,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,Modification,5027095,BasicXform,5,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,Modification,141450640,BasicXform,5,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,M2MTransformation2,16779,BasicXform,6,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,M2MTransformation2,141451408,BasicXform,6,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,StatisticBasedCase,M2MTransformation2,162870664,BasicXform,6,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,StatisticBasedCase,M2MTransformation2,184289920,BasicXform,6,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,Modification,1572540,BasicXform,7,16,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,Modification,141488648,BasicXform,7,16,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,M2MTransformation2,18960,BasicXform,8,16,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,M2MTransformation2,141489216,BasicXform,8,16,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,StatisticBasedCase,M2MTransformation2,184327928,BasicXform,8,16,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,StatisticBasedCase,M2MTransformation2,162908672,BasicXform,8,16,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,Modification,2613666,BasicXform,9,16,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,Modification,141525904,BasicXform,9,16,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,M2MTransformation2,16076,BasicXform,10,16,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,M2MTransformation2,141526472,BasicXform,10,16,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,StatisticBasedCase,M2MTransformation2,184365184,BasicXform,10,16,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,StatisticBasedCase,M2MTransformation2,184365184,BasicXform,10,16,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,Modification,1775482,BasicXform,11,16,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,Modification,141563376,BasicXform,11,16,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,M2MTransformation2,15121,BasicXform,12,16,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,M2MTransformation2,141563968,BasicXform,12,16,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,StatisticBasedCase,M2MTransformation2,162983424,BasicXform,12,16,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,StatisticBasedCase,M2MTransformation2,184402680,BasicXform,12,16,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,Modification,1622037,BasicXform,13,16,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,Modification,141600560,BasicXform,13,16,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,StatisticBasedCase,M2MTransformation2,14994,BasicXform,14,16,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,StatisticBasedCase,M2MTransformation2,141601128,BasicXform,14,16,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,StatisticBasedCase,M2MTransformation2,163020584,BasicXform,14,16,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,StatisticBasedCase,M2MTransformation2,184439840,BasicXform,14,16,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,2,StatisticBasedCase,EMFResourceInitialization,188461,BasicXform,1,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,2,StatisticBasedCase,EMFResourceInitialization,11270336,BasicXform,1,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,2,StatisticBasedCase,Generation,1701764050,BasicXform,2,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,2,StatisticBasedCase,Generation,58182448,BasicXform,2,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,2,StatisticBasedCase,Initialization,469740645,BasicXform,3,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,2,StatisticBasedCase,Initialization,38716400,BasicXform,3,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,2,StatisticBasedCase,Initialization,86165728,BasicXform,3,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,2,StatisticBasedCase,Initialization,138884376,BasicXform,3,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation1,390053822,BasicXform,4,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation1,48798328,BasicXform,4,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation1,102178236,BasicXform,4,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation1,144552088,BasicXform,4,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,2,StatisticBasedCase,Modification,3841422,BasicXform,5,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,2,StatisticBasedCase,Modification,49732168,BasicXform,5,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,2,StatisticBasedCase,M2MTransformation2,17302,BasicXform,6,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,2,StatisticBasedCase,M2MTransformation2,49732728,BasicXform,6,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,2,StatisticBasedCase,M2MTransformation2,70820160,BasicXform,6,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,2,StatisticBasedCase,M2MTransformation2,70820160,BasicXform,6,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
