CaseName,Scenario,Sequence,Tool,PhaseName,MetricName,MetricValue,RunIndex,Size,Iteration
StatisticBasedCase,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,AverageMemory,45691804,3,2,5
StatisticBasedCase,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,Time,501197,3,64,1
StatisticBasedCase,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,Memory,10186352,3,64,1
StatisticBasedCase,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,Time,64640865455,3,64,1
StatisticBasedCase,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,Memory,1721114656,3,64,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,Time,3900925883,3,64,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,Memory,262624440,3,64,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,AverageMemory,583699576,3,64,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,PeakMemory,1053863608,3,64,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,Time,31957325209,3,64,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,Memory,293209792,3,64,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,PeakMemory,2250142456,3,64,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,AverageMemory,1275655411,3,64,1
StatisticBasedCase,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Time,2426507,3,64,1
StatisticBasedCase,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Memory,293210032,3,64,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Time,31551178786,3,64,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Memory,293226800,3,64,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,PeakMemory,3011889600,3,64,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,AverageMemory,1637133512,3,64,1
StatisticBasedCase,BasicXform,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Time,650807,3,64,2
StatisticBasedCase,BasicXform,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Memory,293226784,3,64,2
StatisticBasedCase,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Time,31440066469,3,64,2
StatisticBasedCase,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Memory,293226968,3,64,2
StatisticBasedCase,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,PeakMemory,3546643184,3,64,2
StatisticBasedCase,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,AverageMemory,1873554891,3,64,2
StatisticBasedCase,BasicXform,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Time,533409,3,64,3
StatisticBasedCase,BasicXform,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Memory,293226952,3,64,3
StatisticBasedCase,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Time,31589656179,3,64,3
StatisticBasedCase,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Memory,293229352,3,64,3
StatisticBasedCase,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,PeakMemory,3426057112,3,64,3
StatisticBasedCase,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,AverageMemory,1802155654,3,64,3
StatisticBasedCase,BasicXform,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Time,665683,3,64,4
StatisticBasedCase,BasicXform,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Memory,293229376,3,64,4
StatisticBasedCase,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Time,31328545573,3,64,4
StatisticBasedCase,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Memory,293237640,3,64,4
StatisticBasedCase,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,AverageMemory,1818423341,3,64,4
StatisticBasedCase,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,PeakMemory,3311215912,3,64,4
StatisticBasedCase,BasicXform,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Time,355081,3,64,5
StatisticBasedCase,BasicXform,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Memory,293237648,3,64,5
StatisticBasedCase,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Time,31443669836,3,64,5
StatisticBasedCase,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Memory,293240792,3,64,5
StatisticBasedCase,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,AverageMemory,1699336525,3,64,5
StatisticBasedCase,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,PeakMemory,3214628208,3,64,5
StatisticBasedCase,BasicXform,1,BATCH_OPTIMIZED-TEMPLATE,EMFResourceInitialization,Time,325341,2,16,1
StatisticBasedCase,BasicXform,1,BATCH_OPTIMIZED-TEMPLATE,EMFResourceInitialization,Memory,9389104,2,16,1
StatisticBasedCase,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,Generation,Time,1610096121,2,16,1
StatisticBasedCase,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,Generation,Memory,48418744,2,16,1
StatisticBasedCase,BasicXform,3,BATCH_OPTIMIZED-TEMPLATE,Initialization,Time,14108,2,16,1
StatisticBasedCase,BasicXform,3,BATCH_OPTIMIZED-TEMPLATE,Initialization,Memory,12087408,2,16,1
StatisticBasedCase,BasicXform,3,BATCH_OPTIMIZED-TEMPLATE,Initialization,PeakMemory,32027920,2,16,1
StatisticBasedCase,BasicXform,3,BATCH_OPTIMIZED-TEMPLATE,Initialization,AverageMemory,22057764,2,16,1
StatisticBasedCase,BasicXform,4,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,Time,28122595762,2,16,1
StatisticBasedCase,BasicXform,4,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,Memory,15899272,2,16,1
StatisticBasedCase,BasicXform,4,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,PeakMemory,1450568248,2,16,1
StatisticBasedCase,BasicXform,4,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,AverageMemory,580254169,2,16,1
StatisticBasedCase,BasicXform,5,BATCH_OPTIMIZED-TEMPLATE,Modification,Time,271966,2,16,1
StatisticBasedCase,BasicXform,5,BATCH_OPTIMIZED-TEMPLATE,Modification,Memory,15899392,2,16,1
StatisticBasedCase,BasicXform,6,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Time,28314806058,2,16,1
StatisticBasedCase,BasicXform,6,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Memory,16883600,2,16,1
StatisticBasedCase,BasicXform,6,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,PeakMemory,1451150736,2,16,1
StatisticBasedCase,BasicXform,6,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,AverageMemory,657437375,2,16,1
StatisticBasedCase,BasicXform,7,BATCH_OPTIMIZED-TEMPLATE,Modification,Time,188198,2,16,2
StatisticBasedCase,BasicXform,7,BATCH_OPTIMIZED-TEMPLATE,Modification,Memory,16883688,2,16,2
StatisticBasedCase,BasicXform,8,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Time,28520778878,2,16,2
StatisticBasedCase,BasicXform,8,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Memory,17918432,2,16,2
StatisticBasedCase,BasicXform,8,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,PeakMemory,1452208760,2,16,2
StatisticBasedCase,BasicXform,8,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,AverageMemory,691419067,2,16,2
StatisticBasedCase,BasicXform,9,BATCH_OPTIMIZED-TEMPLATE,Modification,Time,173632,2,16,3
StatisticBasedCase,BasicXform,9,BATCH_OPTIMIZED-TEMPLATE,Modification,Memory,17918520,2,16,3
StatisticBasedCase,BasicXform,10,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Time,28631915483,2,16,3
StatisticBasedCase,BasicXform,10,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Memory,18856600,2,16,3
StatisticBasedCase,BasicXform,10,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,AverageMemory,670371542,2,16,3
StatisticBasedCase,BasicXform,10,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,PeakMemory,1452997784,2,16,3
StatisticBasedCase,BasicXform,11,BATCH_OPTIMIZED-TEMPLATE,Modification,Time,254611,2,16,4
StatisticBasedCase,BasicXform,11,BATCH_OPTIMIZED-TEMPLATE,Modification,Memory,18856712,2,16,4
StatisticBasedCase,BasicXform,12,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Time,28513842364,2,16,4
StatisticBasedCase,BasicXform,12,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Memory,19993104,2,16,4
StatisticBasedCase,BasicXform,12,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,PeakMemory,1454435760,2,16,4
StatisticBasedCase,BasicXform,12,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,AverageMemory,678347474,2,16,4
StatisticBasedCase,BasicXform,13,BATCH_OPTIMIZED-TEMPLATE,Modification,Time,183007,2,16,5
StatisticBasedCase,BasicXform,13,BATCH_OPTIMIZED-TEMPLATE,Modification,Memory,19993216,2,16,5
StatisticBasedCase,BasicXform,14,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Time,28568081387,2,16,5
StatisticBasedCase,BasicXform,14,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Memory,20934352,2,16,5
StatisticBasedCase,BasicXform,14,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,PeakMemory,1455162592,2,16,5
StatisticBasedCase,BasicXform,14,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,AverageMemory,704909472,2,16,5
StatisticBasedCase,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,EMFResourceInitialization,Time,328248,2,64,1
StatisticBasedCase,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,EMFResourceInitialization,Memory,10189312,2,64,1
StatisticBasedCase,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Generation,Time,73329371429,2,64,1
StatisticBasedCase,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Generation,Memory,1721263992,2,64,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,Time,2030227281,2,64,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,Memory,206633784,2,64,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,PeakMemory,759018368,2,64,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,AverageMemory,455634782,2,64,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,Time,1446605567,2,64,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,Memory,260696592,2,64,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,PeakMemory,1060127848,2,64,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,AverageMemory,676674272,2,64,1
StatisticBasedCase,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,Time,2566382,2,64,1
StatisticBasedCase,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,Memory,260697248,2,64,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,Time,1289141176,2,64,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,Memory,260693768,2,64,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,AverageMemory,755476986,2,64,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,PeakMemory,1114191696,2,64,1
StatisticBasedCase,BasicXform,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,Time,652620,2,64,2
StatisticBasedCase,BasicXform,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,Memory,260694200,2,64,2
StatisticBasedCase,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,Time,1237904618,2,64,2
StatisticBasedCase,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,Memory,260706512,2,64,2
StatisticBasedCase,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,PeakMemory,1151989696,2,64,2
StatisticBasedCase,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,AverageMemory,780212792,2,64,2
StatisticBasedCase,BasicXform,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,Time,636984,2,64,3
StatisticBasedCase,BasicXform,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,Memory,260706816,2,64,3
StatisticBasedCase,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,Time,1186323598,2,64,3
StatisticBasedCase,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,Memory,260714264,2,64,3
StatisticBasedCase,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,PeakMemory,1114201080,2,64,3
StatisticBasedCase,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,AverageMemory,780225352,2,64,3
StatisticBasedCase,BasicXform,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,Time,588133,2,64,4
StatisticBasedCase,BasicXform,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,Memory,260714688,2,64,4
StatisticBasedCase,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,Time,1162414898,2,64,4
StatisticBasedCase,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,Memory,260716920,2,64,4
StatisticBasedCase,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,PeakMemory,1114209040,2,64,4
StatisticBasedCase,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,AverageMemory,792602752,2,64,4
StatisticBasedCase,BasicXform,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,Time,297482,2,64,5
StatisticBasedCase,BasicXform,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,Memory,260717344,2,64,5
StatisticBasedCase,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,Time,1151602719,2,64,5
StatisticBasedCase,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,Memory,260726776,2,64,5
StatisticBasedCase,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,PeakMemory,1114212144,2,64,5
StatisticBasedCase,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,AverageMemory,792605722,2,64,5
StatisticBasedCase,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,Time,169266,2,1,1
StatisticBasedCase,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,Memory,9474312,2,1,1
StatisticBasedCase,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,Time,62864208,2,1,1
StatisticBasedCase,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,Memory,10642680,2,1,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,Time,112062447,2,1,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,Memory,12553736,2,1,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,PeakMemory,138439160,2,1,1
StatisticBasedCase,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,AverageMemory,74014572,2,1,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,Time,37357921,2,1,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,Memory,12832592,2,1,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,AverageMemory,34029184,2,1,1
StatisticBasedCase,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,PeakMemory,44766624,2,1,1
StatisticBasedCase,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Time,185332,2,1,1
StatisticBasedCase,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,Memory,12832408,2,1,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Time,37509165,2,1,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,Memory,12839304,2,1,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,AverageMemory,34308040,2,1,1
StatisticBasedCase,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,PeakMemory,34308040,2,1,1
