MetricName,PhaseName,Scenario,CaseName,Iteration,RunIndex,Size,Tool,MetricValue,Sequence
Time,M2MTransformation1,BasicXform,StatisticBasedCase,1,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,300574606,4
Memory,M2MTransformation1,BasicXform,StatisticBasedCase,1,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,63524720,4
PeakMemory,M2MTransformation1,BasicXform,StatisticBasedCase,1,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,172123208,4
AverageMemory,M2MTransformation1,BasicXform,StatisticBasedCase,1,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,115354068,4
Time,Modification,BasicXform,StatisticBasedCase,1,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5345866,5
Memory,Modification,BasicXform,StatisticBasedCase,1,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64659456,5
Time,M2MTransformation2,BasicXform,StatisticBasedCase,1,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,18308,6
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,1,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64660328,6
AverageMemory,M2MTransformation2,BasicXform,StatisticBasedCase,1,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,84991736,6
PeakMemory,M2MTransformation2,BasicXform,StatisticBasedCase,1,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,84991736,6
Time,Modification,BasicXform,StatisticBasedCase,2,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1685832,7
Memory,Modification,BasicXform,StatisticBasedCase,2,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64682872,7
Time,M2MTransformation2,BasicXform,StatisticBasedCase,2,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,22624,8
Memory,M2MTransformation2,BasicXform,StatisticBasedCase,2,1,16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,64683744,8
