Size,MetricValue,RunIndex,Scenario,MetricName,Tool,Sequence,CaseName,PhaseName,Iteration
8,11256840,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,1,StatisticBasedCase,EMFResourceInitialization,1
8,529914364,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,2,StatisticBasedCase,Generation,1
8,31724432,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,2,StatisticBasedCase,Generation,1
8,74604520,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,3,StatisticBasedCase,Initialization,1
8,19346536,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,3,StatisticBasedCase,Initialization,1
8,76748424,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,3,StatisticBasedCase,Initialization,1
8,55273588,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,3,StatisticBasedCase,Initialization,1
8,19664401986,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
8,20589088,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
8,598337353,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
8,1445546056,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
8,320147,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,5,StatisticBasedCase,Modification,1
8,20590208,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,5,StatisticBasedCase,Modification,1
8,18934484086,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
8,20593688,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
8,758645785,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
8,1452233040,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
8,474623,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,7,StatisticBasedCase,Modification,2
8,20594600,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,7,StatisticBasedCase,Modification,2
8,19993297953,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
8,20597616,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
8,1452823584,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
8,619637524,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
8,153172,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,9,StatisticBasedCase,Modification,3
8,20598520,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,9,StatisticBasedCase,Modification,3
8,19506319196,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
8,20601464,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
8,1452864352,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
8,700039825,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
8,104857,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,11,StatisticBasedCase,Modification,4
8,20602400,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,11,StatisticBasedCase,Modification,4
8,19702222528,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
8,20605880,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
8,680908687,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
8,1452810912,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
8,199478,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,13,StatisticBasedCase,Modification,5
8,20606816,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,13,StatisticBasedCase,Modification,5
8,19930416938,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,14,StatisticBasedCase,M2MTransformation2,5
8,20609768,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,14,StatisticBasedCase,M2MTransformation2,5
8,744964676,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,14,StatisticBasedCase,M2MTransformation2,5
8,1452868552,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,14,StatisticBasedCase,M2MTransformation2,5
8,205846,1,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,EMFResourceInitialization,1
8,11249176,1,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,EMFResourceInitialization,1
8,843312980,1,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,StatisticBasedCase,Generation,1
8,57305992,1,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,StatisticBasedCase,Generation,1
8,69720141,1,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Initialization,1
8,15907192,1,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Initialization,1
8,76757200,1,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Initialization,1
8,55282340,1,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Initialization,1
8,4609589522,1,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
8,17880176,1,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
8,1091959384,1,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
8,431415066,1,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
8,392406,1,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,StatisticBasedCase,Modification,1
8,17880568,1,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,StatisticBasedCase,Modification,1
8,4043071368,1,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
8,17884480,1,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
8,522047025,1,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
8,1444498032,1,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
8,232185,1,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,StatisticBasedCase,Modification,2
8,17884648,1,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,7,StatisticBasedCase,Modification,2
8,4904127424,1,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
8,17896344,1,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
