Iteration,MetricName,Scenario,Tool,PhaseName,MetricValue,RunIndex,Size,Sequence,CaseName
1,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,329908968,2,64,6,StatisticBasedCase
1,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1093096680,2,64,6,StatisticBasedCase
1,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,813257826,2,64,6,StatisticBasedCase
2,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,673186,2,64,7,StatisticBasedCase
2,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,329909368,2,64,7,StatisticBasedCase
2,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1073112462,2,64,8,StatisticBasedCase
2,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,329909928,2,64,8,StatisticBasedCase
2,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1131760144,2,64,8,StatisticBasedCase
2,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,838751752,2,64,8,StatisticBasedCase
3,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,566089,2,64,9,StatisticBasedCase
3,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,329910328,2,64,9,StatisticBasedCase
3,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1056312227,2,64,10,StatisticBasedCase
3,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,329927624,2,64,10,StatisticBasedCase
3,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1093108176,2,64,10,StatisticBasedCase
3,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,838709170,2,64,10,StatisticBasedCase
4,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,611262,2,64,11,StatisticBasedCase
4,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,329928080,2,64,11,StatisticBasedCase
4,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1060809949,2,64,12,StatisticBasedCase
4,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,329930888,2,64,12,StatisticBasedCase
4,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1093191384,2,64,12,StatisticBasedCase
4,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,838770570,2,64,12,StatisticBasedCase
5,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,323184,2,64,13,StatisticBasedCase
5,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,329931408,2,64,13,StatisticBasedCase
5,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1045045603,2,64,14,StatisticBasedCase
5,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,329931192,2,64,14,StatisticBasedCase
5,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1093194680,2,64,14,StatisticBasedCase
5,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,838773866,2,64,14,StatisticBasedCase
1,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,711802,2,1,1,StatisticBasedCase
1,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,9556688,2,1,1,StatisticBasedCase
1,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,58826632,2,1,2,StatisticBasedCase
1,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,10726720,2,1,2,StatisticBasedCase
1,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,47866297,2,1,3,StatisticBasedCase
1,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,13013096,2,1,3,StatisticBasedCase
1,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,63359432,2,1,3,StatisticBasedCase
1,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,41884568,2,1,3,StatisticBasedCase
1,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,25929458,2,1,4,StatisticBasedCase
1,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,13289672,2,1,4,StatisticBasedCase
1,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,34488528,2,1,4,StatisticBasedCase
1,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,34488528,2,1,4,StatisticBasedCase
1,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,245192,2,1,5,StatisticBasedCase
1,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,13289680,2,1,5,StatisticBasedCase
1,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,26138662,2,1,6,StatisticBasedCase
1,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,13296280,2,1,6,StatisticBasedCase
