MetricValue,MetricName,CaseName,Size,PhaseName,RunIndex,Iteration,Tool,Sequence,Scenario
1377215099,AverageMemory,LowSynchCase,64,M2MTransformation2,3,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
483738,Time,LowSynchCase,128,EMFResourceInitialization,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,BasicXform
11144072,Memory,LowSynchCase,128,EMFResourceInitialization,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,BasicXform
7590954280,Time,LowSynchCase,128,Generation,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,BasicXform
689379960,Memory,LowSynchCase,128,Generation,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,BasicXform
1718084812,Time,LowSynchCase,128,Initialization,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
701254456,Memory,LowSynchCase,128,Initialization,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
1319787184,PeakMemory,LowSynchCase,128,Initialization,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
731942221,AverageMemory,LowSynchCase,128,Initialization,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
2912183090,Time,LowSynchCase,128,M2MTransformation1,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
1231590800,Memory,LowSynchCase,128,M2MTransformation1,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
2100761373,AverageMemory,LowSynchCase,128,M2MTransformation1,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
3404039336,PeakMemory,LowSynchCase,128,M2MTransformation1,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
165570,Time,LowSynchCase,128,Modification,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,BasicXform
1231532824,Memory,LowSynchCase,128,Modification,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,BasicXform
4148201052,Time,LowSynchCase,128,M2MTransformation2,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
1231555424,Memory,LowSynchCase,128,M2MTransformation2,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
4213829088,PeakMemory,LowSynchCase,128,M2MTransformation2,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
2807285252,AverageMemory,LowSynchCase,128,M2MTransformation2,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
146527,Time,LowSynchCase,128,Modification,2,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,BasicXform
1231561488,Memory,LowSynchCase,128,Modification,2,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,BasicXform
4106511607,Time,LowSynchCase,128,M2MTransformation2,2,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
1231583528,Memory,LowSynchCase,128,M2MTransformation2,2,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
2697984635,AverageMemory,LowSynchCase,128,M2MTransformation2,2,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
4249780400,PeakMemory,LowSynchCase,128,M2MTransformation2,2,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
100314,Time,LowSynchCase,128,Modification,2,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,BasicXform
1231589736,Memory,LowSynchCase,128,Modification,2,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,BasicXform
4103541265,Time,LowSynchCase,128,M2MTransformation2,2,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
1231612080,Memory,LowSynchCase,128,M2MTransformation2,2,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
2688713216,AverageMemory,LowSynchCase,128,M2MTransformation2,2,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
4229100136,PeakMemory,LowSynchCase,128,M2MTransformation2,2,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
113344,Time,LowSynchCase,128,Modification,2,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11,BasicXform
1231618416,Memory,LowSynchCase,128,Modification,2,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11,BasicXform
3744410172,Time,LowSynchCase,128,M2MTransformation2,2,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
1231640840,Memory,LowSynchCase,128,M2MTransformation2,2,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
2587700118,AverageMemory,LowSynchCase,128,M2MTransformation2,2,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
4217485488,PeakMemory,LowSynchCase,128,M2MTransformation2,2,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
127868,Time,LowSynchCase,128,Modification,2,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,13,BasicXform
1231647368,Memory,LowSynchCase,128,Modification,2,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,13,BasicXform
3742925552,Time,LowSynchCase,128,M2MTransformation2,2,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
1231669352,Memory,LowSynchCase,128,M2MTransformation2,2,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
2584252904,AverageMemory,LowSynchCase,128,M2MTransformation2,2,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
4209860616,PeakMemory,LowSynchCase,128,M2MTransformation2,2,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
1053120,Time,LowSynchCase,128,EMFResourceInitialization,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,BasicXform
11143776,Memory,LowSynchCase,128,EMFResourceInitialization,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,BasicXform
7991260007,Time,LowSynchCase,128,Generation,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,BasicXform
689377520,Memory,LowSynchCase,128,Generation,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,BasicXform
1745722694,Time,LowSynchCase,128,Initialization,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
701251888,Memory,LowSynchCase,128,Initialization,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
1310185880,PeakMemory,LowSynchCase,128,Initialization,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
727439642,AverageMemory,LowSynchCase,128,Initialization,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
2995829874,Time,LowSynchCase,128,M2MTransformation1,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
1231588728,Memory,LowSynchCase,128,M2MTransformation1,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
2076749393,AverageMemory,LowSynchCase,128,M2MTransformation1,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
3388806352,PeakMemory,LowSynchCase,128,M2MTransformation1,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
170181,Time,LowSynchCase,128,Modification,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,BasicXform
1231530848,Memory,LowSynchCase,128,Modification,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,BasicXform
3750657739,Time,LowSynchCase,128,M2MTransformation2,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
1231553376,Memory,LowSynchCase,128,M2MTransformation2,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
4207726936,PeakMemory,LowSynchCase,128,M2MTransformation2,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
2599314813,AverageMemory,LowSynchCase,128,M2MTransformation2,3,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
145005,Time,LowSynchCase,128,Modification,3,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,BasicXform
1231559440,Memory,LowSynchCase,128,Modification,3,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,BasicXform
3725100668,Time,LowSynchCase,128,M2MTransformation2,3,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
1231581480,Memory,LowSynchCase,128,M2MTransformation2,3,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
2587625199,AverageMemory,LowSynchCase,128,M2MTransformation2,3,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
4182393312,PeakMemory,LowSynchCase,128,M2MTransformation2,3,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
176265,Time,LowSynchCase,128,Modification,3,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,BasicXform
1231587688,Memory,LowSynchCase,128,Modification,3,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,BasicXform
3712286018,Time,LowSynchCase,128,M2MTransformation2,3,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
1231610032,Memory,LowSynchCase,128,M2MTransformation2,3,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
2604122757,AverageMemory,LowSynchCase,128,M2MTransformation2,3,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
4226208896,PeakMemory,LowSynchCase,128,M2MTransformation2,3,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
115956,Time,LowSynchCase,128,Modification,3,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11,BasicXform
1231616368,Memory,LowSynchCase,128,Modification,3,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11,BasicXform
3702190851,Time,LowSynchCase,128,M2MTransformation2,3,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
1231638792,Memory,LowSynchCase,128,M2MTransformation2,3,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
2611702340,AverageMemory,LowSynchCase,128,M2MTransformation2,3,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
4215585288,PeakMemory,LowSynchCase,128,M2MTransformation2,3,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
141977,Time,LowSynchCase,128,Modification,3,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,13,BasicXform
1231645320,Memory,LowSynchCase,128,Modification,3,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,13,BasicXform
3690359630,Time,LowSynchCase,128,M2MTransformation2,3,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
1231667304,Memory,LowSynchCase,128,M2MTransformation2,3,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
2608492176,AverageMemory,LowSynchCase,128,M2MTransformation2,3,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
4208610568,PeakMemory,LowSynchCase,128,M2MTransformation2,3,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
461656,Time,LowSynchCase,128,EMFResourceInitialization,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,BasicXform
11145704,Memory,LowSynchCase,128,EMFResourceInitialization,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,BasicXform
7954086650,Time,LowSynchCase,128,Generation,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,BasicXform
689379976,Memory,LowSynchCase,128,Generation,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,BasicXform
1758898990,Time,LowSynchCase,128,Initialization,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
705105112,Memory,LowSynchCase,128,Initialization,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
1249308808,PeakMemory,LowSynchCase,128,Initialization,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
707743490,AverageMemory,LowSynchCase,128,Initialization,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
2953069820,Time,LowSynchCase,128,M2MTransformation1,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
1235442568,Memory,LowSynchCase,128,M2MTransformation1,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
3471958488,PeakMemory,LowSynchCase,128,M2MTransformation1,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
2120607229,AverageMemory,LowSynchCase,128,M2MTransformation1,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
229093,Time,LowSynchCase,128,Modification,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,BasicXform
1235383536,Memory,LowSynchCase,128,Modification,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,BasicXform
3708778268,Time,LowSynchCase,128,M2MTransformation2,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
1235406064,Memory,LowSynchCase,128,M2MTransformation2,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
2638919560,AverageMemory,LowSynchCase,128,M2MTransformation2,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
4270055264,PeakMemory,LowSynchCase,128,M2MTransformation2,1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
172493,Time,LowSynchCase,128,Modification,1,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,BasicXform
1235412128,Memory,LowSynchCase,128,Modification,1,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,BasicXform
3696763600,Time,LowSynchCase,128,M2MTransformation2,1,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
1235434168,Memory,LowSynchCase,128,M2MTransformation2,1,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
2627671404,AverageMemory,LowSynchCase,128,M2MTransformation2,1,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
4245701704,PeakMemory,LowSynchCase,128,M2MTransformation2,1,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform
144969,Time,LowSynchCase,128,Modification,1,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,BasicXform
1235440376,Memory,LowSynchCase,128,Modification,1,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9,BasicXform
3660961402,Time,LowSynchCase,128,M2MTransformation2,1,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
1235462504,Memory,LowSynchCase,128,M2MTransformation2,1,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
4229706232,PeakMemory,LowSynchCase,128,M2MTransformation2,1,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
2645240953,AverageMemory,LowSynchCase,128,M2MTransformation2,1,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,10,BasicXform
104140,Time,LowSynchCase,128,Modification,1,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11,BasicXform
1235468840,Memory,LowSynchCase,128,Modification,1,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11,BasicXform
3951165191,Time,LowSynchCase,128,M2MTransformation2,1,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
1235491360,Memory,LowSynchCase,128,M2MTransformation2,1,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
4282004648,PeakMemory,LowSynchCase,128,M2MTransformation2,1,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
2628006673,AverageMemory,LowSynchCase,128,M2MTransformation2,1,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,12,BasicXform
122314,Time,LowSynchCase,128,Modification,1,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,13,BasicXform
1235497888,Memory,LowSynchCase,128,Modification,1,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,13,BasicXform
3951034027,Time,LowSynchCase,128,M2MTransformation2,1,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
1235519872,Memory,LowSynchCase,128,M2MTransformation2,1,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
4275141864,PeakMemory,LowSynchCase,128,M2MTransformation2,1,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
2612643050,AverageMemory,LowSynchCase,128,M2MTransformation2,1,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,14,BasicXform
365470,Time,LowSynchCase,64,EMFResourceInitialization,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,BasicXform
11134344,Memory,LowSynchCase,64,EMFResourceInitialization,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,BasicXform
3417896911,Time,LowSynchCase,64,Generation,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,BasicXform
312724144,Memory,LowSynchCase,64,Generation,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,BasicXform
757024678,Time,LowSynchCase,64,Initialization,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
318190640,Memory,LowSynchCase,64,Initialization,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
348297848,AverageMemory,LowSynchCase,64,Initialization,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
615320096,PeakMemory,LowSynchCase,64,Initialization,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform
1362269395,Time,LowSynchCase,64,M2MTransformation1,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
550009472,Memory,LowSynchCase,64,M2MTransformation1,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
1598829608,PeakMemory,LowSynchCase,64,M2MTransformation1,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
1072210986,AverageMemory,LowSynchCase,64,M2MTransformation1,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform
166576,Time,LowSynchCase,64,Modification,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,BasicXform
549968288,Memory,LowSynchCase,64,Modification,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,BasicXform
1701344033,Time,LowSynchCase,64,M2MTransformation2,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
549990864,Memory,LowSynchCase,64,M2MTransformation2,2,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform
