MetricValue,RunIndex,Scenario,Sequence,Tool,MetricName,PhaseName,CaseName,Size,Iteration
351822,2,BasicXform,5,BATCH_OPTIMIZED-TEMPLATE,Time,Modification,StatisticBasedCase,16,1
16141136,2,BasicXform,5,BATCH_OPTIMIZED-TEMPLATE,Memory,Modification,StatisticBasedCase,16,1
36119926045,2,BasicXform,6,BATCH_OPTIMIZED-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,16,1
17184408,2,BasicXform,6,BATCH_OPTIMIZED-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,16,1
3403151080,2,BasicXform,6,BATCH_OPTIMIZED-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,16,1
1281519163,2,BasicXform,6,BATCH_OPTIMIZED-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,16,1
191862,2,BasicXform,7,BATCH_OPTIMIZED-TEMPLATE,Time,Modification,StatisticBasedCase,16,2
17184496,2,BasicXform,7,BATCH_OPTIMIZED-TEMPLATE,Memory,Modification,StatisticBasedCase,16,2
37878106424,2,BasicXform,8,BATCH_OPTIMIZED-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,16,2
18131128,2,BasicXform,8,BATCH_OPTIMIZED-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,16,2
1255277258,2,BasicXform,8,BATCH_OPTIMIZED-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,16,2
3396774224,2,BasicXform,8,BATCH_OPTIMIZED-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,16,2
162619,2,BasicXform,9,BATCH_OPTIMIZED-TEMPLATE,Time,Modification,StatisticBasedCase,16,3
18131216,2,BasicXform,9,BATCH_OPTIMIZED-TEMPLATE,Memory,Modification,StatisticBasedCase,16,3
35561960344,2,BasicXform,10,BATCH_OPTIMIZED-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,16,3
19276208,2,BasicXform,10,BATCH_OPTIMIZED-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,16,3
3391740832,2,BasicXform,10,BATCH_OPTIMIZED-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,16,3
1092355556,2,BasicXform,10,BATCH_OPTIMIZED-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,16,3
162172,2,BasicXform,11,BATCH_OPTIMIZED-TEMPLATE,Time,Modification,StatisticBasedCase,16,4
19276320,2,BasicXform,11,BATCH_OPTIMIZED-TEMPLATE,Memory,Modification,StatisticBasedCase,16,4
37113843632,2,BasicXform,12,BATCH_OPTIMIZED-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,16,4
20226352,2,BasicXform,12,BATCH_OPTIMIZED-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,16,4
1012441979,2,BasicXform,12,BATCH_OPTIMIZED-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,16,4
3385300120,2,BasicXform,12,BATCH_OPTIMIZED-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,16,4
225447,2,BasicXform,13,BATCH_OPTIMIZED-TEMPLATE,Time,Modification,StatisticBasedCase,16,5
20226464,2,BasicXform,13,BATCH_OPTIMIZED-TEMPLATE,Memory,Modification,StatisticBasedCase,16,5
36319593984,2,BasicXform,14,BATCH_OPTIMIZED-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,16,5
21177848,2,BasicXform,14,BATCH_OPTIMIZED-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,16,5
3386569728,2,BasicXform,14,BATCH_OPTIMIZED-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,16,5
1111143127,2,BasicXform,14,BATCH_OPTIMIZED-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,16,5
299616,2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,EMFResourceInitialization,StatisticBasedCase,2,1
9524056,2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,EMFResourceInitialization,StatisticBasedCase,2,1
98741689,2,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Generation,StatisticBasedCase,2,1
11477208,2,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Generation,StatisticBasedCase,2,1
55860168,2,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Initialization,StatisticBasedCase,2,1
12130264,2,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Initialization,StatisticBasedCase,2,1
52708136,2,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,Initialization,StatisticBasedCase,2,1
95657848,2,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,Initialization,StatisticBasedCase,2,1
47902615,2,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation1,StatisticBasedCase,2,1
12693640,2,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation1,StatisticBasedCase,2,1
55080560,2,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation1,StatisticBasedCase,2,1
44343128,2,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation1,StatisticBasedCase,2,1
215315,2,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,2,1
12693520,2,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,2,1
48312973,2,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,2,1
12698624,2,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,2,1
44906584,2,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,2,1
55644016,2,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,2,1
240433,2,BasicXform,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,2,2
12698424,2,BasicXform,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,2,2
45017634,2,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,2,2
12710160,2,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,2,2
77123768,2,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,2,2
44911484,2,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,2,2
178886,2,BasicXform,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,2,3
12708912,2,BasicXform,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,2,3
42174703,2,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,2,3
12714752,2,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,2,3
55659400,2,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,2,3
44921972,2,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,2,3
142111,2,BasicXform,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,2,4
12714560,2,BasicXform,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,2,4
40088850,2,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,2,4
12719856,2,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,2,4
55665072,2,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,2,4
44927644,2,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,2,4
117716,2,BasicXform,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,2,5
12719640,2,BasicXform,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,2,5
38213782,2,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,2,5
12725056,2,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,2,5
55670112,2,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,2,5
44932692,2,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,2,5
180973,3,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,EMFResourceInitialization,StatisticBasedCase,32,1
9863160,3,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,EMFResourceInitialization,StatisticBasedCase,32,1
16993201509,3,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Generation,StatisticBasedCase,32,1
386700680,3,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Generation,StatisticBasedCase,32,1
583875026,3,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Initialization,StatisticBasedCase,32,1
37671616,3,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Initialization,StatisticBasedCase,32,1
145859504,3,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,Initialization,StatisticBasedCase,32,1
209918296,3,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,Initialization,StatisticBasedCase,32,1
648012247,3,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation1,StatisticBasedCase,32,1
50010856,3,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation1,StatisticBasedCase,32,1
614200296,3,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation1,StatisticBasedCase,32,1
357965152,3,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation1,StatisticBasedCase,32,1
495394,3,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,32,1
50009752,3,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,32,1
555929349,3,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,32,1
50022280,3,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,32,1
370304572,3,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,32,1
626539832,3,BasicXform,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,32,1
400901,3,BasicXform,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,32,2
50022064,3,BasicXform,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,32,2
511881706,3,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,32,2
50025560,3,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,32,2
370316760,3,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,32,2
626551896,3,BasicXform,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,32,2
328635,3,BasicXform,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,32,3
50025344,3,BasicXform,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,32,3
480204398,3,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,32,3
50031184,3,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,32,3
626555416,3,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,32,3
370320160,3,BasicXform,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,32,3
338685,3,BasicXform,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,32,4
50031000,3,BasicXform,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,32,4
475954034,3,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,32,4
50036368,3,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,32,4
370325904,3,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,32,4
626561224,3,BasicXform,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,32,4
353694,3,BasicXform,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,Modification,StatisticBasedCase,32,5
50036184,3,BasicXform,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,Modification,StatisticBasedCase,32,5
476259568,3,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,32,5
50042408,3,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,32,5
690990648,3,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,32,5
370330932,3,BasicXform,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,32,5
401510,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,EMFResourceInitialization,StatisticBasedCase,16,1
9762640,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,EMFResourceInitialization,StatisticBasedCase,16,1
3558427966,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,Generation,StatisticBasedCase,16,1
104229344,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,Generation,StatisticBasedCase,16,1
557909956,1,BasicXform,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,Initialization,StatisticBasedCase,16,1
59083808,1,BasicXform,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,Initialization,StatisticBasedCase,16,1
148259732,1,BasicXform,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,Initialization,StatisticBasedCase,16,1
242382088,1,BasicXform,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,Initialization,StatisticBasedCase,16,1
362725845,1,BasicXform,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,M2MTransformation1,StatisticBasedCase,16,1
69930832,1,BasicXform,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,M2MTransformation1,StatisticBasedCase,16,1
227138088,1,BasicXform,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,M2MTransformation1,StatisticBasedCase,16,1
153202640,1,BasicXform,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,M2MTransformation1,StatisticBasedCase,16,1
4384479,1,BasicXform,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,Modification,StatisticBasedCase,16,1
70300944,1,BasicXform,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,Modification,StatisticBasedCase,16,1
19522,1,BasicXform,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,16,1
70301816,1,BasicXform,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,16,1
111959376,1,BasicXform,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,16,1
111959376,1,BasicXform,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,16,1
1428420,1,BasicXform,7,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,Modification,StatisticBasedCase,16,2
70329360,1,BasicXform,7,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,Modification,StatisticBasedCase,16,2
19895,1,BasicXform,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Time,M2MTransformation2,StatisticBasedCase,16,2
70330232,1,BasicXform,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Memory,M2MTransformation2,StatisticBasedCase,16,2
111987792,1,BasicXform,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,PeakMemory,M2MTransformation2,StatisticBasedCase,16,2
111987792,1,BasicXform,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,AverageMemory,M2MTransformation2,StatisticBasedCase,16,2
