MetricValue,Iteration,Size,Scenario,MetricName,CaseName,RunIndex,PhaseName,Sequence,Tool
211419,2,16,BasicXform,Time,StatisticBasedCase,2,Modification,7,BATCH_OPTIMIZED-TEMPLATE
17004664,2,16,BasicXform,Memory,StatisticBasedCase,2,Modification,7,BATCH_OPTIMIZED-TEMPLATE
36140388274,2,16,BasicXform,Time,StatisticBasedCase,2,M2MTransformation2,8,BATCH_OPTIMIZED-TEMPLATE
18039528,2,16,BasicXform,Memory,StatisticBasedCase,2,M2MTransformation2,8,BATCH_OPTIMIZED-TEMPLATE
1452534536,2,16,BasicXform,PeakMemory,StatisticBasedCase,2,M2MTransformation2,8,BATCH_OPTIMIZED-TEMPLATE
657796250,2,16,BasicXform,AverageMemory,StatisticBasedCase,2,M2MTransformation2,8,BATCH_OPTIMIZED-TEMPLATE
181018,3,16,BasicXform,Time,StatisticBasedCase,2,Modification,9,BATCH_OPTIMIZED-TEMPLATE
18038624,3,16,BasicXform,Memory,StatisticBasedCase,2,Modification,9,BATCH_OPTIMIZED-TEMPLATE
36748345271,3,16,BasicXform,Time,StatisticBasedCase,2,M2MTransformation2,10,BATCH_OPTIMIZED-TEMPLATE
18975520,3,16,BasicXform,Memory,StatisticBasedCase,2,M2MTransformation2,10,BATCH_OPTIMIZED-TEMPLATE
1453380032,3,16,BasicXform,PeakMemory,StatisticBasedCase,2,M2MTransformation2,10,BATCH_OPTIMIZED-TEMPLATE
678860489,3,16,BasicXform,AverageMemory,StatisticBasedCase,2,M2MTransformation2,10,BATCH_OPTIMIZED-TEMPLATE
161341,4,16,BasicXform,Time,StatisticBasedCase,2,Modification,11,BATCH_OPTIMIZED-TEMPLATE
18975632,4,16,BasicXform,Memory,StatisticBasedCase,2,Modification,11,BATCH_OPTIMIZED-TEMPLATE
36028423290,4,16,BasicXform,Time,StatisticBasedCase,2,M2MTransformation2,12,BATCH_OPTIMIZED-TEMPLATE
20110544,4,16,BasicXform,Memory,StatisticBasedCase,2,M2MTransformation2,12,BATCH_OPTIMIZED-TEMPLATE
1454661176,4,16,BasicXform,PeakMemory,StatisticBasedCase,2,M2MTransformation2,12,BATCH_OPTIMIZED-TEMPLATE
629113676,4,16,BasicXform,AverageMemory,StatisticBasedCase,2,M2MTransformation2,12,BATCH_OPTIMIZED-TEMPLATE
205244,5,16,BasicXform,Time,StatisticBasedCase,2,Modification,13,BATCH_OPTIMIZED-TEMPLATE
20110656,5,16,BasicXform,Memory,StatisticBasedCase,2,Modification,13,BATCH_OPTIMIZED-TEMPLATE
36756563831,5,16,BasicXform,Time,StatisticBasedCase,2,M2MTransformation2,14,BATCH_OPTIMIZED-TEMPLATE
21050080,5,16,BasicXform,Memory,StatisticBasedCase,2,M2MTransformation2,14,BATCH_OPTIMIZED-TEMPLATE
665941317,5,16,BasicXform,AverageMemory,StatisticBasedCase,2,M2MTransformation2,14,BATCH_OPTIMIZED-TEMPLATE
1455394720,5,16,BasicXform,PeakMemory,StatisticBasedCase,2,M2MTransformation2,14,BATCH_OPTIMIZED-TEMPLATE
283281,1,2,BasicXform,Time,StatisticBasedCase,2,EMFResourceInitialization,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
9517656,1,2,BasicXform,Memory,StatisticBasedCase,2,EMFResourceInitialization,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
107981457,1,2,BasicXform,Time,StatisticBasedCase,2,Generation,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12202232,1,2,BasicXform,Memory,StatisticBasedCase,2,Generation,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
56476002,1,2,BasicXform,Time,StatisticBasedCase,2,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12129496,1,2,BasicXform,Memory,StatisticBasedCase,2,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
74186824,1,2,BasicXform,PeakMemory,StatisticBasedCase,2,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
52711988,1,2,BasicXform,AverageMemory,StatisticBasedCase,2,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
50125401,1,2,BasicXform,Time,StatisticBasedCase,2,M2MTransformation1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12716400,1,2,BasicXform,Memory,StatisticBasedCase,2,M2MTransformation1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
44342356,1,2,BasicXform,AverageMemory,StatisticBasedCase,2,M2MTransformation1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
55079784,1,2,BasicXform,PeakMemory,StatisticBasedCase,2,M2MTransformation1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
276095,1,2,BasicXform,Time,StatisticBasedCase,2,Modification,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12716304,1,2,BasicXform,Memory,StatisticBasedCase,2,Modification,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
47661589,1,2,BasicXform,Time,StatisticBasedCase,2,M2MTransformation2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12722520,1,2,BasicXform,Memory,StatisticBasedCase,2,M2MTransformation2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
77141616,1,2,BasicXform,PeakMemory,StatisticBasedCase,2,M2MTransformation2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
44929348,1,2,BasicXform,AverageMemory,StatisticBasedCase,2,M2MTransformation2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
158113,2,2,BasicXform,Time,StatisticBasedCase,2,Modification,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12722296,2,2,BasicXform,Memory,StatisticBasedCase,2,Modification,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
51955528,2,2,BasicXform,Time,StatisticBasedCase,2,M2MTransformation2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12729712,2,2,BasicXform,Memory,StatisticBasedCase,2,M2MTransformation2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
77147640,2,2,BasicXform,PeakMemory,StatisticBasedCase,2,M2MTransformation2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
44935356,2,2,BasicXform,AverageMemory,StatisticBasedCase,2,M2MTransformation2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
313218,3,2,BasicXform,Time,StatisticBasedCase,2,Modification,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12729528,3,2,BasicXform,Memory,StatisticBasedCase,2,Modification,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
51602973,3,2,BasicXform,Time,StatisticBasedCase,2,M2MTransformation2,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12742032,3,2,BasicXform,Memory,StatisticBasedCase,2,M2MTransformation2,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
44942620,3,2,BasicXform,AverageMemory,StatisticBasedCase,2,M2MTransformation2,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
55680080,3,2,BasicXform,PeakMemory,StatisticBasedCase,2,M2MTransformation2,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
173431,4,2,BasicXform,Time,StatisticBasedCase,2,Modification,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12741832,4,2,BasicXform,Memory,StatisticBasedCase,2,Modification,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
52767727,4,2,BasicXform,Time,StatisticBasedCase,2,M2MTransformation2,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12752304,4,2,BasicXform,Memory,StatisticBasedCase,2,M2MTransformation2,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
44954916,4,2,BasicXform,AverageMemory,StatisticBasedCase,2,M2MTransformation2,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
55692344,4,2,BasicXform,PeakMemory,StatisticBasedCase,2,M2MTransformation2,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
144603,5,2,BasicXform,Time,StatisticBasedCase,2,Modification,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12752080,5,2,BasicXform,Memory,StatisticBasedCase,2,Modification,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
48811542,5,2,BasicXform,Time,StatisticBasedCase,2,M2MTransformation2,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
12760080,5,2,BasicXform,Memory,StatisticBasedCase,2,M2MTransformation2,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
44965148,5,2,BasicXform,AverageMemory,StatisticBasedCase,2,M2MTransformation2,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
55702584,5,2,BasicXform,PeakMemory,StatisticBasedCase,2,M2MTransformation2,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
350539,1,32,BasicXform,Time,StatisticBasedCase,3,EMFResourceInitialization,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
9857664,1,32,BasicXform,Memory,StatisticBasedCase,3,EMFResourceInitialization,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
16761146847,1,32,BasicXform,Time,StatisticBasedCase,3,Generation,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
389028336,1,32,BasicXform,Memory,StatisticBasedCase,3,Generation,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
609836219,1,32,BasicXform,Time,StatisticBasedCase,3,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
37656240,1,32,BasicXform,Memory,StatisticBasedCase,3,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
231125656,1,32,BasicXform,PeakMemory,StatisticBasedCase,3,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
156505700,1,32,BasicXform,AverageMemory,StatisticBasedCase,3,Initialization,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
779018047,1,32,BasicXform,Time,StatisticBasedCase,3,M2MTransformation1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
50006032,1,32,BasicXform,Memory,StatisticBasedCase,3,M2MTransformation1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
679166448,1,32,BasicXform,PeakMemory,StatisticBasedCase,3,M2MTransformation1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
390487116,1,32,BasicXform,AverageMemory,StatisticBasedCase,3,M2MTransformation1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
528320,1,32,BasicXform,Time,StatisticBasedCase,3,Modification,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
50003976,1,32,BasicXform,Memory,StatisticBasedCase,3,Modification,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
684178637,1,32,BasicXform,Time,StatisticBasedCase,3,M2MTransformation2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
50010064,1,32,BasicXform,Memory,StatisticBasedCase,3,M2MTransformation2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
691514504,1,32,BasicXform,PeakMemory,StatisticBasedCase,3,M2MTransformation2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
402835100,1,32,BasicXform,AverageMemory,StatisticBasedCase,3,M2MTransformation2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
406864,2,32,BasicXform,Time,StatisticBasedCase,3,Modification,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
50008896,2,32,BasicXform,Memory,StatisticBasedCase,3,Modification,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
648104777,2,32,BasicXform,Time,StatisticBasedCase,3,M2MTransformation2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
50011616,2,32,BasicXform,Memory,StatisticBasedCase,3,M2MTransformation2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
755943648,2,32,BasicXform,PeakMemory,StatisticBasedCase,3,M2MTransformation2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
402839868,2,32,BasicXform,AverageMemory,StatisticBasedCase,3,M2MTransformation2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
353193,3,32,BasicXform,Time,StatisticBasedCase,3,Modification,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
50011440,3,32,BasicXform,Memory,StatisticBasedCase,3,Modification,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
586955121,3,32,BasicXform,Time,StatisticBasedCase,3,M2MTransformation2,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
50018936,3,32,BasicXform,Memory,StatisticBasedCase,3,M2MTransformation2,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
402842500,3,32,BasicXform,AverageMemory,StatisticBasedCase,3,M2MTransformation2,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
755946368,3,32,BasicXform,PeakMemory,StatisticBasedCase,3,M2MTransformation2,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
356993,4,32,BasicXform,Time,StatisticBasedCase,3,Modification,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
50018744,4,32,BasicXform,Memory,StatisticBasedCase,3,Modification,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
575829389,4,32,BasicXform,Time,StatisticBasedCase,3,M2MTransformation2,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
50025744,4,32,BasicXform,Memory,StatisticBasedCase,3,M2MTransformation2,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
691528976,4,32,BasicXform,PeakMemory,StatisticBasedCase,3,M2MTransformation2,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
402849732,4,32,BasicXform,AverageMemory,StatisticBasedCase,3,M2MTransformation2,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
313270,5,32,BasicXform,Time,StatisticBasedCase,3,Modification,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
50025528,5,32,BasicXform,Memory,StatisticBasedCase,3,Modification,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
575091953,5,32,BasicXform,Time,StatisticBasedCase,3,M2MTransformation2,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
50031832,5,32,BasicXform,Memory,StatisticBasedCase,3,M2MTransformation2,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
402856660,5,32,BasicXform,AverageMemory,StatisticBasedCase,3,M2MTransformation2,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
755960600,5,32,BasicXform,PeakMemory,StatisticBasedCase,3,M2MTransformation2,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
316795,1,16,BasicXform,Time,StatisticBasedCase,1,EMFResourceInitialization,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
9758504,1,16,BasicXform,Memory,StatisticBasedCase,1,EMFResourceInitialization,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
3310002728,1,16,BasicXform,Time,StatisticBasedCase,1,Generation,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
101372800,1,16,BasicXform,Memory,StatisticBasedCase,1,Generation,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
513917206,1,16,BasicXform,Time,StatisticBasedCase,1,Initialization,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
64022440,1,16,BasicXform,Memory,StatisticBasedCase,1,Initialization,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
153657600,1,16,BasicXform,AverageMemory,StatisticBasedCase,1,Initialization,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
274233584,1,16,BasicXform,PeakMemory,StatisticBasedCase,1,Initialization,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
409583300,1,16,BasicXform,Time,StatisticBasedCase,1,M2MTransformation1,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
78777640,1,16,BasicXform,Memory,StatisticBasedCase,1,M2MTransformation1,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
275307400,1,16,BasicXform,PeakMemory,StatisticBasedCase,1,M2MTransformation1,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
179969620,1,16,BasicXform,AverageMemory,StatisticBasedCase,1,M2MTransformation1,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4890697,1,16,BasicXform,Time,StatisticBasedCase,1,Modification,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
79929000,1,16,BasicXform,Memory,StatisticBasedCase,1,Modification,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
21577,1,16,BasicXform,Time,StatisticBasedCase,1,M2MTransformation2,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE
79929872,1,16,BasicXform,Memory,StatisticBasedCase,1,M2MTransformation2,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE
122013448,1,16,BasicXform,AverageMemory,StatisticBasedCase,1,M2MTransformation2,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE
122013448,1,16,BasicXform,PeakMemory,StatisticBasedCase,1,M2MTransformation2,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1438259,2,16,BasicXform,Time,StatisticBasedCase,1,Modification,7,INCR_VIATRA_TRANSFORMATION-TEMPLATE
79950184,2,16,BasicXform,Memory,StatisticBasedCase,1,Modification,7,INCR_VIATRA_TRANSFORMATION-TEMPLATE
16938,2,16,BasicXform,Time,StatisticBasedCase,1,M2MTransformation2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE
79951056,2,16,BasicXform,Memory,StatisticBasedCase,1,M2MTransformation2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE
122034632,2,16,BasicXform,AverageMemory,StatisticBasedCase,1,M2MTransformation2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE
122034632,2,16,BasicXform,PeakMemory,StatisticBasedCase,1,M2MTransformation2,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE
