PhaseName,Sequence,MetricValue,MetricName,Tool,Iteration,CaseName,RunIndex,Size,Scenario
M2MTransformation1,4,1624711552,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
M2MTransformation1,4,2110064496,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
M2MTransformation1,4,1821096648,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
Modification,5,1170832,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
Modification,5,1624739704,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,6,1722745120,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,6,1624755224,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,6,2284759008,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,6,1954749674,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
Modification,7,679554,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,2,64,BasicXform
Modification,7,1624784344,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,8,1951213004,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,8,1624799416,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,8,2284803424,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,8,1913543098,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,2,64,BasicXform
Modification,9,654699,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,2,64,BasicXform
Modification,9,1624827128,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,10,1689690108,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,10,1624841832,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,10,1954883442,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,10,2284915792,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,2,64,BasicXform
Modification,11,1870536,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,2,64,BasicXform
Modification,11,1624869408,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,2,64,BasicXform
M2MTransformation2,12,1691540883,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,2,64,BasicXform
