MetricName,Iteration,RunIndex,Scenario,Sequence,Size,CaseName,MetricValue,PhaseName,Tool
Time,1,3,BasicXform,4,2,StatisticBasedCase,52618014,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,1,3,BasicXform,4,2,StatisticBasedCase,13839536,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
PeakMemory,1,3,BasicXform,4,2,StatisticBasedCase,34725080,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
AverageMemory,1,3,BasicXform,4,2,StatisticBasedCase,34725080,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,1,3,BasicXform,5,2,StatisticBasedCase,221795,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,1,3,BasicXform,5,2,StatisticBasedCase,13839504,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,1,3,BasicXform,6,2,StatisticBasedCase,54475961,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,1,3,BasicXform,6,2,StatisticBasedCase,13844864,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
PeakMemory,1,3,BasicXform,6,2,StatisticBasedCase,56790008,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
AverageMemory,1,3,BasicXform,6,2,StatisticBasedCase,46052572,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,2,3,BasicXform,7,2,StatisticBasedCase,171877,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,2,3,BasicXform,7,2,StatisticBasedCase,13844864,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,2,3,BasicXform,8,2,StatisticBasedCase,53962558,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,2,3,BasicXform,8,2,StatisticBasedCase,13851944,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
PeakMemory,2,3,BasicXform,8,2,StatisticBasedCase,56795320,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
AverageMemory,2,3,BasicXform,8,2,StatisticBasedCase,46057908,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,3,3,BasicXform,9,2,StatisticBasedCase,227652,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,3,3,BasicXform,9,2,StatisticBasedCase,13851944,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,3,3,BasicXform,10,2,StatisticBasedCase,52765134,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,3,3,BasicXform,10,2,StatisticBasedCase,13864024,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
AverageMemory,3,3,BasicXform,10,2,StatisticBasedCase,46065008,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
PeakMemory,3,3,BasicXform,10,2,StatisticBasedCase,56802440,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,4,3,BasicXform,11,2,StatisticBasedCase,176337,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,4,3,BasicXform,11,2,StatisticBasedCase,13863344,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,4,3,BasicXform,12,2,StatisticBasedCase,49572327,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,4,3,BasicXform,12,2,StatisticBasedCase,13867944,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
PeakMemory,4,3,BasicXform,12,2,StatisticBasedCase,56813880,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
AverageMemory,4,3,BasicXform,12,2,StatisticBasedCase,46076440,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,5,3,BasicXform,13,2,StatisticBasedCase,177844,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,5,3,BasicXform,13,2,StatisticBasedCase,13867912,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,5,3,BasicXform,14,2,StatisticBasedCase,49067861,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Memory,5,3,BasicXform,14,2,StatisticBasedCase,13873968,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
PeakMemory,5,3,BasicXform,14,2,StatisticBasedCase,56818400,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
AverageMemory,5,3,BasicXform,14,2,StatisticBasedCase,46080972,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
Time,1,5,BasicXform,1,64,StatisticBasedCase,185488,EMFResourceInitialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,5,BasicXform,1,64,StatisticBasedCase,10270432,EMFResourceInitialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,5,BasicXform,2,64,StatisticBasedCase,79345121543,Generation,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,5,BasicXform,2,64,StatisticBasedCase,1753305552,Generation,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,5,BasicXform,3,64,StatisticBasedCase,11781260092,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,5,BasicXform,3,64,StatisticBasedCase,1009546240,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,5,BasicXform,3,64,StatisticBasedCase,3008143808,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,5,BasicXform,3,64,StatisticBasedCase,1256614264,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,5,BasicXform,4,64,StatisticBasedCase,1837595276,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,5,BasicXform,4,64,StatisticBasedCase,1063280688,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,5,BasicXform,4,64,StatisticBasedCase,1587772592,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,5,BasicXform,4,64,StatisticBasedCase,1314794386,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,5,BasicXform,5,64,StatisticBasedCase,23107804,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,5,BasicXform,5,64,StatisticBasedCase,1065109080,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,5,BasicXform,6,64,StatisticBasedCase,42805,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,1,5,BasicXform,6,64,StatisticBasedCase,1065109960,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,1,5,BasicXform,6,64,StatisticBasedCase,1165568496,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,1,5,BasicXform,6,64,StatisticBasedCase,1115100512,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,2,5,BasicXform,7,64,StatisticBasedCase,1639672,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,2,5,BasicXform,7,64,StatisticBasedCase,1065165336,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,2,5,BasicXform,8,64,StatisticBasedCase,14115,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,2,5,BasicXform,8,64,StatisticBasedCase,1065166216,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,2,5,BasicXform,8,64,StatisticBasedCase,1115156768,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,2,5,BasicXform,8,64,StatisticBasedCase,1042189240,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,3,5,BasicXform,9,64,StatisticBasedCase,1667081,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,3,5,BasicXform,9,64,StatisticBasedCase,1065192392,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,3,5,BasicXform,10,64,StatisticBasedCase,16034,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,3,5,BasicXform,10,64,StatisticBasedCase,1065193272,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,3,5,BasicXform,10,64,StatisticBasedCase,1115183824,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,3,5,BasicXform,10,64,StatisticBasedCase,1069217128,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,4,5,BasicXform,11,64,StatisticBasedCase,1556072,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,4,5,BasicXform,11,64,StatisticBasedCase,1065220336,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,4,5,BasicXform,12,64,StatisticBasedCase,14820,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,4,5,BasicXform,12,64,StatisticBasedCase,1065221240,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,4,5,BasicXform,12,64,StatisticBasedCase,1115211824,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,4,5,BasicXform,12,64,StatisticBasedCase,1098867384,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,5,5,BasicXform,13,64,StatisticBasedCase,1315803,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,5,5,BasicXform,13,64,StatisticBasedCase,1065248264,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,5,5,BasicXform,14,64,StatisticBasedCase,16996,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Memory,5,5,BasicXform,14,64,StatisticBasedCase,1065249144,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
PeakMemory,5,5,BasicXform,14,64,StatisticBasedCase,1115239696,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
AverageMemory,5,5,BasicXform,14,64,StatisticBasedCase,1087360936,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
Time,1,5,BasicXform,1,1,StatisticBasedCase,374141,EMFResourceInitialization,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,1,5,BasicXform,1,1,StatisticBasedCase,9567504,EMFResourceInitialization,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,1,5,BasicXform,2,1,StatisticBasedCase,62388977,Generation,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,1,5,BasicXform,2,1,StatisticBasedCase,10795416,Generation,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,1,5,BasicXform,3,1,StatisticBasedCase,47927316,Initialization,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,1,5,BasicXform,3,1,StatisticBasedCase,11294896,Initialization,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
AverageMemory,1,5,BasicXform,3,1,StatisticBasedCase,41896232,Initialization,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
PeakMemory,1,5,BasicXform,3,1,StatisticBasedCase,74108512,Initialization,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,1,5,BasicXform,4,1,StatisticBasedCase,32851974,M2MTransformation1,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,1,5,BasicXform,4,1,StatisticBasedCase,12169904,M2MTransformation1,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
AverageMemory,1,5,BasicXform,4,1,StatisticBasedCase,43507800,M2MTransformation1,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
PeakMemory,1,5,BasicXform,4,1,StatisticBasedCase,64982664,M2MTransformation1,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,1,5,BasicXform,5,1,StatisticBasedCase,2829747,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,1,5,BasicXform,5,1,StatisticBasedCase,12219208,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,1,5,BasicXform,6,1,StatisticBasedCase,4761,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,1,5,BasicXform,6,1,StatisticBasedCase,12220080,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
AverageMemory,1,5,BasicXform,6,1,StatisticBasedCase,22957584,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
PeakMemory,1,5,BasicXform,6,1,StatisticBasedCase,33694888,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,2,5,BasicXform,7,1,StatisticBasedCase,2541319,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,2,5,BasicXform,7,1,StatisticBasedCase,12242232,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,2,5,BasicXform,8,1,StatisticBasedCase,5051,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,2,5,BasicXform,8,1,StatisticBasedCase,12243104,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
PeakMemory,2,5,BasicXform,8,1,StatisticBasedCase,33717912,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
AverageMemory,2,5,BasicXform,8,1,StatisticBasedCase,22980608,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,3,5,BasicXform,9,1,StatisticBasedCase,2263388,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,3,5,BasicXform,9,1,StatisticBasedCase,12268216,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,3,5,BasicXform,10,1,StatisticBasedCase,4643,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,3,5,BasicXform,10,1,StatisticBasedCase,12269088,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
AverageMemory,3,5,BasicXform,10,1,StatisticBasedCase,23006592,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
PeakMemory,3,5,BasicXform,10,1,StatisticBasedCase,33743896,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,4,5,BasicXform,11,1,StatisticBasedCase,2698424,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,4,5,BasicXform,11,1,StatisticBasedCase,12294928,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,4,5,BasicXform,12,1,StatisticBasedCase,4066,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,4,5,BasicXform,12,1,StatisticBasedCase,12295824,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
AverageMemory,4,5,BasicXform,12,1,StatisticBasedCase,23033328,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
PeakMemory,4,5,BasicXform,12,1,StatisticBasedCase,33770632,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,5,5,BasicXform,13,1,StatisticBasedCase,2297267,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,5,5,BasicXform,13,1,StatisticBasedCase,12319112,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,5,5,BasicXform,14,1,StatisticBasedCase,4868,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,5,5,BasicXform,14,1,StatisticBasedCase,12319984,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
AverageMemory,5,5,BasicXform,14,1,StatisticBasedCase,23057488,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
PeakMemory,5,5,BasicXform,14,1,StatisticBasedCase,33794792,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,1,3,BasicXform,1,8,StatisticBasedCase,228380,EMFResourceInitialization,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,1,3,BasicXform,1,8,StatisticBasedCase,9645624,EMFResourceInitialization,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,1,3,BasicXform,2,8,StatisticBasedCase,580329618,Generation,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,1,3,BasicXform,2,8,StatisticBasedCase,20439272,Generation,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,1,3,BasicXform,3,8,StatisticBasedCase,121568591,Initialization,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,1,3,BasicXform,3,8,StatisticBasedCase,18806984,Initialization,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
PeakMemory,1,3,BasicXform,3,8,StatisticBasedCase,75146528,Initialization,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
AverageMemory,1,3,BasicXform,3,8,StatisticBasedCase,64409104,Initialization,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,1,3,BasicXform,4,8,StatisticBasedCase,190864849,M2MTransformation1,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,1,3,BasicXform,4,8,StatisticBasedCase,26141736,M2MTransformation1,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
PeakMemory,1,3,BasicXform,4,8,StatisticBasedCase,104706960,M2MTransformation1,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
AverageMemory,1,3,BasicXform,4,8,StatisticBasedCase,72494688,M2MTransformation1,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,1,3,BasicXform,5,8,StatisticBasedCase,4632244,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,1,3,BasicXform,5,8,StatisticBasedCase,26334200,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,1,3,BasicXform,6,8,StatisticBasedCase,4100,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,1,3,BasicXform,6,8,StatisticBasedCase,26335072,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
AverageMemory,1,3,BasicXform,6,8,StatisticBasedCase,37072552,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
PeakMemory,1,3,BasicXform,6,8,StatisticBasedCase,47809832,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,2,3,BasicXform,7,8,StatisticBasedCase,2052773,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Memory,2,3,BasicXform,7,8,StatisticBasedCase,26362232,Modification,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
Time,2,3,BasicXform,8,8,StatisticBasedCase,4121,M2MTransformation2,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE
