Size,Iteration,Sequence,RunIndex,MetricName,Tool,Scenario,MetricValue,CaseName,PhaseName
64,5,14,3,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1205520069,LowSynchCase,M2MTransformation2
128,1,1,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,597045,LowSynchCase,EMFResourceInitialization
128,1,1,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,11201880,LowSynchCase,EMFResourceInitialization
128,1,2,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,9164145282,LowSynchCase,Generation
128,1,2,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,677624408,LowSynchCase,Generation
128,1,3,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1749782295,LowSynchCase,Initialization
128,1,3,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,594480704,LowSynchCase,Initialization
128,1,3,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1371828296,LowSynchCase,Initialization
128,1,3,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,768836226,LowSynchCase,Initialization
128,1,4,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3432934340,LowSynchCase,M2MTransformation1
128,1,4,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123126192,LowSynchCase,M2MTransformation1
128,1,4,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2076418869,LowSynchCase,M2MTransformation1
128,1,4,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3341446944,LowSynchCase,M2MTransformation1
128,1,5,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,210556,LowSynchCase,Modification
128,1,5,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123133280,LowSynchCase,Modification
128,1,6,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4206948915,LowSynchCase,M2MTransformation2
128,1,6,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123156088,LowSynchCase,M2MTransformation2
128,1,6,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4344359104,LowSynchCase,M2MTransformation2
128,1,6,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2662864250,LowSynchCase,M2MTransformation2
