PhaseName,Scenario,RunIndex,Sequence,Iteration,Size,MetricValue,Tool,CaseName,MetricName
EMFResourceInitialization,BasicXform,2,1,1,2,468866,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
EMFResourceInitialization,BasicXform,2,1,1,2,11098440,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
Generation,BasicXform,2,2,1,2,176014949,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Generation,BasicXform,2,2,1,2,16313368,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
Initialization,BasicXform,2,3,1,2,48875981,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Initialization,BasicXform,2,3,1,2,11809384,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
Initialization,BasicXform,2,3,1,2,32822192,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Initialization,BasicXform,2,3,1,2,32822192,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation1,BasicXform,2,4,1,2,178545362,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation1,BasicXform,2,4,1,2,13166536,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation1,BasicXform,2,4,1,2,54780604,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation1,BasicXform,2,4,1,2,76265968,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,2,5,1,2,149931,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,2,5,1,2,13167248,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,6,1,2,91656597,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,2,6,1,2,13175856,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,6,1,2,56138512,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,2,6,1,2,77623896,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,2,7,2,2,125822,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,2,7,2,2,13176560,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,8,2,2,79464394,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,2,8,2,2,13186944,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,8,2,2,56147788,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,2,8,2,2,77633136,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,2,9,3,2,90211,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,2,9,3,2,13187672,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,10,3,2,67281840,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,2,10,3,2,13196304,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,10,3,2,56158928,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,2,10,3,2,77644304,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,2,11,4,2,84015,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,2,11,4,2,13197032,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,12,4,2,67355895,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,2,12,4,2,13205704,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,12,4,2,56168312,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,2,12,4,2,77653688,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,2,13,5,2,114481,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,2,13,5,2,13206408,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,14,5,2,65601214,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,2,14,5,2,13214768,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,2,14,5,2,99148336,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
M2MTransformation2,BasicXform,2,14,5,2,56177640,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
EMFResourceInitialization,BasicXform,3,1,1,32,877661,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
EMFResourceInitialization,BasicXform,3,1,1,32,11441504,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
Generation,BasicXform,3,2,1,32,13062507027,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Generation,BasicXform,3,2,1,32,791891056,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
Initialization,BasicXform,3,3,1,32,262996642,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Initialization,BasicXform,3,3,1,32,19724080,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
Initialization,BasicXform,3,3,1,32,80293040,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Initialization,BasicXform,3,3,1,32,80293040,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation1,BasicXform,3,4,1,32,5689397515,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation1,BasicXform,3,4,1,32,42862872,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation1,BasicXform,3,4,1,32,1422276841,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation1,BasicXform,3,4,1,32,3230685624,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,3,5,1,32,444581,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,3,5,1,32,42863632,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,3,6,1,32,5377546552,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,3,6,1,32,42885632,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,3,6,1,32,1294071286,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,3,6,1,32,3273228216,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,3,7,2,32,431014,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,3,7,2,32,42886360,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,3,8,2,32,5001708659,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,3,8,2,32,42894752,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,3,8,2,32,3561609344,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
M2MTransformation2,BasicXform,3,8,2,32,1215179931,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
Modification,BasicXform,3,9,3,32,431111,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,3,9,3,32,42895480,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,3,10,3,32,5021149031,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,3,10,3,32,42903848,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,3,10,3,32,1204398708,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,3,10,3,32,3604077976,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,3,11,4,32,446049,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,3,11,4,32,42904600,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,3,12,4,32,5423397884,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,3,12,4,32,42913256,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,3,12,4,32,1517980555,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,3,12,4,32,3607253160,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,3,13,5,32,451947,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,3,13,5,32,42914008,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,3,14,5,32,5028073796,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,3,14,5,32,42922448,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,3,14,5,32,1198161320,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,3,14,5,32,3624060392,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,PeakMemory
EMFResourceInitialization,BasicXform,1,1,1,16,307049,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Time
EMFResourceInitialization,BasicXform,1,1,1,16,11318528,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Memory
Generation,BasicXform,1,2,1,16,2895650084,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Time
Generation,BasicXform,1,2,1,16,203817768,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Memory
Initialization,BasicXform,1,3,1,16,341594180,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Time
Initialization,BasicXform,1,3,1,16,123355432,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Memory
Initialization,BasicXform,1,3,1,16,163583408,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,AverageMemory
Initialization,BasicXform,1,3,1,16,270428800,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,PeakMemory
M2MTransformation1,BasicXform,1,4,1,16,290785640,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Time
M2MTransformation1,BasicXform,1,4,1,16,145114072,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation1,BasicXform,1,4,1,16,294308648,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,PeakMemory
M2MTransformation1,BasicXform,1,4,1,16,230201392,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,AverageMemory
Modification,BasicXform,1,5,1,16,4105015,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,1,5,1,16,147047256,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,6,1,16,20474,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,1,6,1,16,147047792,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,6,1,16,168416960,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,1,6,1,16,189785928,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,PeakMemory
Modification,BasicXform,1,7,2,16,1098348,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Time
Modification,BasicXform,1,7,2,16,147086744,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,8,2,16,10936,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Time
M2MTransformation2,BasicXform,1,8,2,16,147087512,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,Memory
M2MTransformation2,BasicXform,1,8,2,16,189825556,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,AverageMemory
M2MTransformation2,BasicXform,1,8,2,16,189825448,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,PeakMemory
