Scenario,CaseName,PhaseName,RunIndex,Size,Iteration,MetricValue,Tool,Sequence,MetricName
BasicXform,StatisticBasedCase,M2MTransformation2,3,32,4,50358848,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12,Memory
BasicXform,StatisticBasedCase,Modification,3,32,5,581067,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13,Time
BasicXform,StatisticBasedCase,Modification,3,32,5,50359784,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,3,32,5,5335879472,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,Time
BasicXform,StatisticBasedCase,M2MTransformation2,3,32,5,50368056,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14,Memory
BasicXform,StatisticBasedCase,EMFResourceInitialization,1,16,1,548614,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,Time
BasicXform,StatisticBasedCase,EMFResourceInitialization,1,16,1,11299976,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,Memory
BasicXform,StatisticBasedCase,Generation,1,16,1,2948929001,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Time
BasicXform,StatisticBasedCase,Generation,1,16,1,203538160,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Memory
BasicXform,StatisticBasedCase,Initialization,1,16,1,328373773,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,Time
BasicXform,StatisticBasedCase,M2MTransformation1,1,16,1,279383411,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,Time
BasicXform,StatisticBasedCase,M2MTransformation1,1,16,1,144969672,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,Memory
BasicXform,StatisticBasedCase,Modification,1,16,1,3783274,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,Time
BasicXform,StatisticBasedCase,Modification,1,16,1,146901808,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,1,16,1,21393,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6,Time
BasicXform,StatisticBasedCase,M2MTransformation2,1,16,1,146902080,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6,Memory
BasicXform,StatisticBasedCase,Modification,1,16,2,1117234,INCR_VIATRA_TRANSFORMATION-TEMPLATE,7,Time
BasicXform,StatisticBasedCase,Modification,1,16,2,146940288,INCR_VIATRA_TRANSFORMATION-TEMPLATE,7,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,1,16,2,10240,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,Time
BasicXform,StatisticBasedCase,M2MTransformation2,1,16,2,146940560,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,Memory
BasicXform,StatisticBasedCase,Modification,1,16,3,1110964,INCR_VIATRA_TRANSFORMATION-TEMPLATE,9,Time
BasicXform,StatisticBasedCase,Modification,1,16,3,146979200,INCR_VIATRA_TRANSFORMATION-TEMPLATE,9,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,1,16,3,8545,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10,Time
BasicXform,StatisticBasedCase,M2MTransformation2,1,16,3,146979472,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10,Memory
BasicXform,StatisticBasedCase,Modification,1,16,4,1127155,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11,Time
BasicXform,StatisticBasedCase,Modification,1,16,4,147018256,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,1,16,4,8727,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12,Time
BasicXform,StatisticBasedCase,M2MTransformation2,1,16,4,147018552,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12,Memory
BasicXform,StatisticBasedCase,Modification,1,16,5,1148054,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13,Time
BasicXform,StatisticBasedCase,Modification,1,16,5,147057248,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,1,16,5,8939,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14,Time
BasicXform,StatisticBasedCase,M2MTransformation2,1,16,5,147057520,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14,Memory
BasicXform,StatisticBasedCase,EMFResourceInitialization,2,8,1,257692,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,Time
BasicXform,StatisticBasedCase,EMFResourceInitialization,2,8,1,11201144,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,Memory
BasicXform,StatisticBasedCase,Generation,2,8,1,483840574,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Time
BasicXform,StatisticBasedCase,Generation,2,8,1,35990232,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Memory
BasicXform,StatisticBasedCase,Initialization,2,8,1,138838962,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,Time
BasicXform,StatisticBasedCase,M2MTransformation1,2,8,1,179381524,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,Time
BasicXform,StatisticBasedCase,M2MTransformation1,2,8,1,46373136,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,Memory
BasicXform,StatisticBasedCase,Modification,2,8,1,2443607,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,Time
BasicXform,StatisticBasedCase,Modification,2,8,1,47253288,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,8,1,12602,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,8,1,47253552,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6,Memory
BasicXform,StatisticBasedCase,Modification,2,8,2,1390245,INCR_VIATRA_TRANSFORMATION-TEMPLATE,7,Time
BasicXform,StatisticBasedCase,Modification,2,8,2,47421704,INCR_VIATRA_TRANSFORMATION-TEMPLATE,7,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,8,2,11519,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,8,2,47421968,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,Memory
BasicXform,StatisticBasedCase,Modification,2,8,3,1124809,INCR_VIATRA_TRANSFORMATION-TEMPLATE,9,Time
BasicXform,StatisticBasedCase,Modification,2,8,3,47459608,INCR_VIATRA_TRANSFORMATION-TEMPLATE,9,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,8,3,12548,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,8,3,47459872,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10,Memory
BasicXform,StatisticBasedCase,Modification,2,8,4,1180841,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11,Time
BasicXform,StatisticBasedCase,Modification,2,8,4,47497808,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,8,4,11832,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,8,4,47498096,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12,Memory
BasicXform,StatisticBasedCase,Modification,2,8,5,1209677,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13,Time
BasicXform,StatisticBasedCase,Modification,2,8,5,47536248,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,8,5,17917,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,8,5,47536512,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14,Memory
BasicXform,StatisticBasedCase,EMFResourceInitialization,2,2,1,839082,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,Time
BasicXform,StatisticBasedCase,EMFResourceInitialization,2,2,1,11123216,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,Memory
BasicXform,StatisticBasedCase,Generation,2,2,1,152004418,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Time
BasicXform,StatisticBasedCase,Generation,2,2,1,16197408,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,Memory
BasicXform,StatisticBasedCase,Initialization,2,2,1,95173476,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,Time
BasicXform,StatisticBasedCase,M2MTransformation1,2,2,1,192950932,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,Time
BasicXform,StatisticBasedCase,M2MTransformation1,2,2,1,18900968,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,Memory
BasicXform,StatisticBasedCase,Modification,2,2,1,7187470,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,Time
BasicXform,StatisticBasedCase,Modification,2,2,1,19143840,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,1,14918,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,1,19144104,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6,Memory
BasicXform,StatisticBasedCase,Modification,2,2,2,6890905,INCR_VIATRA_TRANSFORMATION-TEMPLATE,7,Time
BasicXform,StatisticBasedCase,Modification,2,2,2,19224352,INCR_VIATRA_TRANSFORMATION-TEMPLATE,7,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,2,24034,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,2,19224616,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,Memory
BasicXform,StatisticBasedCase,Modification,2,2,3,7089822,INCR_VIATRA_TRANSFORMATION-TEMPLATE,9,Time
BasicXform,StatisticBasedCase,Modification,2,2,3,19282160,INCR_VIATRA_TRANSFORMATION-TEMPLATE,9,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,3,16046,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,3,19282424,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10,Memory
BasicXform,StatisticBasedCase,Modification,2,2,4,6128075,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11,Time
BasicXform,StatisticBasedCase,Modification,2,2,4,19327752,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,4,15457,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,4,19328040,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12,Memory
BasicXform,StatisticBasedCase,Modification,2,2,5,7240556,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13,Time
BasicXform,StatisticBasedCase,Modification,2,2,5,19374328,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,5,38918,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14,Time
BasicXform,StatisticBasedCase,M2MTransformation2,2,2,5,19374592,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14,Memory
BasicXform,StatisticBasedCase,EMFResourceInitialization,1,16,1,864225,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,Time
BasicXform,StatisticBasedCase,EMFResourceInitialization,1,16,1,11218112,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,Memory
BasicXform,StatisticBasedCase,Generation,1,16,1,2783789364,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,Time
BasicXform,StatisticBasedCase,Generation,1,16,1,204338704,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,Memory
BasicXform,StatisticBasedCase,Initialization,1,16,1,247187667,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,Time
BasicXform,StatisticBasedCase,M2MTransformation1,1,16,1,173076789,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,Time
BasicXform,StatisticBasedCase,M2MTransformation1,1,16,1,128232528,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,Memory
BasicXform,StatisticBasedCase,Modification,1,16,1,1513204,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,Time
BasicXform,StatisticBasedCase,Modification,1,16,1,128331288,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,Memory
BasicXform,StatisticBasedCase,M2MTransformation2,1,16,1,229384569,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,Time
BasicXform,StatisticBasedCase,M2MTransformation2,1,16,1,128395832,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,Memory
BasicXform,StatisticBasedCase,Modification,1,16,2,764788,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7,Time
