Iteration,Scenario,CaseName,Size,MetricValue,MetricName,RunIndex,PhaseName,Tool,Sequence
4,BasicXform,StatisticBasedCase,8,18169184,Memory,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11
4,BasicXform,StatisticBasedCase,8,3303610383,Time,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12
4,BasicXform,StatisticBasedCase,8,18172616,Memory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12
4,BasicXform,StatisticBasedCase,8,1093975808,PeakMemory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12
4,BasicXform,StatisticBasedCase,8,386016404,AverageMemory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12
5,BasicXform,StatisticBasedCase,8,129442,Time,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13
5,BasicXform,StatisticBasedCase,8,18172808,Memory,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13
5,BasicXform,StatisticBasedCase,8,3370298811,Time,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14
5,BasicXform,StatisticBasedCase,8,18176240,Memory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14
5,BasicXform,StatisticBasedCase,8,1445285088,PeakMemory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14
5,BasicXform,StatisticBasedCase,8,817406261,AverageMemory,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14
1,BasicXform,StatisticBasedCase,32,178427,Time,5,EMFResourceInitialization,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1
1,BasicXform,StatisticBasedCase,32,11815264,Memory,5,EMFResourceInitialization,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1
1,BasicXform,StatisticBasedCase,32,14446975728,Time,5,Generation,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,2
1,BasicXform,StatisticBasedCase,32,755518448,Memory,5,Generation,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,2
1,BasicXform,StatisticBasedCase,32,1679344299,Time,5,Initialization,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3
1,BasicXform,StatisticBasedCase,32,401385424,Memory,5,Initialization,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3
1,BasicXform,StatisticBasedCase,32,752634594,AverageMemory,5,Initialization,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3
1,BasicXform,StatisticBasedCase,32,1376107344,PeakMemory,5,Initialization,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3
1,BasicXform,StatisticBasedCase,32,4075530122,Time,5,M2MTransformation1,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4
1,BasicXform,StatisticBasedCase,32,1278540024,Memory,5,M2MTransformation1,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4
1,BasicXform,StatisticBasedCase,32,2185572416,PeakMemory,5,M2MTransformation1,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4
1,BasicXform,StatisticBasedCase,32,1358423489,AverageMemory,5,M2MTransformation1,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4
1,BasicXform,StatisticBasedCase,32,2323379,Time,5,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,5
1,BasicXform,StatisticBasedCase,32,1278667152,Memory,5,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,5
1,BasicXform,StatisticBasedCase,32,4667,Time,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,6
1,BasicXform,StatisticBasedCase,32,1278668000,Memory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,6
1,BasicXform,StatisticBasedCase,32,1309889056,AverageMemory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,6
1,BasicXform,StatisticBasedCase,32,1341109912,PeakMemory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,6
2,BasicXform,StatisticBasedCase,32,2518762,Time,5,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,7
2,BasicXform,StatisticBasedCase,32,1279217864,Memory,5,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,7
2,BasicXform,StatisticBasedCase,32,4673,Time,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,8
2,BasicXform,StatisticBasedCase,32,1279218712,Memory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,8
2,BasicXform,StatisticBasedCase,32,1310439768,AverageMemory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,8
2,BasicXform,StatisticBasedCase,32,1341660624,PeakMemory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,8
3,BasicXform,StatisticBasedCase,32,2062955,Time,5,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,9
3,BasicXform,StatisticBasedCase,32,1279317312,Memory,5,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,9
3,BasicXform,StatisticBasedCase,32,5353,Time,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,10
3,BasicXform,StatisticBasedCase,32,1279318160,Memory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,10
3,BasicXform,StatisticBasedCase,32,1341760072,PeakMemory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,10
3,BasicXform,StatisticBasedCase,32,1310539200,AverageMemory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,10
4,BasicXform,StatisticBasedCase,32,1877195,Time,5,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,11
4,BasicXform,StatisticBasedCase,32,1279418184,Memory,5,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,11
4,BasicXform,StatisticBasedCase,32,4488,Time,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,12
4,BasicXform,StatisticBasedCase,32,1279419056,Memory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,12
4,BasicXform,StatisticBasedCase,32,1310640112,AverageMemory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,12
4,BasicXform,StatisticBasedCase,32,1341860968,PeakMemory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,12
5,BasicXform,StatisticBasedCase,32,1534050,Time,5,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,13
5,BasicXform,StatisticBasedCase,32,1279519944,Memory,5,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,13
5,BasicXform,StatisticBasedCase,32,4258,Time,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,14
5,BasicXform,StatisticBasedCase,32,1279520792,Memory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,14
5,BasicXform,StatisticBasedCase,32,1341962704,PeakMemory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,14
5,BasicXform,StatisticBasedCase,32,1310741848,AverageMemory,5,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,14
1,BasicXform,StatisticBasedCase,1,551817,Time,1,EMFResourceInitialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1
1,BasicXform,StatisticBasedCase,1,11196360,Memory,1,EMFResourceInitialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1
1,BasicXform,StatisticBasedCase,1,49114842,Time,1,Generation,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,2
1,BasicXform,StatisticBasedCase,1,13131304,Memory,1,Generation,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,2
1,BasicXform,StatisticBasedCase,1,23094796,Time,1,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,3
1,BasicXform,StatisticBasedCase,1,13149328,Memory,1,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,3
1,BasicXform,StatisticBasedCase,1,75735408,PeakMemory,1,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,3
1,BasicXform,StatisticBasedCase,1,54260556,AverageMemory,1,Initialization,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,3
1,BasicXform,StatisticBasedCase,1,14439328,Time,1,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,4
1,BasicXform,StatisticBasedCase,1,14161936,Memory,1,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,4
1,BasicXform,StatisticBasedCase,1,34624632,PeakMemory,1,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,4
1,BasicXform,StatisticBasedCase,1,34624632,AverageMemory,1,M2MTransformation1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,4
1,BasicXform,StatisticBasedCase,1,342110,Time,1,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,5
1,BasicXform,StatisticBasedCase,1,14173000,Memory,1,Modification,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,5
1,BasicXform,StatisticBasedCase,1,15837911,Time,1,M2MTransformation2,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,6
