Size,Tool,MetricValue,Scenario,RunIndex,Iteration,CaseName,MetricName,PhaseName,Sequence
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1204371890,BasicXform,3,5,LowSynchCase,AverageMemory,M2MTransformation2,14
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,347156,BasicXform,2,1,LowSynchCase,Time,EMFResourceInitialization,1
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11201584,BasicXform,2,1,LowSynchCase,Memory,EMFResourceInitialization,1
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7301403644,BasicXform,2,1,LowSynchCase,Time,Generation,2
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,674796944,BasicXform,2,1,LowSynchCase,Memory,Generation,2
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1719504124,BasicXform,2,1,LowSynchCase,Time,Initialization,3
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,594644592,BasicXform,2,1,LowSynchCase,Memory,Initialization,3
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1267229968,BasicXform,2,1,LowSynchCase,PeakMemory,Initialization,3
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,685345789,BasicXform,2,1,LowSynchCase,AverageMemory,Initialization,3
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4265999247,BasicXform,2,1,LowSynchCase,Time,M2MTransformation1,4
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1122647040,BasicXform,2,1,LowSynchCase,Memory,M2MTransformation1,4
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3156581776,BasicXform,2,1,LowSynchCase,PeakMemory,M2MTransformation1,4
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1648478707,BasicXform,2,1,LowSynchCase,AverageMemory,M2MTransformation1,4
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,194117,BasicXform,2,1,LowSynchCase,Time,Modification,5
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1122653240,BasicXform,2,1,LowSynchCase,Memory,Modification,5
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4819949593,BasicXform,2,1,LowSynchCase,Time,M2MTransformation2,6
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1122675792,BasicXform,2,1,LowSynchCase,Memory,M2MTransformation2,6
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2677613170,BasicXform,2,1,LowSynchCase,AverageMemory,M2MTransformation2,6
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4211559744,BasicXform,2,1,LowSynchCase,PeakMemory,M2MTransformation2,6
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,184276,BasicXform,2,2,LowSynchCase,Time,Modification,7
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1122682088,BasicXform,2,2,LowSynchCase,Memory,Modification,7
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3956000851,BasicXform,2,2,LowSynchCase,Time,M2MTransformation2,8
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1122704072,BasicXform,2,2,LowSynchCase,Memory,M2MTransformation2,8
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4255115672,BasicXform,2,2,LowSynchCase,PeakMemory,M2MTransformation2,8
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2475110932,BasicXform,2,2,LowSynchCase,AverageMemory,M2MTransformation2,8
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,175940,BasicXform,2,3,LowSynchCase,Time,Modification,9
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1122710504,BasicXform,2,3,LowSynchCase,Memory,Modification,9
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3916067417,BasicXform,2,3,LowSynchCase,Time,M2MTransformation2,10
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1122732600,BasicXform,2,3,LowSynchCase,Memory,M2MTransformation2,10
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4177250520,BasicXform,2,3,LowSynchCase,PeakMemory,M2MTransformation2,10
