PhaseName,Scenario,RunIndex,Size,CaseName,MetricName,Iteration,Tool,MetricValue,Sequence
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,PeakMemory,2,BATCH_OPTIMIZED-TEMPLATE,3215921160,8
Modification,BasicXform,2,16,StatisticBasedCase,Time,3,BATCH_OPTIMIZED-TEMPLATE,155989,9
Modification,BasicXform,2,16,StatisticBasedCase,Memory,3,BATCH_OPTIMIZED-TEMPLATE,18132360,9
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,Time,3,BATCH_OPTIMIZED-TEMPLATE,36327006344,10
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,Memory,3,BATCH_OPTIMIZED-TEMPLATE,19278744,10
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,PeakMemory,3,BATCH_OPTIMIZED-TEMPLATE,3209936920,10
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,AverageMemory,3,BATCH_OPTIMIZED-TEMPLATE,1194561855,10
Modification,BasicXform,2,16,StatisticBasedCase,Time,4,BATCH_OPTIMIZED-TEMPLATE,149755,11
Modification,BasicXform,2,16,StatisticBasedCase,Memory,4,BATCH_OPTIMIZED-TEMPLATE,19278856,11
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,Time,4,BATCH_OPTIMIZED-TEMPLATE,36347862807,12
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,Memory,4,BATCH_OPTIMIZED-TEMPLATE,20230336,12
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,AverageMemory,4,BATCH_OPTIMIZED-TEMPLATE,1278876559,12
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,PeakMemory,4,BATCH_OPTIMIZED-TEMPLATE,3203923584,12
Modification,BasicXform,2,16,StatisticBasedCase,Time,5,BATCH_OPTIMIZED-TEMPLATE,311615,13
Modification,BasicXform,2,16,StatisticBasedCase,Memory,5,BATCH_OPTIMIZED-TEMPLATE,20230448,13
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,Time,5,BATCH_OPTIMIZED-TEMPLATE,36593013500,14
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,Memory,5,BATCH_OPTIMIZED-TEMPLATE,21183280,14
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,AverageMemory,5,BATCH_OPTIMIZED-TEMPLATE,1063210531,14
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,PeakMemory,5,BATCH_OPTIMIZED-TEMPLATE,3202737040,14
EMFResourceInitialization,BasicXform,2,2,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,225007,1
EMFResourceInitialization,BasicXform,2,2,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9525432,1
Generation,BasicXform,2,2,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,82539262,2
Generation,BasicXform,2,2,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11647200,2
Initialization,BasicXform,2,2,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,60691742,3
Initialization,BasicXform,2,2,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12137816,3
Initialization,BasicXform,2,2,StatisticBasedCase,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,95666424,3
Initialization,BasicXform,2,2,StatisticBasedCase,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,63454140,3
M2MTransformation1,BasicXform,2,2,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,48041120,4
M2MTransformation1,BasicXform,2,2,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12719344,4
M2MTransformation1,BasicXform,2,2,StatisticBasedCase,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,55088072,4
M2MTransformation1,BasicXform,2,2,StatisticBasedCase,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,44350660,4
Modification,BasicXform,2,2,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,167162,5
Modification,BasicXform,2,2,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12719120,5
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,48880996,6
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12723232,6
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,PeakMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,55669600,6
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,AverageMemory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,44932176,6
Modification,BasicXform,2,2,StatisticBasedCase,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,188211,7
Modification,BasicXform,2,2,StatisticBasedCase,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,12723136,7
