Iteration,RunIndex,Tool,Sequence,MetricValue,Size,CaseName,Scenario,MetricName,PhaseName
5,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,14,1111734080,64,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
5,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,14,841452877,64,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,475836,1,StatisticBasedCase,BasicXform,Time,EMFResourceInitialization
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,9488376,1,StatisticBasedCase,BasicXform,Memory,EMFResourceInitialization
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,69172613,1,StatisticBasedCase,BasicXform,Time,Generation
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,10713832,1,StatisticBasedCase,BasicXform,Memory,Generation
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,46247374,1,StatisticBasedCase,BasicXform,Time,Initialization
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,12857176,1,StatisticBasedCase,BasicXform,Memory,Initialization
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,41818040,1,StatisticBasedCase,BasicXform,AverageMemory,Initialization
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,74030320,1,StatisticBasedCase,BasicXform,PeakMemory,Initialization
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,37056225,1,StatisticBasedCase,BasicXform,Time,M2MTransformation1
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,13132032,1,StatisticBasedCase,BasicXform,Memory,M2MTransformation1
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,34332656,1,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation1
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,34332656,1,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation1
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,143291,1,StatisticBasedCase,BasicXform,Time,Modification
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,13131816,1,StatisticBasedCase,BasicXform,Memory,Modification
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,37606540,1,StatisticBasedCase,BasicXform,Time,M2MTransformation2
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,13138128,1,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,6,34607496,1,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
