MetricValue,CaseName,Scenario,Sequence,Iteration,Size,MetricName,Tool,PhaseName,RunIndex
1275481688,StatisticBasedCase,BasicXform,11,4,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,5
4011,StatisticBasedCase,BasicXform,12,4,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1275482560,StatisticBasedCase,BasicXform,12,4,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1337495032,StatisticBasedCase,BasicXform,12,4,32,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1318547520,StatisticBasedCase,BasicXform,12,4,32,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1897174,StatisticBasedCase,BasicXform,13,5,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,5
1275577712,StatisticBasedCase,BasicXform,13,5,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,5
4425,StatisticBasedCase,BasicXform,14,5,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1275578760,StatisticBasedCase,BasicXform,14,5,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1306584896,StatisticBasedCase,BasicXform,14,5,32,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1337591032,StatisticBasedCase,BasicXform,14,5,32,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
357211,StatisticBasedCase,BasicXform,1,1,1,Time,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,EMFResourceInitialization,1
11210808,StatisticBasedCase,BasicXform,1,1,1,Memory,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,EMFResourceInitialization,1
47766209,StatisticBasedCase,BasicXform,2,1,1,Time,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Generation,1
13103272,StatisticBasedCase,BasicXform,2,1,1,Memory,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Generation,1
28633625,StatisticBasedCase,BasicXform,3,1,1,Time,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,1
13172928,StatisticBasedCase,BasicXform,3,1,1,Memory,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,1
65010232,StatisticBasedCase,BasicXform,3,1,1,PeakMemory,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,1
48904088,StatisticBasedCase,BasicXform,3,1,1,AverageMemory,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,1
15923783,StatisticBasedCase,BasicXform,4,1,1,Time,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,1
14192144,StatisticBasedCase,BasicXform,4,1,1,Memory,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,1
34648232,StatisticBasedCase,BasicXform,4,1,1,AverageMemory,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,1
34648232,StatisticBasedCase,BasicXform,4,1,1,PeakMemory,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,1
364069,StatisticBasedCase,BasicXform,5,1,1,Time,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Modification,1
