MetricName,Tool,RunIndex,PhaseName,CaseName,Scenario,MetricValue,Sequence,Size,Iteration
Time,BATCH_OPTIMIZED-TEMPLATE,2,Generation,StatisticBasedCase,BasicXform,1705815230,2,16,1
Memory,BATCH_OPTIMIZED-TEMPLATE,2,Generation,StatisticBasedCase,BasicXform,48417352,2,16,1
Time,BATCH_OPTIMIZED-TEMPLATE,2,Initialization,StatisticBasedCase,BasicXform,12697,3,16,1
Memory,BATCH_OPTIMIZED-TEMPLATE,2,Initialization,StatisticBasedCase,BasicXform,12086168,3,16,1
PeakMemory,BATCH_OPTIMIZED-TEMPLATE,2,Initialization,StatisticBasedCase,BasicXform,32026592,3,16,1
AverageMemory,BATCH_OPTIMIZED-TEMPLATE,2,Initialization,StatisticBasedCase,BasicXform,22056480,3,16,1
Time,BATCH_OPTIMIZED-TEMPLATE,2,M2MTransformation1,StatisticBasedCase,BasicXform,28639255657,4,16,1
Memory,BATCH_OPTIMIZED-TEMPLATE,2,M2MTransformation1,StatisticBasedCase,BasicXform,15897712,4,16,1
PeakMemory,BATCH_OPTIMIZED-TEMPLATE,2,M2MTransformation1,StatisticBasedCase,BasicXform,1450550608,4,16,1
AverageMemory,BATCH_OPTIMIZED-TEMPLATE,2,M2MTransformation1,StatisticBasedCase,BasicXform,749371795,4,16,1
Time,BATCH_OPTIMIZED-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,335268,5,16,1
Memory,BATCH_OPTIMIZED-TEMPLATE,2,Modification,StatisticBasedCase,BasicXform,15897832,5,16,1
Time,BATCH_OPTIMIZED-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,28801801463,6,16,1
Memory,BATCH_OPTIMIZED-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,16881632,6,16,1
PeakMemory,BATCH_OPTIMIZED-TEMPLATE,2,M2MTransformation2,StatisticBasedCase,BasicXform,1451116408,6,16,1
