Sequence,MetricValue,Tool,CaseName,Size,Scenario,RunIndex,PhaseName,Iteration,MetricName
3,12283672,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Initialization,1,Memory
3,74087728,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Initialization,1,PeakMemory
3,52612864,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Initialization,1,AverageMemory
4,51676614,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation1,1,Time
4,12873056,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation1,1,Memory
4,33759104,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation1,1,PeakMemory
4,33759104,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation1,1,AverageMemory
5,136243,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Modification,1,Time
5,12873024,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Modification,1,Memory
6,53021754,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,1,Time
6,12877168,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,1,Memory
6,45086096,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,1,AverageMemory
6,55823536,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,1,PeakMemory
7,175614,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Modification,2,Time
7,12877296,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Modification,2,Memory
8,52886637,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,2,Time
8,12885104,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,2,Memory
8,45090364,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,2,AverageMemory
8,77302656,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,2,PeakMemory
9,143214,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Modification,3,Time
9,12885104,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Modification,3,Memory
10,56802455,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,3,Time
10,12896312,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,3,Memory
10,55835640,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,3,PeakMemory
10,45098188,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,3,AverageMemory
11,198248,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Modification,4,Time
11,12896344,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Modification,4,Memory
12,53829032,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,4,Time
12,12901736,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,4,Memory
12,55846824,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,4,PeakMemory
12,45109412,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,4,AverageMemory
13,201784,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Modification,5,Time
13,12901704,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,Modification,5,Memory
14,53879570,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,5,Time
14,12907616,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,5,Memory
14,55852184,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,5,PeakMemory
14,45114760,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,2,BasicXform,2,M2MTransformation2,5,AverageMemory
1,288780,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,EMFResourceInitialization,1,Time
1,9755080,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,EMFResourceInitialization,1,Memory
2,17204464306,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Generation,1,Time
2,385657288,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Generation,1,Memory
3,630508884,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Initialization,1,Time
3,42657000,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Initialization,1,Memory
3,227672000,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Initialization,1,PeakMemory
3,154160744,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Initialization,1,AverageMemory
4,553122606,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation1,1,Time
4,55056264,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation1,1,Memory
4,420909576,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation1,1,PeakMemory
4,263304164,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation1,1,AverageMemory
5,544732,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Modification,1,Time
5,55056336,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Modification,1,Memory
6,554867786,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,1,Time
6,55062536,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,1,Memory
6,433309992,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,1,PeakMemory
6,275704624,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,1,AverageMemory
7,344582,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Modification,2,Time
7,55062512,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Modification,2,Memory
8,530103418,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,2,Time
8,55068616,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,2,Memory
8,497740856,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,2,PeakMemory
8,275710880,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,2,AverageMemory
9,331295,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Modification,3,Time
9,55068592,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Modification,3,Memory
10,528458913,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,3,Time
10,55073528,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,3,Memory
10,275716992,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,3,AverageMemory
10,433322472,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,3,PeakMemory
11,335585,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Modification,4,Time
11,55073528,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Modification,4,Memory
12,499782576,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,4,Time
12,55079936,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,4,Memory
12,433327560,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,4,PeakMemory
12,275722016,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,4,AverageMemory
13,418156,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Modification,5,Time
13,55079936,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,Modification,5,Memory
14,495460090,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,5,Time
14,55086384,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,5,Memory
14,433333928,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,5,PeakMemory
14,275728392,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,StatisticBasedCase,32,BasicXform,3,M2MTransformation2,5,AverageMemory
1,164956,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,EMFResourceInitialization,1,Time
1,9619760,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,EMFResourceInitialization,1,Memory
2,3082915604,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,Generation,1,Time
2,91706704,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,Generation,1,Memory
3,753042589,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,Initialization,1,Time
3,55534472,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,Initialization,1,Memory
3,249564992,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,Initialization,1,PeakMemory
3,152310072,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,Initialization,1,AverageMemory
4,352307798,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,M2MTransformation1,1,Time
4,65518928,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,M2MTransformation1,1,Memory
4,205212464,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,M2MTransformation1,1,PeakMemory
4,151740864,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,M2MTransformation1,1,AverageMemory
5,5399730,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,Modification,1,Time
5,65913680,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,Modification,1,Memory
6,18440,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,M2MTransformation2,1,Time
6,65914552,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,M2MTransformation2,1,Memory
6,130123520,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,M2MTransformation2,1,PeakMemory
6,108648664,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,M2MTransformation2,1,AverageMemory
7,2490514,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,Modification,2,Time
7,65963912,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,Modification,2,Memory
8,17714,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,M2MTransformation2,2,Time
8,65964784,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,M2MTransformation2,2,Memory
8,108698896,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,M2MTransformation2,2,AverageMemory
8,108698896,INCR_VIATRA_TRANSFORMATION-TEMPLATE,StatisticBasedCase,16,BasicXform,1,M2MTransformation2,2,PeakMemory
