CaseName,Scenario,Size,RunIndex,Tool,MetricValue,Iteration,MetricName,PhaseName,Sequence
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,160158,1,Time,EMFResourceInitialization,1
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,9588080,1,Memory,EMFResourceInitialization,1
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1317962105,1,Time,Generation,2
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,34568648,1,Memory,Generation,2
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,118515678,1,Time,Initialization,3
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13392192,1,Memory,Initialization,3
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,53626592,1,AverageMemory,Initialization,3
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,75101448,1,PeakMemory,Initialization,3
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,166721227,1,Time,M2MTransformation1,4
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,15920328,1,Memory,M2MTransformation1,4
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,131504368,1,PeakMemory,M2MTransformation1,4
StatisticBasedCase,BasicXform,8,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,77817280,1,AverageMemory,M2MTransformation1,4
