PhaseName,MetricValue,Scenario,Sequence,CaseName,Iteration,RunIndex,MetricName,Tool,Size
Modification,15512448,BasicXform,5,StatisticBasedCase,1,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,36882581691,BasicXform,6,StatisticBasedCase,1,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,16557472,BasicXform,6,StatisticBasedCase,1,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,3268282216,BasicXform,6,StatisticBasedCase,1,2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,1129958589,BasicXform,6,StatisticBasedCase,1,2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16
Modification,262695,BasicXform,7,StatisticBasedCase,2,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
Modification,16557560,BasicXform,7,StatisticBasedCase,2,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,37474889510,BasicXform,8,StatisticBasedCase,2,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,17505616,BasicXform,8,StatisticBasedCase,2,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,1111334509,BasicXform,8,StatisticBasedCase,2,2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,3260432504,BasicXform,8,StatisticBasedCase,2,2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16
Modification,148733,BasicXform,9,StatisticBasedCase,3,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
Modification,17505704,BasicXform,9,StatisticBasedCase,3,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,36792638202,BasicXform,10,StatisticBasedCase,3,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,18652200,BasicXform,10,StatisticBasedCase,3,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,1254714176,BasicXform,10,StatisticBasedCase,3,2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,3261626456,BasicXform,10,StatisticBasedCase,3,2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16
Modification,187830,BasicXform,11,StatisticBasedCase,4,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
Modification,18652312,BasicXform,11,StatisticBasedCase,4,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,36722800381,BasicXform,12,StatisticBasedCase,4,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,19603904,BasicXform,12,StatisticBasedCase,4,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,3249884944,BasicXform,12,StatisticBasedCase,4,2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,1235382532,BasicXform,12,StatisticBasedCase,4,2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16
Modification,221295,BasicXform,13,StatisticBasedCase,5,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
Modification,19604016,BasicXform,13,StatisticBasedCase,5,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,36822897962,BasicXform,14,StatisticBasedCase,5,2,Time,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,20556960,BasicXform,14,StatisticBasedCase,5,2,Memory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,1213777821,BasicXform,14,StatisticBasedCase,5,2,AverageMemory,BATCH_OPTIMIZED-TEMPLATE,16
M2MTransformation2,3243488400,BasicXform,14,StatisticBasedCase,5,2,PeakMemory,BATCH_OPTIMIZED-TEMPLATE,16
EMFResourceInitialization,300715,BasicXform,1,StatisticBasedCase,1,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
EMFResourceInitialization,8910056,BasicXform,1,StatisticBasedCase,1,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Generation,66244911,BasicXform,2,StatisticBasedCase,1,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Generation,10751672,BasicXform,2,StatisticBasedCase,1,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Initialization,52236119,BasicXform,3,StatisticBasedCase,1,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Initialization,11402976,BasicXform,3,StatisticBasedCase,1,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Initialization,73445448,BasicXform,3,StatisticBasedCase,1,2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Initialization,51970612,BasicXform,3,StatisticBasedCase,1,2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation1,26098298,BasicXform,4,StatisticBasedCase,1,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation1,11762920,BasicXform,4,StatisticBasedCase,1,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation1,32878408,BasicXform,4,StatisticBasedCase,1,2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation1,32878408,BasicXform,4,StatisticBasedCase,1,2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Modification,198803,BasicXform,5,StatisticBasedCase,1,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Modification,11762776,BasicXform,5,StatisticBasedCase,1,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,31392298,BasicXform,6,StatisticBasedCase,1,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,11771328,BasicXform,6,StatisticBasedCase,1,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,33238408,BasicXform,6,StatisticBasedCase,1,2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,54713264,BasicXform,6,StatisticBasedCase,1,2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Modification,135894,BasicXform,7,StatisticBasedCase,2,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Modification,11771144,BasicXform,7,StatisticBasedCase,2,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,30307463,BasicXform,8,StatisticBasedCase,2,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,11778776,BasicXform,8,StatisticBasedCase,2,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,33246776,BasicXform,8,StatisticBasedCase,2,2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,54721632,BasicXform,8,StatisticBasedCase,2,2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Modification,136989,BasicXform,9,StatisticBasedCase,3,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Modification,11778656,BasicXform,9,StatisticBasedCase,3,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,29127924,BasicXform,10,StatisticBasedCase,3,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,11788072,BasicXform,10,StatisticBasedCase,3,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,54729144,BasicXform,10,StatisticBasedCase,3,2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,33254288,BasicXform,10,StatisticBasedCase,3,2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Modification,125308,BasicXform,11,StatisticBasedCase,4,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Modification,11786928,BasicXform,11,StatisticBasedCase,4,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,27813040,BasicXform,12,StatisticBasedCase,4,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,11796248,BasicXform,12,StatisticBasedCase,4,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,33262584,BasicXform,12,StatisticBasedCase,4,2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,33262584,BasicXform,12,StatisticBasedCase,4,2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Modification,245044,BasicXform,13,StatisticBasedCase,5,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Modification,11796064,BasicXform,13,StatisticBasedCase,5,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,29705532,BasicXform,14,StatisticBasedCase,5,2,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,11803272,BasicXform,14,StatisticBasedCase,5,2,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,33271696,BasicXform,14,StatisticBasedCase,5,2,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
M2MTransformation2,33271696,BasicXform,14,StatisticBasedCase,5,2,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
EMFResourceInitialization,152764,BasicXform,1,StatisticBasedCase,1,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
EMFResourceInitialization,9157768,BasicXform,1,StatisticBasedCase,1,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Generation,3021860097,BasicXform,2,StatisticBasedCase,1,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Generation,191699720,BasicXform,2,StatisticBasedCase,1,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Initialization,413236352,BasicXform,3,StatisticBasedCase,1,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Initialization,97287736,BasicXform,3,StatisticBasedCase,1,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Initialization,189392432,BasicXform,3,StatisticBasedCase,1,1,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Initialization,325229736,BasicXform,3,StatisticBasedCase,1,1,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation1,308981224,BasicXform,4,StatisticBasedCase,1,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation1,119110976,BasicXform,4,StatisticBasedCase,1,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation1,285562992,BasicXform,4,StatisticBasedCase,1,1,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation1,212275624,BasicXform,4,StatisticBasedCase,1,1,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Modification,4940335,BasicXform,5,StatisticBasedCase,1,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Modification,121017656,BasicXform,5,StatisticBasedCase,1,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,469288,BasicXform,6,StatisticBasedCase,1,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,121018736,BasicXform,6,StatisticBasedCase,1,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,162718376,BasicXform,6,StatisticBasedCase,1,1,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,162718376,BasicXform,6,StatisticBasedCase,1,1,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Modification,1458684,BasicXform,7,StatisticBasedCase,2,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Modification,121053728,BasicXform,7,StatisticBasedCase,2,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,19695,BasicXform,8,StatisticBasedCase,2,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,121054608,BasicXform,8,StatisticBasedCase,2,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,162754448,BasicXform,8,StatisticBasedCase,2,1,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,162754448,BasicXform,8,StatisticBasedCase,2,1,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Modification,1303007,BasicXform,9,StatisticBasedCase,3,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Modification,121090312,BasicXform,9,StatisticBasedCase,3,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,13779,BasicXform,10,StatisticBasedCase,3,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,121091392,BasicXform,10,StatisticBasedCase,3,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,162791032,BasicXform,10,StatisticBasedCase,3,1,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,141941212,BasicXform,10,StatisticBasedCase,3,1,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Modification,1245465,BasicXform,11,StatisticBasedCase,4,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Modification,121127168,BasicXform,11,StatisticBasedCase,4,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,13513,BasicXform,12,StatisticBasedCase,4,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,121128272,BasicXform,12,StatisticBasedCase,4,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,162827912,BasicXform,12,StatisticBasedCase,4,1,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,162828056,BasicXform,12,StatisticBasedCase,4,1,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Modification,1308781,BasicXform,13,StatisticBasedCase,5,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
Modification,121163768,BasicXform,13,StatisticBasedCase,5,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,12504,BasicXform,14,StatisticBasedCase,5,1,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,121164648,BasicXform,14,StatisticBasedCase,5,1,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,142014668,BasicXform,14,StatisticBasedCase,5,1,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
M2MTransformation2,162864488,BasicXform,14,StatisticBasedCase,5,1,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16
EMFResourceInitialization,532502,BasicXform,1,StatisticBasedCase,1,2,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
EMFResourceInitialization,9067576,BasicXform,1,StatisticBasedCase,1,2,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
Generation,848452141,BasicXform,2,StatisticBasedCase,1,2,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
Generation,54257672,BasicXform,2,StatisticBasedCase,1,2,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
Initialization,155828417,BasicXform,3,StatisticBasedCase,1,2,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
Initialization,37128520,BasicXform,3,StatisticBasedCase,1,2,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
Initialization,117525536,BasicXform,3,StatisticBasedCase,1,2,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
Initialization,74575848,BasicXform,3,StatisticBasedCase,1,2,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
M2MTransformation1,272035463,BasicXform,4,StatisticBasedCase,1,2,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
M2MTransformation1,47228688,BasicXform,4,StatisticBasedCase,1,2,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
M2MTransformation1,144503400,BasicXform,4,StatisticBasedCase,1,2,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
M2MTransformation1,101553700,BasicXform,4,StatisticBasedCase,1,2,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
Modification,3267508,BasicXform,5,StatisticBasedCase,1,2,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
Modification,48126704,BasicXform,5,StatisticBasedCase,1,2,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
M2MTransformation2,17430,BasicXform,6,StatisticBasedCase,1,2,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
M2MTransformation2,48127576,BasicXform,6,StatisticBasedCase,1,2,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
M2MTransformation2,80339824,BasicXform,6,StatisticBasedCase,1,2,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
M2MTransformation2,69602384,BasicXform,6,StatisticBasedCase,1,2,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8
