Iteration,CaseName,Tool,Size,Scenario,MetricName,Sequence,MetricValue,PhaseName,RunIndex
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,PeakMemory,12,55321152,M2MTransformation2,2
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,AverageMemory,12,44583700,M2MTransformation2,2
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Time,13,166606,Modification,2
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Memory,13,12386992,Modification,2
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Time,14,54378233,M2MTransformation2,2
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,Memory,14,12394136,M2MTransformation2,2
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,AverageMemory,14,44600060,M2MTransformation2,2
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,BasicXform,PeakMemory,14,76812352,M2MTransformation2,2
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,1,156527,EMFResourceInitialization,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,1,9257880,EMFResourceInitialization,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,2,17686295000,Generation,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,2,643384016,Generation,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,3,631143467,Initialization,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,3,43507984,Initialization,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,PeakMemory,3,225311568,Initialization,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,AverageMemory,3,152420552,Initialization,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,4,704202335,M2MTransformation1,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,4,59547152,M2MTransformation1,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,AverageMemory,4,418040608,M2MTransformation1,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,PeakMemory,4,762362904,M2MTransformation1,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,5,552764,Modification,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,5,59545200,Modification,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,6,676353505,M2MTransformation2,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,6,59553424,M2MTransformation2,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,AverageMemory,6,466290264,M2MTransformation2,3
1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,PeakMemory,6,810612552,M2MTransformation2,3
2,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,7,549387,Modification,3
2,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,7,59553240,Modification,3
2,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,8,647515208,M2MTransformation2,3
2,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,8,59560752,M2MTransformation2,3
2,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,PeakMemory,8,810653416,M2MTransformation2,3
2,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,AverageMemory,8,434102452,M2MTransformation2,3
3,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,9,300162,Modification,3
3,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,9,59560568,Modification,3
3,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,10,579719639,M2MTransformation2,3
3,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,10,59568064,M2MTransformation2,3
3,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,PeakMemory,10,746203616,M2MTransformation2,3
3,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,AverageMemory,10,434093480,M2MTransformation2,3
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,11,317075,Modification,3
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,11,59567904,Modification,3
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,12,573629166,M2MTransformation2,3
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,12,59575200,M2MTransformation2,3
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,PeakMemory,12,746211328,M2MTransformation2,3
4,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,AverageMemory,12,434101016,M2MTransformation2,3
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,13,345243,Modification,3
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,13,59575040,Modification,3
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Time,14,571451898,M2MTransformation2,3
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,Memory,14,59582120,M2MTransformation2,3
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,PeakMemory,14,746217896,M2MTransformation2,3
5,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,BasicXform,AverageMemory,14,434107856,M2MTransformation2,3
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Time,1,186885,EMFResourceInitialization,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Memory,1,9156752,EMFResourceInitialization,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Time,2,3517598539,Generation,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Memory,2,161257088,Generation,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Time,3,428678934,Initialization,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Memory,3,81956136,Initialization,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,PeakMemory,3,291019984,Initialization,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,AverageMemory,3,172914688,Initialization,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Time,4,325817408,M2MTransformation1,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Memory,4,101736168,M2MTransformation1,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,PeakMemory,4,253744920,M2MTransformation1,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,AverageMemory,4,189324344,M2MTransformation1,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Time,5,5050656,Modification,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Memory,5,103486544,Modification,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Time,6,29334,M2MTransformation2,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Memory,6,103487424,M2MTransformation2,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,PeakMemory,6,189384072,M2MTransformation2,1
1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,AverageMemory,6,146434376,M2MTransformation2,1
2,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Time,7,1906334,Modification,1
2,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Memory,7,103549240,Modification,1
2,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Time,8,15800,M2MTransformation2,1
2,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,Memory,8,103550120,M2MTransformation2,1
2,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,AverageMemory,8,146497072,M2MTransformation2,1
2,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,BasicXform,PeakMemory,8,146497072,M2MTransformation2,1
