Size,Iteration,Sequence,PhaseName,MetricValue,Tool,Scenario,RunIndex,MetricName,CaseName
16,1,5,Modification,15510032,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,1,6,M2MTransformation2,35512239895,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,1,6,M2MTransformation2,16553432,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,1,6,M2MTransformation2,3305160168,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
16,1,6,M2MTransformation2,986653769,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
16,2,7,Modification,231265,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,2,7,Modification,16553520,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,2,8,M2MTransformation2,36373364102,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,2,8,M2MTransformation2,17501288,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,2,8,M2MTransformation2,3298109584,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
16,2,8,M2MTransformation2,1249057443,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
16,3,9,Modification,199722,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,3,9,Modification,17500424,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,3,10,M2MTransformation2,36316913179,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,3,10,M2MTransformation2,18645488,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,3,10,M2MTransformation2,3294108568,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
16,3,10,M2MTransformation2,1308326386,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
16,4,11,Modification,152278,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,4,11,Modification,18645600,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,4,12,M2MTransformation2,35755171647,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,4,12,M2MTransformation2,19595760,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,4,12,M2MTransformation2,3286496472,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
16,4,12,M2MTransformation2,1121830102,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
16,5,13,Modification,277197,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,5,13,Modification,19595872,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,5,14,M2MTransformation2,36623915075,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
16,5,14,M2MTransformation2,20547384,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
16,5,14,M2MTransformation2,1259644861,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
16,5,14,M2MTransformation2,3280106688,BATCH_OPTIMIZED-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
1,1,1,EMFResourceInitialization,952972,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,1,1,EMFResourceInitialization,8907264,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,1,2,Generation,52156546,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,1,2,Generation,10650888,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,1,3,Initialization,52148897,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,1,3,Initialization,11386568,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,1,3,Initialization,73449800,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
1,1,3,Initialization,62712376,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
1,1,4,M2MTransformation1,24418284,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,1,4,M2MTransformation1,11752072,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,1,4,M2MTransformation1,32862000,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
1,1,4,M2MTransformation1,32862000,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
1,1,5,Modification,139531,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,1,5,Modification,11751888,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,1,6,M2MTransformation2,27032630,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,1,6,M2MTransformation2,11759808,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,1,6,M2MTransformation2,54702376,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
1,1,6,M2MTransformation2,33227520,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
1,2,7,Modification,160598,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,2,7,Modification,11759624,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,2,8,M2MTransformation2,26152272,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,2,8,M2MTransformation2,11768328,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,2,8,M2MTransformation2,54710112,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
1,2,8,M2MTransformation2,33235256,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
1,3,9,Modification,163394,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,3,9,Modification,11768144,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,3,10,M2MTransformation2,26924216,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,3,10,M2MTransformation2,11775888,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,3,10,M2MTransformation2,33243776,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
1,3,10,M2MTransformation2,33243776,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
1,4,11,Modification,107606,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,4,11,Modification,11775728,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,4,12,M2MTransformation2,28173168,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,4,12,M2MTransformation2,11784160,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,4,12,M2MTransformation2,33251384,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
1,4,12,M2MTransformation2,33251384,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
1,5,13,Modification,165109,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,5,13,Modification,11783976,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,5,14,M2MTransformation2,28675625,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
1,5,14,M2MTransformation2,11792192,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
1,5,14,M2MTransformation2,43997060,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
1,5,14,M2MTransformation2,54734512,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
16,1,1,EMFResourceInitialization,306160,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,1,1,EMFResourceInitialization,9158848,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,1,2,Generation,3092916170,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,1,2,Generation,152833656,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,1,3,Initialization,443221850,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,1,3,Initialization,81836840,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,1,3,Initialization,171938368,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,1,3,Initialization,289500736,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,1,4,M2MTransformation1,337025093,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,1,4,M2MTransformation1,101617344,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,1,4,M2MTransformation1,273393024,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,1,4,M2MTransformation1,188137904,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,1,5,Modification,4845603,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,1,5,Modification,103368976,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,1,6,M2MTransformation2,40165,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,1,6,M2MTransformation2,103369856,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,1,6,M2MTransformation2,145889976,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,1,6,M2MTransformation2,188839672,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,2,7,Modification,1893366,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,2,7,Modification,103431672,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,2,8,M2MTransformation2,32995,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,2,8,M2MTransformation2,103432552,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,2,8,M2MTransformation2,188902368,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,2,8,M2MTransformation2,145952672,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,3,9,Modification,1592598,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,3,9,Modification,103495264,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,3,10,M2MTransformation2,18064,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,3,10,M2MTransformation2,103496144,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,3,10,M2MTransformation2,146016264,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,3,10,M2MTransformation2,124756304,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,4,11,Modification,4032377,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,4,11,Modification,103558800,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,4,12,M2MTransformation2,25663,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,4,12,M2MTransformation2,103559904,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,4,12,M2MTransformation2,146079824,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,4,12,M2MTransformation2,124819864,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
16,5,13,Modification,1879524,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,5,13,Modification,103621760,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,5,14,M2MTransformation2,18438,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Time,StatisticBasedCase
16,5,14,M2MTransformation2,103622640,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,Memory,StatisticBasedCase
16,5,14,M2MTransformation2,146142760,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,PeakMemory,StatisticBasedCase
16,5,14,M2MTransformation2,146142760,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,1,AverageMemory,StatisticBasedCase
8,1,1,EMFResourceInitialization,160137,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
8,1,1,EMFResourceInitialization,9067488,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
8,1,2,Generation,766387488,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
8,1,2,Generation,45734720,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
8,1,3,Initialization,153338978,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
8,1,3,Initialization,33281920,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
8,1,3,Initialization,149740696,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
8,1,3,Initialization,85316128,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
8,1,4,M2MTransformation1,181407356,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
8,1,4,M2MTransformation1,42436136,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
8,1,4,M2MTransformation1,97707064,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
8,1,4,M2MTransformation1,76232208,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
8,1,5,Modification,3295934,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
8,1,5,Modification,43284728,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
8,1,6,M2MTransformation2,16935,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,Time,StatisticBasedCase
8,1,6,M2MTransformation2,43285600,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,Memory,StatisticBasedCase
8,1,6,M2MTransformation2,54023080,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,AverageMemory,StatisticBasedCase
8,1,6,M2MTransformation2,64760360,INCR_VIATRA_TRANSFORMATION-TEMPLATE,BasicXform,2,PeakMemory,StatisticBasedCase
