RunIndex,CaseName,MetricValue,Tool,Iteration,MetricName,Sequence,Scenario,Size,PhaseName
2,StatisticBasedCase,6094577952,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,5,Memory,19,ToolChainPerformance,64,Modification
2,StatisticBasedCase,2854,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,5,Time,20,ToolChainPerformance,64,M2MTransformation2
2,StatisticBasedCase,6094823008,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,5,Memory,20,ToolChainPerformance,64,M2MTransformation2
2,StatisticBasedCase,34994600,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,5,Time,21,ToolChainPerformance,64,M2TTransformation2
2,StatisticBasedCase,6104519896,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,5,Memory,21,ToolChainPerformance,64,M2TTransformation2
5,StatisticBasedCase,323849,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Time,1,ToolChainPerformance,64,EMFResourceInitialization
5,StatisticBasedCase,15151976,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Memory,1,ToolChainPerformance,64,EMFResourceInitialization
5,StatisticBasedCase,105167754635,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Time,2,ToolChainPerformance,64,Generation
5,StatisticBasedCase,3446114384,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Memory,2,ToolChainPerformance,64,Generation
5,StatisticBasedCase,11850631492,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Time,3,ToolChainPerformance,64,Initialization
5,StatisticBasedCase,32600128318,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Time,4,ToolChainPerformance,64,M2MTransformation1
5,StatisticBasedCase,5337757624,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Memory,4,ToolChainPerformance,64,M2MTransformation1
5,StatisticBasedCase,43478656191,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Time,5,ToolChainPerformance,64,M2TTransformation1
5,StatisticBasedCase,6017310808,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Memory,5,ToolChainPerformance,64,M2TTransformation1
5,StatisticBasedCase,4616614752,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Time,6,ToolChainPerformance,64,ChangeMonitorInitialization
5,StatisticBasedCase,6073444504,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Memory,6,ToolChainPerformance,64,ChangeMonitorInitialization
5,StatisticBasedCase,8341908,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Time,7,ToolChainPerformance,64,Modification
5,StatisticBasedCase,6072381152,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Memory,7,ToolChainPerformance,64,Modification
5,StatisticBasedCase,3156,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Time,8,ToolChainPerformance,64,M2MTransformation2
5,StatisticBasedCase,6072018016,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Memory,8,ToolChainPerformance,64,M2MTransformation2
5,StatisticBasedCase,9795663,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Time,9,ToolChainPerformance,64,M2TTransformation2
5,StatisticBasedCase,6073131104,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,1,Memory,9,ToolChainPerformance,64,M2TTransformation2
5,StatisticBasedCase,8505659,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,2,Time,10,ToolChainPerformance,64,Modification
5,StatisticBasedCase,6074158720,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,2,Memory,10,ToolChainPerformance,64,Modification
5,StatisticBasedCase,3157,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,2,Time,11,ToolChainPerformance,64,M2MTransformation2
5,StatisticBasedCase,6074054760,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,2,Memory,11,ToolChainPerformance,64,M2MTransformation2
5,StatisticBasedCase,15871305,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,2,Time,12,ToolChainPerformance,64,M2TTransformation2
5,StatisticBasedCase,6074151368,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,2,Memory,12,ToolChainPerformance,64,M2TTransformation2
5,StatisticBasedCase,7768741,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3,Time,13,ToolChainPerformance,64,Modification
5,StatisticBasedCase,6073029152,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3,Memory,13,ToolChainPerformance,64,Modification
5,StatisticBasedCase,3686,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3,Time,14,ToolChainPerformance,64,M2MTransformation2
5,StatisticBasedCase,6072950944,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3,Memory,14,ToolChainPerformance,64,M2MTransformation2
5,StatisticBasedCase,22938343,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3,Time,15,ToolChainPerformance,64,M2TTransformation2
5,StatisticBasedCase,6073091144,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,3,Memory,15,ToolChainPerformance,64,M2TTransformation2
5,StatisticBasedCase,7052070,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4,Time,16,ToolChainPerformance,64,Modification
5,StatisticBasedCase,6074539496,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4,Memory,16,ToolChainPerformance,64,Modification
5,StatisticBasedCase,3157,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4,Time,17,ToolChainPerformance,64,M2MTransformation2
5,StatisticBasedCase,6074526800,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4,Memory,17,ToolChainPerformance,64,M2MTransformation2
5,StatisticBasedCase,29647177,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4,Time,18,ToolChainPerformance,64,M2TTransformation2
5,StatisticBasedCase,6073257736,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,4,Memory,18,ToolChainPerformance,64,M2TTransformation2
5,StatisticBasedCase,7753603,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,5,Time,19,ToolChainPerformance,64,Modification
5,StatisticBasedCase,6073391944,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,5,Memory,19,ToolChainPerformance,64,Modification
5,StatisticBasedCase,3493,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,5,Time,20,ToolChainPerformance,64,M2MTransformation2
5,StatisticBasedCase,6074463256,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,5,Memory,20,ToolChainPerformance,64,M2MTransformation2
5,StatisticBasedCase,35692185,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,5,Time,21,ToolChainPerformance,64,M2TTransformation2
5,StatisticBasedCase,6073506864,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,5,Memory,21,ToolChainPerformance,64,M2TTransformation2
5,StatisticBasedCase,399320,INCR_VIATRA_TRANSFORMATION-JDT,1,Time,1,ToolChainPerformance,2,EMFResourceInitialization
5,StatisticBasedCase,24919040,INCR_VIATRA_TRANSFORMATION-JDT,1,Memory,1,ToolChainPerformance,2,EMFResourceInitialization
5,StatisticBasedCase,200116579,INCR_VIATRA_TRANSFORMATION-JDT,1,Time,2,ToolChainPerformance,2,Generation
5,StatisticBasedCase,28666656,INCR_VIATRA_TRANSFORMATION-JDT,1,Memory,2,ToolChainPerformance,2,Generation
5,StatisticBasedCase,79517379,INCR_VIATRA_TRANSFORMATION-JDT,1,Time,3,ToolChainPerformance,2,Initialization
5,StatisticBasedCase,178917337,INCR_VIATRA_TRANSFORMATION-JDT,1,Time,4,ToolChainPerformance,2,M2MTransformation1
5,StatisticBasedCase,31954840,INCR_VIATRA_TRANSFORMATION-JDT,1,Memory,4,ToolChainPerformance,2,M2MTransformation1
5,StatisticBasedCase,786618409,INCR_VIATRA_TRANSFORMATION-JDT,1,Time,5,ToolChainPerformance,2,M2TTransformation1
5,StatisticBasedCase,27608120,INCR_VIATRA_TRANSFORMATION-JDT,1,Memory,5,ToolChainPerformance,2,M2TTransformation1
5,StatisticBasedCase,24430934,INCR_VIATRA_TRANSFORMATION-JDT,1,Time,6,ToolChainPerformance,2,ChangeMonitorInitialization
5,StatisticBasedCase,28615928,INCR_VIATRA_TRANSFORMATION-JDT,1,Memory,6,ToolChainPerformance,2,ChangeMonitorInitialization
5,StatisticBasedCase,7299547,INCR_VIATRA_TRANSFORMATION-JDT,1,Time,7,ToolChainPerformance,2,Modification
5,StatisticBasedCase,28608120,INCR_VIATRA_TRANSFORMATION-JDT,1,Memory,7,ToolChainPerformance,2,Modification
5,StatisticBasedCase,17449,INCR_VIATRA_TRANSFORMATION-JDT,1,Time,8,ToolChainPerformance,2,M2MTransformation2
5,StatisticBasedCase,28607512,INCR_VIATRA_TRANSFORMATION-JDT,1,Memory,8,ToolChainPerformance,2,M2MTransformation2
5,StatisticBasedCase,10549382,INCR_VIATRA_TRANSFORMATION-JDT,1,Time,9,ToolChainPerformance,2,M2TTransformation2
5,StatisticBasedCase,28698376,INCR_VIATRA_TRANSFORMATION-JDT,1,Memory,9,ToolChainPerformance,2,M2TTransformation2
5,StatisticBasedCase,8002044,INCR_VIATRA_TRANSFORMATION-JDT,2,Time,10,ToolChainPerformance,2,Modification
5,StatisticBasedCase,39456904,INCR_VIATRA_TRANSFORMATION-JDT,2,Memory,10,ToolChainPerformance,2,Modification
5,StatisticBasedCase,19456,INCR_VIATRA_TRANSFORMATION-JDT,2,Time,11,ToolChainPerformance,2,M2MTransformation2
5,StatisticBasedCase,50170264,INCR_VIATRA_TRANSFORMATION-JDT,2,Memory,11,ToolChainPerformance,2,M2MTransformation2
5,StatisticBasedCase,18367406,INCR_VIATRA_TRANSFORMATION-JDT,2,Time,12,ToolChainPerformance,2,M2TTransformation2
5,StatisticBasedCase,28677000,INCR_VIATRA_TRANSFORMATION-JDT,2,Memory,12,ToolChainPerformance,2,M2TTransformation2
5,StatisticBasedCase,6095907,INCR_VIATRA_TRANSFORMATION-JDT,3,Time,13,ToolChainPerformance,2,Modification
5,StatisticBasedCase,39454024,INCR_VIATRA_TRANSFORMATION-JDT,3,Memory,13,ToolChainPerformance,2,Modification
5,StatisticBasedCase,18246,INCR_VIATRA_TRANSFORMATION-JDT,3,Time,14,ToolChainPerformance,2,M2MTransformation2
5,StatisticBasedCase,28709536,INCR_VIATRA_TRANSFORMATION-JDT,3,Memory,14,ToolChainPerformance,2,M2MTransformation2
5,StatisticBasedCase,28420999,INCR_VIATRA_TRANSFORMATION-JDT,3,Time,15,ToolChainPerformance,2,M2TTransformation2
5,StatisticBasedCase,28838056,INCR_VIATRA_TRANSFORMATION-JDT,3,Memory,15,ToolChainPerformance,2,M2TTransformation2
5,StatisticBasedCase,5721382,INCR_VIATRA_TRANSFORMATION-JDT,4,Time,16,ToolChainPerformance,2,Modification
5,StatisticBasedCase,28794824,INCR_VIATRA_TRANSFORMATION-JDT,4,Memory,16,ToolChainPerformance,2,Modification
5,StatisticBasedCase,19963,INCR_VIATRA_TRANSFORMATION-JDT,4,Time,17,ToolChainPerformance,2,M2MTransformation2
5,StatisticBasedCase,39532808,INCR_VIATRA_TRANSFORMATION-JDT,4,Memory,17,ToolChainPerformance,2,M2MTransformation2
5,StatisticBasedCase,37361334,INCR_VIATRA_TRANSFORMATION-JDT,4,Time,18,ToolChainPerformance,2,M2TTransformation2
5,StatisticBasedCase,28949072,INCR_VIATRA_TRANSFORMATION-JDT,4,Memory,18,ToolChainPerformance,2,M2TTransformation2
5,StatisticBasedCase,5700293,INCR_VIATRA_TRANSFORMATION-JDT,5,Time,19,ToolChainPerformance,2,Modification
5,StatisticBasedCase,28996072,INCR_VIATRA_TRANSFORMATION-JDT,5,Memory,19,ToolChainPerformance,2,Modification
5,StatisticBasedCase,21622,INCR_VIATRA_TRANSFORMATION-JDT,5,Time,20,ToolChainPerformance,2,M2MTransformation2
5,StatisticBasedCase,28994944,INCR_VIATRA_TRANSFORMATION-JDT,5,Memory,20,ToolChainPerformance,2,M2MTransformation2
5,StatisticBasedCase,46462464,INCR_VIATRA_TRANSFORMATION-JDT,5,Time,21,ToolChainPerformance,2,M2TTransformation2
5,StatisticBasedCase,29187968,INCR_VIATRA_TRANSFORMATION-JDT,5,Memory,21,ToolChainPerformance,2,M2TTransformation2
4,StatisticBasedCase,972855,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Time,1,ToolChainPerformance,8,EMFResourceInitialization
4,StatisticBasedCase,29075688,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Memory,1,ToolChainPerformance,8,EMFResourceInitialization
4,StatisticBasedCase,993926208,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Time,2,ToolChainPerformance,8,Generation
4,StatisticBasedCase,79375392,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Memory,2,ToolChainPerformance,8,Generation
4,StatisticBasedCase,78784156,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Time,3,ToolChainPerformance,8,Initialization
4,StatisticBasedCase,151788369,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Time,4,ToolChainPerformance,8,M2MTransformation1
4,StatisticBasedCase,61703344,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Memory,4,ToolChainPerformance,8,M2MTransformation1
4,StatisticBasedCase,2613517349,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Time,5,ToolChainPerformance,8,M2TTransformation1
4,StatisticBasedCase,88469520,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Memory,5,ToolChainPerformance,8,M2TTransformation1
4,StatisticBasedCase,582,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Time,6,ToolChainPerformance,8,EmptyChangeMonitorInitialization
4,StatisticBasedCase,88495368,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Memory,6,ToolChainPerformance,8,EmptyChangeMonitorInitialization
4,StatisticBasedCase,418886,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Time,7,ToolChainPerformance,8,Modification
4,StatisticBasedCase,88631872,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Memory,7,ToolChainPerformance,8,Modification
4,StatisticBasedCase,106519621,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Time,8,ToolChainPerformance,8,M2MTransformation2
4,StatisticBasedCase,86887656,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Memory,8,ToolChainPerformance,8,M2MTransformation2
4,StatisticBasedCase,2641302160,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Time,9,ToolChainPerformance,8,M2TTransformation2
4,StatisticBasedCase,116553840,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,1,Memory,9,ToolChainPerformance,8,M2TTransformation2
4,StatisticBasedCase,440858,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,2,Time,10,ToolChainPerformance,8,Modification
4,StatisticBasedCase,112664496,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,2,Memory,10,ToolChainPerformance,8,Modification
4,StatisticBasedCase,90946498,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,2,Time,11,ToolChainPerformance,8,M2MTransformation2
4,StatisticBasedCase,115079504,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,2,Memory,11,ToolChainPerformance,8,M2MTransformation2
4,StatisticBasedCase,2403698366,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,2,Time,12,ToolChainPerformance,8,M2TTransformation2
4,StatisticBasedCase,146926408,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,2,Memory,12,ToolChainPerformance,8,M2TTransformation2
4,StatisticBasedCase,372543,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,3,Time,13,ToolChainPerformance,8,Modification
4,StatisticBasedCase,144654216,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,3,Memory,13,ToolChainPerformance,8,Modification
4,StatisticBasedCase,96016448,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,3,Time,14,ToolChainPerformance,8,M2MTransformation2
4,StatisticBasedCase,143084688,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,3,Memory,14,ToolChainPerformance,8,M2MTransformation2
