MetricName,MetricValue,PhaseName,Size,Iteration,Tool,RunIndex,Sequence,Scenario,CaseName
Time,38126567630,M2MTransformation2,16,2,BATCH_OPTIMIZED-TEMPLATE,2,8,BasicXform,StatisticBasedCase
Memory,19821240,M2MTransformation2,16,2,BATCH_OPTIMIZED-TEMPLATE,2,8,BasicXform,StatisticBasedCase
AverageMemory,1233827267,M2MTransformation2,16,2,BATCH_OPTIMIZED-TEMPLATE,2,8,BasicXform,StatisticBasedCase
PeakMemory,3094432648,M2MTransformation2,16,2,BATCH_OPTIMIZED-TEMPLATE,2,8,BasicXform,StatisticBasedCase
Time,167324,Modification,16,3,BATCH_OPTIMIZED-TEMPLATE,2,9,BasicXform,StatisticBasedCase
Memory,19820408,Modification,16,3,BATCH_OPTIMIZED-TEMPLATE,2,9,BasicXform,StatisticBasedCase
Time,38422250861,M2MTransformation2,16,3,BATCH_OPTIMIZED-TEMPLATE,2,10,BasicXform,StatisticBasedCase
Memory,20965920,M2MTransformation2,16,3,BATCH_OPTIMIZED-TEMPLATE,2,10,BasicXform,StatisticBasedCase
AverageMemory,1209758312,M2MTransformation2,16,3,BATCH_OPTIMIZED-TEMPLATE,2,10,BasicXform,StatisticBasedCase
PeakMemory,3088269800,M2MTransformation2,16,3,BATCH_OPTIMIZED-TEMPLATE,2,10,BasicXform,StatisticBasedCase
Time,118725,Modification,16,4,BATCH_OPTIMIZED-TEMPLATE,2,11,BasicXform,StatisticBasedCase
Memory,20966064,Modification,16,4,BATCH_OPTIMIZED-TEMPLATE,2,11,BasicXform,StatisticBasedCase
Time,38592454450,M2MTransformation2,16,4,BATCH_OPTIMIZED-TEMPLATE,2,12,BasicXform,StatisticBasedCase
Memory,21916616,M2MTransformation2,16,4,BATCH_OPTIMIZED-TEMPLATE,2,12,BasicXform,StatisticBasedCase
AverageMemory,1136251592,M2MTransformation2,16,4,BATCH_OPTIMIZED-TEMPLATE,2,12,BasicXform,StatisticBasedCase
PeakMemory,3082378504,M2MTransformation2,16,4,BATCH_OPTIMIZED-TEMPLATE,2,12,BasicXform,StatisticBasedCase
Time,122399,Modification,16,5,BATCH_OPTIMIZED-TEMPLATE,2,13,BasicXform,StatisticBasedCase
Memory,21916760,Modification,16,5,BATCH_OPTIMIZED-TEMPLATE,2,13,BasicXform,StatisticBasedCase
Time,38053505699,M2MTransformation2,16,5,BATCH_OPTIMIZED-TEMPLATE,2,14,BasicXform,StatisticBasedCase
Memory,22868608,M2MTransformation2,16,5,BATCH_OPTIMIZED-TEMPLATE,2,14,BasicXform,StatisticBasedCase
AverageMemory,1120363080,M2MTransformation2,16,5,BATCH_OPTIMIZED-TEMPLATE,2,14,BasicXform,StatisticBasedCase
PeakMemory,3076513432,M2MTransformation2,16,5,BATCH_OPTIMIZED-TEMPLATE,2,14,BasicXform,StatisticBasedCase
Time,364962,EMFResourceInitialization,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,1,BasicXform,StatisticBasedCase
Memory,11208896,EMFResourceInitialization,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,1,BasicXform,StatisticBasedCase
Time,173348757,Generation,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,2,BasicXform,StatisticBasedCase
Memory,13094872,Generation,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,2,BasicXform,StatisticBasedCase
Time,92537884,Initialization,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,3,BasicXform,StatisticBasedCase
Memory,13638312,Initialization,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,3,BasicXform,StatisticBasedCase
AverageMemory,54272900,Initialization,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,3,BasicXform,StatisticBasedCase
PeakMemory,97222600,Initialization,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,3,BasicXform,StatisticBasedCase
Time,23408303,M2MTransformation1,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,4,BasicXform,StatisticBasedCase
Memory,13972848,M2MTransformation1,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,4,BasicXform,StatisticBasedCase
PeakMemory,35113744,M2MTransformation1,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,4,BasicXform,StatisticBasedCase
AverageMemory,35113744,M2MTransformation1,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,4,BasicXform,StatisticBasedCase
Time,156649,Modification,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,5,BasicXform,StatisticBasedCase
Memory,13973008,Modification,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,5,BasicXform,StatisticBasedCase
Time,24863493,M2MTransformation2,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,6,BasicXform,StatisticBasedCase
Memory,13980688,M2MTransformation2,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,6,BasicXform,StatisticBasedCase
PeakMemory,35448608,M2MTransformation2,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,6,BasicXform,StatisticBasedCase
AverageMemory,35448608,M2MTransformation2,1,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,6,BasicXform,StatisticBasedCase
Time,179322,Modification,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,7,BasicXform,StatisticBasedCase
Memory,13980848,Modification,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,7,BasicXform,StatisticBasedCase
Time,26112509,M2MTransformation2,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,8,BasicXform,StatisticBasedCase
Memory,13989376,M2MTransformation2,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,8,BasicXform,StatisticBasedCase
PeakMemory,35456448,M2MTransformation2,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,8,BasicXform,StatisticBasedCase
AverageMemory,35456448,M2MTransformation2,1,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,8,BasicXform,StatisticBasedCase
Time,138921,Modification,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,9,BasicXform,StatisticBasedCase
Memory,13989576,Modification,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,9,BasicXform,StatisticBasedCase
Time,27235867,M2MTransformation2,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,10,BasicXform,StatisticBasedCase
Memory,13997128,M2MTransformation2,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,10,BasicXform,StatisticBasedCase
AverageMemory,35465176,M2MTransformation2,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,10,BasicXform,StatisticBasedCase
PeakMemory,35465176,M2MTransformation2,1,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,10,BasicXform,StatisticBasedCase
Time,195109,Modification,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,11,BasicXform,StatisticBasedCase
Memory,13997312,Modification,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,11,BasicXform,StatisticBasedCase
Time,27343594,M2MTransformation2,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,12,BasicXform,StatisticBasedCase
Memory,14010768,M2MTransformation2,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,12,BasicXform,StatisticBasedCase
PeakMemory,35472936,M2MTransformation2,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,12,BasicXform,StatisticBasedCase
AverageMemory,35472936,M2MTransformation2,1,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,12,BasicXform,StatisticBasedCase
Time,180694,Modification,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,13,BasicXform,StatisticBasedCase
Memory,14010992,Modification,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,13,BasicXform,StatisticBasedCase
Time,27839359,M2MTransformation2,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,14,BasicXform,StatisticBasedCase
Memory,14018944,M2MTransformation2,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,14,BasicXform,StatisticBasedCase
PeakMemory,35486592,M2MTransformation2,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,14,BasicXform,StatisticBasedCase
AverageMemory,35486592,M2MTransformation2,1,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,14,BasicXform,StatisticBasedCase
Time,249652,EMFResourceInitialization,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,BasicXform,StatisticBasedCase
Memory,11450072,EMFResourceInitialization,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,BasicXform,StatisticBasedCase
Time,3652712968,Generation,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,BasicXform,StatisticBasedCase
Memory,194101496,Generation,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,BasicXform,StatisticBasedCase
Time,475880064,Initialization,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,3,BasicXform,StatisticBasedCase
Memory,97108784,Initialization,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,3,BasicXform,StatisticBasedCase
PeakMemory,373926152,Initialization,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,3,BasicXform,StatisticBasedCase
AverageMemory,215049516,Initialization,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,3,BasicXform,StatisticBasedCase
Time,321482649,M2MTransformation1,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,4,BasicXform,StatisticBasedCase
Memory,118939952,M2MTransformation1,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,4,BasicXform,StatisticBasedCase
AverageMemory,212911576,M2MTransformation1,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,4,BasicXform,StatisticBasedCase
PeakMemory,286687888,M2MTransformation1,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,4,BasicXform,StatisticBasedCase
Time,5357453,Modification,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,5,BasicXform,StatisticBasedCase
Memory,120846992,Modification,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,5,BasicXform,StatisticBasedCase
Time,40126,M2MTransformation2,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,6,BasicXform,StatisticBasedCase
Memory,120847840,M2MTransformation2,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,6,BasicXform,StatisticBasedCase
PeakMemory,162873640,M2MTransformation2,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,6,BasicXform,StatisticBasedCase
AverageMemory,162873640,M2MTransformation2,16,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,6,BasicXform,StatisticBasedCase
Time,1718149,Modification,16,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,7,BasicXform,StatisticBasedCase
Memory,120883104,Modification,16,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,7,BasicXform,StatisticBasedCase
Time,31293,M2MTransformation2,16,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,8,BasicXform,StatisticBasedCase
Memory,120883952,M2MTransformation2,16,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,8,BasicXform,StatisticBasedCase
AverageMemory,162909752,M2MTransformation2,16,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,8,BasicXform,StatisticBasedCase
PeakMemory,205859448,M2MTransformation2,16,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,8,BasicXform,StatisticBasedCase
Time,1228320,Modification,16,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,9,BasicXform,StatisticBasedCase
Memory,120919792,Modification,16,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,9,BasicXform,StatisticBasedCase
Time,15583,M2MTransformation2,16,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,10,BasicXform,StatisticBasedCase
Memory,120920640,M2MTransformation2,16,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,10,BasicXform,StatisticBasedCase
AverageMemory,162946440,M2MTransformation2,16,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,10,BasicXform,StatisticBasedCase
PeakMemory,162946440,M2MTransformation2,16,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,10,BasicXform,StatisticBasedCase
Time,1131640,Modification,16,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,11,BasicXform,StatisticBasedCase
Memory,120956616,Modification,16,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,11,BasicXform,StatisticBasedCase
Time,23107,M2MTransformation2,16,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,12,BasicXform,StatisticBasedCase
Memory,120957488,M2MTransformation2,16,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,12,BasicXform,StatisticBasedCase
PeakMemory,162983288,M2MTransformation2,16,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,12,BasicXform,StatisticBasedCase
AverageMemory,141970488,M2MTransformation2,16,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,12,BasicXform,StatisticBasedCase
Time,1764599,Modification,16,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,13,BasicXform,StatisticBasedCase
Memory,120993168,Modification,16,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,13,BasicXform,StatisticBasedCase
Time,34630,M2MTransformation2,16,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,14,BasicXform,StatisticBasedCase
Memory,120994016,M2MTransformation2,16,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,14,BasicXform,StatisticBasedCase
AverageMemory,142007016,M2MTransformation2,16,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,14,BasicXform,StatisticBasedCase
PeakMemory,163019816,M2MTransformation2,16,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,14,BasicXform,StatisticBasedCase
Time,145391,EMFResourceInitialization,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,BasicXform,StatisticBasedCase
Memory,11358296,EMFResourceInitialization,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,BasicXform,StatisticBasedCase
Time,969773266,Generation,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,2,BasicXform,StatisticBasedCase
Memory,57382560,Generation,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,2,BasicXform,StatisticBasedCase
Time,162045561,Initialization,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,3,BasicXform,StatisticBasedCase
Memory,38791584,Initialization,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,3,BasicXform,StatisticBasedCase
PeakMemory,124358784,Initialization,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,3,BasicXform,StatisticBasedCase
AverageMemory,78518548,Initialization,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,3,BasicXform,StatisticBasedCase
Time,213336773,M2MTransformation1,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,4,BasicXform,StatisticBasedCase
Memory,48892112,M2MTransformation1,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,4,BasicXform,StatisticBasedCase
PeakMemory,141210056,M2MTransformation1,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,4,BasicXform,StatisticBasedCase
AverageMemory,94750268,M2MTransformation1,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,4,BasicXform,StatisticBasedCase
Time,3319018,Modification,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,5,BasicXform,StatisticBasedCase
Memory,49789832,Modification,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,5,BasicXform,StatisticBasedCase
Time,21418,M2MTransformation2,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,6,BasicXform,StatisticBasedCase
Memory,49790672,M2MTransformation2,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,6,BasicXform,StatisticBasedCase
PeakMemory,80763776,M2MTransformation2,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,6,BasicXform,StatisticBasedCase
AverageMemory,70026336,M2MTransformation2,8,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,6,BasicXform,StatisticBasedCase
