MetricName,Scenario,Iteration,CaseName,RunIndex,Sequence,Tool,PhaseName,MetricValue,Size
Memory,BasicXform,2,StatisticBasedCase,2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,329523800,64
AverageMemory,BasicXform,2,StatisticBasedCase,2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,806243597,64
PeakMemory,BasicXform,2,StatisticBasedCase,2,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1096925112,64
Time,BasicXform,3,StatisticBasedCase,2,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,582132,64
Memory,BasicXform,3,StatisticBasedCase,2,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,329524200,64
Time,BasicXform,3,StatisticBasedCase,2,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1071794954,64
Memory,BasicXform,3,StatisticBasedCase,2,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,329536296,64
PeakMemory,BasicXform,3,StatisticBasedCase,2,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1096924440,64
AverageMemory,BasicXform,3,StatisticBasedCase,2,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,829497368,64
Time,BasicXform,4,StatisticBasedCase,2,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,639064,64
Memory,BasicXform,4,StatisticBasedCase,2,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,329536816,64
Time,BasicXform,4,StatisticBasedCase,2,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1056820519,64
Memory,BasicXform,4,StatisticBasedCase,2,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,329548232,64
AverageMemory,BasicXform,4,StatisticBasedCase,2,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,841137333,64
PeakMemory,BasicXform,4,StatisticBasedCase,2,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1096937176,64
Time,BasicXform,5,StatisticBasedCase,2,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,308493,64
Memory,BasicXform,5,StatisticBasedCase,2,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,329548656,64
Time,BasicXform,5,StatisticBasedCase,2,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1058533135,64
Memory,BasicXform,5,StatisticBasedCase,2,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,329562984,64
PeakMemory,BasicXform,5,StatisticBasedCase,2,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1096949040,64
AverageMemory,BasicXform,5,StatisticBasedCase,2,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,841149168,64
Time,BasicXform,1,StatisticBasedCase,2,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,261990,1
Memory,BasicXform,1,StatisticBasedCase,2,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,9487280,1
Time,BasicXform,1,StatisticBasedCase,2,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,74908753,1
Memory,BasicXform,1,StatisticBasedCase,2,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,10654016,1
Time,BasicXform,1,StatisticBasedCase,2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,46673785,1
Memory,BasicXform,1,StatisticBasedCase,2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,12944776,1
AverageMemory,BasicXform,1,StatisticBasedCase,2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,41814168,1
PeakMemory,BasicXform,1,StatisticBasedCase,2,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,63289032,1
Time,BasicXform,1,StatisticBasedCase,2,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,28858032,1
Memory,BasicXform,1,StatisticBasedCase,2,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,13218688,1
PeakMemory,BasicXform,1,StatisticBasedCase,2,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,34420208,1
AverageMemory,BasicXform,1,StatisticBasedCase,2,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,34420208,1
Time,BasicXform,1,StatisticBasedCase,2,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,149999,1
Memory,BasicXform,1,StatisticBasedCase,2,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,13218696,1
Time,BasicXform,1,StatisticBasedCase,2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,28531913,1
Memory,BasicXform,1,StatisticBasedCase,2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,13224704,1
AverageMemory,BasicXform,1,StatisticBasedCase,2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,34694328,1
PeakMemory,BasicXform,1,StatisticBasedCase,2,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,34694328,1
