Tool,MetricName,Iteration,Sequence,RunIndex,CaseName,Size,Scenario,MetricValue,PhaseName
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,3,9,4,StatisticBasedCase,64,BasicXform,2104548552,Modification
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,3,10,4,StatisticBasedCase,64,BasicXform,3686,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,3,10,4,StatisticBasedCase,64,BasicXform,2104549432,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,PeakMemory,3,10,4,StatisticBasedCase,64,BasicXform,2162677368,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,AverageMemory,3,10,4,StatisticBasedCase,64,BasicXform,2095864764,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,4,11,4,StatisticBasedCase,64,BasicXform,2816583,Modification
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,4,11,4,StatisticBasedCase,64,BasicXform,2104581360,Modification
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,4,12,4,StatisticBasedCase,64,BasicXform,4220,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,4,12,4,StatisticBasedCase,64,BasicXform,2104582464,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,PeakMemory,4,12,4,StatisticBasedCase,64,BasicXform,2162710200,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,AverageMemory,4,12,4,StatisticBasedCase,64,BasicXform,2149374972,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,5,13,4,StatisticBasedCase,64,BasicXform,2405461,Modification
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,5,13,4,StatisticBasedCase,64,BasicXform,2104614968,Modification
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Time,5,14,4,StatisticBasedCase,64,BasicXform,3718,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Memory,5,14,4,StatisticBasedCase,64,BasicXform,2104616048,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,AverageMemory,5,14,4,StatisticBasedCase,64,BasicXform,2130272044,M2MTransformation2
INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,PeakMemory,5,14,4,StatisticBasedCase,64,BasicXform,2162743784,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,1,1,3,StatisticBasedCase,64,BasicXform,439673,EMFResourceInitialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,1,1,3,StatisticBasedCase,64,BasicXform,10293040,EMFResourceInitialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,1,2,3,StatisticBasedCase,64,BasicXform,76098707395,Generation
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,1,2,3,StatisticBasedCase,64,BasicXform,1783108752,Generation
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,1,3,3,StatisticBasedCase,64,BasicXform,3934312904,Initialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,1,3,3,StatisticBasedCase,64,BasicXform,281506840,Initialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,1,3,3,StatisticBasedCase,64,BasicXform,502730378,Initialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,1,3,3,StatisticBasedCase,64,BasicXform,896600232,Initialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,1,4,3,StatisticBasedCase,64,BasicXform,1013441929,M2MTransformation1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,1,4,3,StatisticBasedCase,64,BasicXform,312096224,M2MTransformation1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,1,4,3,StatisticBasedCase,64,BasicXform,1044288112,M2MTransformation1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,1,4,3,StatisticBasedCase,64,BasicXform,790027888,M2MTransformation1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,1,5,3,StatisticBasedCase,64,BasicXform,2028640,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,1,5,3,StatisticBasedCase,64,BasicXform,312095792,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,1,6,3,StatisticBasedCase,64,BasicXform,983856623,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,1,6,3,StatisticBasedCase,64,BasicXform,312107736,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,1,6,3,StatisticBasedCase,64,BasicXform,693333736,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,1,6,3,StatisticBasedCase,64,BasicXform,1036447216,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,2,7,3,StatisticBasedCase,64,BasicXform,625530,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,2,7,3,StatisticBasedCase,64,BasicXform,312108152,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,2,8,3,StatisticBasedCase,64,BasicXform,947498517,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,2,8,3,StatisticBasedCase,64,BasicXform,312110456,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,2,8,3,StatisticBasedCase,64,BasicXform,693346092,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,2,8,3,StatisticBasedCase,64,BasicXform,1074889896,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,3,9,3,StatisticBasedCase,64,BasicXform,553119,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,3,9,3,StatisticBasedCase,64,BasicXform,312110896,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,3,10,3,StatisticBasedCase,64,BasicXform,938466504,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,3,10,3,StatisticBasedCase,64,BasicXform,312118344,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,3,10,3,StatisticBasedCase,64,BasicXform,693348916,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,3,10,3,StatisticBasedCase,64,BasicXform,1074892800,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,4,11,3,StatisticBasedCase,64,BasicXform,575022,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,4,11,3,StatisticBasedCase,64,BasicXform,312118768,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,4,12,3,StatisticBasedCase,64,BasicXform,934825270,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,4,12,3,StatisticBasedCase,64,BasicXform,312122680,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,4,12,3,StatisticBasedCase,64,BasicXform,693356588,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,4,12,3,StatisticBasedCase,64,BasicXform,1036469920,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,5,13,3,StatisticBasedCase,64,BasicXform,290520,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,5,13,3,StatisticBasedCase,64,BasicXform,312123096,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,5,14,3,StatisticBasedCase,64,BasicXform,939901633,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,5,14,3,StatisticBasedCase,64,BasicXform,312124328,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,5,14,3,StatisticBasedCase,64,BasicXform,1036474488,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,5,14,3,StatisticBasedCase,64,BasicXform,693361024,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Time,1,1,5,StatisticBasedCase,2,BasicXform,862591,EMFResourceInitialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Memory,1,1,5,StatisticBasedCase,2,BasicXform,9598664,EMFResourceInitialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Time,1,2,5,StatisticBasedCase,2,BasicXform,110004483,Generation
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Memory,1,2,5,StatisticBasedCase,2,BasicXform,11395864,Generation
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Time,1,3,5,StatisticBasedCase,2,BasicXform,25682639,Initialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Memory,1,3,5,StatisticBasedCase,2,BasicXform,11619016,Initialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,PeakMemory,1,3,5,StatisticBasedCase,2,BasicXform,52783304,Initialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,AverageMemory,1,3,5,StatisticBasedCase,2,BasicXform,42045880,Initialization
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Time,1,4,5,StatisticBasedCase,2,BasicXform,1579270293,M2MTransformation1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Memory,1,4,5,StatisticBasedCase,2,BasicXform,12005752,M2MTransformation1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,PeakMemory,1,4,5,StatisticBasedCase,2,BasicXform,849140056,M2MTransformation1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,AverageMemory,1,4,5,StatisticBasedCase,2,BasicXform,462592136,M2MTransformation1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Time,1,5,5,StatisticBasedCase,2,BasicXform,272444,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Memory,1,5,5,StatisticBasedCase,2,BasicXform,12005544,Modification
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Time,1,6,5,StatisticBasedCase,2,BasicXform,1380178933,M2MTransformation2
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,Memory,1,6,5,StatisticBasedCase,2,BasicXform,12007832,M2MTransformation2
