MetricName,Sequence,Tool,Iteration,RunIndex,MetricValue,Scenario,CaseName,Size,PhaseName
Time,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,2,42693820,BasicXform,StatisticBasedCase,2,M2MTransformation2
Memory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,2,12704648,BasicXform,StatisticBasedCase,2,M2MTransformation2
AverageMemory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,2,44911916,BasicXform,StatisticBasedCase,2,M2MTransformation2
PeakMemory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,2,55649328,BasicXform,StatisticBasedCase,2,M2MTransformation2
Time,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,2,185676,BasicXform,StatisticBasedCase,2,Modification
Memory,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,2,12704448,BasicXform,StatisticBasedCase,2,Modification
Time,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,2,43900748,BasicXform,StatisticBasedCase,2,M2MTransformation2
Memory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,2,12711176,BasicXform,StatisticBasedCase,2,M2MTransformation2
AverageMemory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,2,44917536,BasicXform,StatisticBasedCase,2,M2MTransformation2
PeakMemory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,2,77129824,BasicXform,StatisticBasedCase,2,M2MTransformation2
Time,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,2,229849,BasicXform,StatisticBasedCase,2,Modification
Memory,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,2,12710992,BasicXform,StatisticBasedCase,2,Modification
Time,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,2,51617482,BasicXform,StatisticBasedCase,2,M2MTransformation2
Memory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,2,12723128,BasicXform,StatisticBasedCase,2,M2MTransformation2
PeakMemory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,2,55661480,BasicXform,StatisticBasedCase,2,M2MTransformation2
AverageMemory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,2,44924052,BasicXform,StatisticBasedCase,2,M2MTransformation2
Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,236195,BasicXform,StatisticBasedCase,32,EMFResourceInitialization
Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,9862128,BasicXform,StatisticBasedCase,32,EMFResourceInitialization
Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,15035464756,BasicXform,StatisticBasedCase,32,Generation
Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,388997272,BasicXform,StatisticBasedCase,32,Generation
Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,593247457,BasicXform,StatisticBasedCase,32,Initialization
Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,37658960,BasicXform,StatisticBasedCase,32,Initialization
PeakMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,242687960,BasicXform,StatisticBasedCase,32,Initialization
AverageMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,162336544,BasicXform,StatisticBasedCase,32,Initialization
Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,644181759,BasicXform,StatisticBasedCase,32,M2MTransformation1
Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,49996968,BasicXform,StatisticBasedCase,32,M2MTransformation1
PeakMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,648078488,BasicXform,StatisticBasedCase,32,M2MTransformation1
AverageMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,358885056,BasicXform,StatisticBasedCase,32,M2MTransformation1
Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,564656,BasicXform,StatisticBasedCase,32,Modification
Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,49996920,BasicXform,StatisticBasedCase,32,Modification
Time,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,603843500,BasicXform,StatisticBasedCase,32,M2MTransformation2
Memory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,49999424,BasicXform,StatisticBasedCase,32,M2MTransformation2
PeakMemory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,628205264,BasicXform,StatisticBasedCase,32,M2MTransformation2
AverageMemory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,3,371224124,BasicXform,StatisticBasedCase,32,M2MTransformation2
Time,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,3,414459,BasicXform,StatisticBasedCase,32,Modification
Memory,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,3,49999112,BasicXform,StatisticBasedCase,32,Modification
Time,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,3,561560950,BasicXform,StatisticBasedCase,32,M2MTransformation2
Memory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,3,50008136,BasicXform,StatisticBasedCase,32,M2MTransformation2
AverageMemory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,3,371226340,BasicXform,StatisticBasedCase,32,M2MTransformation2
PeakMemory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,3,628207504,BasicXform,StatisticBasedCase,32,M2MTransformation2
Time,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,3,363590,BasicXform,StatisticBasedCase,32,Modification
Memory,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,3,50007920,BasicXform,StatisticBasedCase,32,Modification
Time,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,3,542293276,BasicXform,StatisticBasedCase,32,M2MTransformation2
Memory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,3,50018568,BasicXform,StatisticBasedCase,32,M2MTransformation2
PeakMemory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,3,692640984,BasicXform,StatisticBasedCase,32,M2MTransformation2
AverageMemory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,3,371235220,BasicXform,StatisticBasedCase,32,M2MTransformation2
Time,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,3,393222,BasicXform,StatisticBasedCase,32,Modification
Memory,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,3,50018376,BasicXform,StatisticBasedCase,32,Modification
Time,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,3,516707228,BasicXform,StatisticBasedCase,32,M2MTransformation2
Memory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,3,50024648,BasicXform,StatisticBasedCase,32,M2MTransformation2
PeakMemory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,3,628226872,BasicXform,StatisticBasedCase,32,M2MTransformation2
AverageMemory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,3,371245668,BasicXform,StatisticBasedCase,32,M2MTransformation2
Time,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,3,440385,BasicXform,StatisticBasedCase,32,Modification
Memory,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,3,50024456,BasicXform,StatisticBasedCase,32,Modification
Time,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,3,508795139,BasicXform,StatisticBasedCase,32,M2MTransformation2
Memory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,3,50028272,BasicXform,StatisticBasedCase,32,M2MTransformation2
AverageMemory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,3,371251684,BasicXform,StatisticBasedCase,32,M2MTransformation2
PeakMemory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,3,628232848,BasicXform,StatisticBasedCase,32,M2MTransformation2
Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,295555,BasicXform,StatisticBasedCase,16,EMFResourceInitialization
Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,9762496,BasicXform,StatisticBasedCase,16,EMFResourceInitialization
Time,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,3491388295,BasicXform,StatisticBasedCase,16,Generation
Memory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,101479008,BasicXform,StatisticBasedCase,16,Generation
Time,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,576889108,BasicXform,StatisticBasedCase,16,Initialization
Memory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,64127688,BasicXform,StatisticBasedCase,16,Initialization
PeakMemory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,246534456,BasicXform,StatisticBasedCase,16,Initialization
AverageMemory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,161501544,BasicXform,StatisticBasedCase,16,Initialization
Time,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,355737988,BasicXform,StatisticBasedCase,16,M2MTransformation1
Memory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,78887152,BasicXform,StatisticBasedCase,16,M2MTransformation1
AverageMemory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,159898616,BasicXform,StatisticBasedCase,16,M2MTransformation1
PeakMemory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,213152504,BasicXform,StatisticBasedCase,16,M2MTransformation1
Time,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,4718165,BasicXform,StatisticBasedCase,16,Modification
Memory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,80044168,BasicXform,StatisticBasedCase,16,Modification
Time,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,19275,BasicXform,StatisticBasedCase,16,M2MTransformation2
Memory,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,80045040,BasicXform,StatisticBasedCase,16,M2MTransformation2
PeakMemory,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,122561400,BasicXform,StatisticBasedCase,16,M2MTransformation2
AverageMemory,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,122561400,BasicXform,StatisticBasedCase,16,M2MTransformation2
Time,7,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,2155983,BasicXform,StatisticBasedCase,16,Modification
Memory,7,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,80079128,BasicXform,StatisticBasedCase,16,Modification
Time,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,18493,BasicXform,StatisticBasedCase,16,M2MTransformation2
Memory,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,80080000,BasicXform,StatisticBasedCase,16,M2MTransformation2
PeakMemory,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,122596360,BasicXform,StatisticBasedCase,16,M2MTransformation2
