Size,RunIndex,Tool,PhaseName,MetricName,Sequence,MetricValue,Scenario,Iteration,CaseName
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Modification,Memory,19,6678323504,ToolChainPerformance,5,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation2,Time,20,2060,ToolChainPerformance,5,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation2,Memory,20,6678323504,ToolChainPerformance,5,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation2,Time,21,34153036,ToolChainPerformance,5,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation2,Memory,21,6689993240,ToolChainPerformance,5,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,EMFResourceInitialization,Time,1,223213,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,EMFResourceInitialization,Memory,1,51555344,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Generation,Time,2,96348602872,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Generation,Memory,2,4246535344,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Initialization,Time,3,11022517502,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation1,Time,4,37115542617,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation1,Memory,4,5607208448,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation1,Time,5,42062618154,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation1,Memory,5,6770643568,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,ChangeMonitorInitialization,Time,6,4694537549,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,ChangeMonitorInitialization,Memory,6,6444912080,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Time,7,7462246,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Memory,7,6444912080,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Time,8,2102,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Memory,8,6444912080,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Time,9,48067752143,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Memory,9,6928008520,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Time,10,8549854,ToolChainPerformance,2,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Memory,10,6928008520,ToolChainPerformance,2,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Time,11,2242,ToolChainPerformance,2,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Memory,11,6928008520,ToolChainPerformance,2,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Time,12,15521785,ToolChainPerformance,2,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Memory,12,6928008520,ToolChainPerformance,2,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Time,13,6509212,ToolChainPerformance,3,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Memory,13,6928008520,ToolChainPerformance,3,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Time,14,1792,ToolChainPerformance,3,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Memory,14,6928008520,ToolChainPerformance,3,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Time,15,22478409,ToolChainPerformance,3,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Memory,15,6937011744,ToolChainPerformance,3,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Time,16,8079780,ToolChainPerformance,4,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Memory,16,6937167600,ToolChainPerformance,4,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Time,17,1897,ToolChainPerformance,4,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Memory,17,6937167600,ToolChainPerformance,4,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Time,18,29789250,ToolChainPerformance,4,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Memory,18,6946167256,ToolChainPerformance,4,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Time,19,7726112,ToolChainPerformance,5,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Memory,19,6946167256,ToolChainPerformance,5,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Time,20,1857,ToolChainPerformance,5,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Memory,20,6946167256,ToolChainPerformance,5,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Time,21,36753776,ToolChainPerformance,5,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Memory,21,6964258208,ToolChainPerformance,5,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,EMFResourceInitialization,Time,1,870368,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,EMFResourceInitialization,Memory,1,51208536,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Generation,Time,2,253778326,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Generation,Memory,2,72693872,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Initialization,Time,3,82287826,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2MTransformation1,Time,4,140691533,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2MTransformation1,Memory,4,115664560,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2TTransformation1,Time,5,804587347,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2TTransformation1,Memory,5,309040984,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,ChangeMonitorInitialization,Time,6,22447730,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,ChangeMonitorInitialization,Memory,6,309040984,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Modification,Time,7,6261509,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Modification,Memory,7,309040984,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2MTransformation2,Time,8,7560,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2MTransformation2,Memory,8,309040984,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2TTransformation2,Time,9,10482348,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2TTransformation2,Memory,9,309040984,ToolChainPerformance,1,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Modification,Time,10,6363327,ToolChainPerformance,2,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Modification,Memory,10,309040984,ToolChainPerformance,2,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2MTransformation2,Time,11,7170,ToolChainPerformance,2,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2MTransformation2,Memory,11,309040984,ToolChainPerformance,2,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2TTransformation2,Time,12,19332332,ToolChainPerformance,2,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2TTransformation2,Memory,12,309040984,ToolChainPerformance,2,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Modification,Time,13,6026344,ToolChainPerformance,3,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Modification,Memory,13,309040984,ToolChainPerformance,3,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2MTransformation2,Time,14,6712,ToolChainPerformance,3,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2MTransformation2,Memory,14,309040984,ToolChainPerformance,3,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2TTransformation2,Time,15,27834093,ToolChainPerformance,3,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2TTransformation2,Memory,15,330526328,ToolChainPerformance,3,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Modification,Time,16,6598976,ToolChainPerformance,4,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Modification,Memory,16,330526328,ToolChainPerformance,4,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2MTransformation2,Time,17,7243,ToolChainPerformance,4,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2MTransformation2,Memory,17,330526328,ToolChainPerformance,4,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2TTransformation2,Time,18,38788192,ToolChainPerformance,4,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2TTransformation2,Memory,18,330526328,ToolChainPerformance,4,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Modification,Time,19,7006520,ToolChainPerformance,5,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,Modification,Memory,19,330526328,ToolChainPerformance,5,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2MTransformation2,Time,20,7557,ToolChainPerformance,5,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2MTransformation2,Memory,20,330526328,ToolChainPerformance,5,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2TTransformation2,Time,21,44560469,ToolChainPerformance,5,StatisticBasedCase
2,5,INCR_VIATRA_TRANSFORMATION-JDT,M2TTransformation2,Memory,21,352011672,ToolChainPerformance,5,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,EMFResourceInitialization,Time,1,1026363,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,EMFResourceInitialization,Memory,1,53260600,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Generation,Time,2,1006089144,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Generation,Memory,2,557188576,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,Time,3,79102158,ToolChainPerformance,1,StatisticBasedCase
8,4,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,Time,4,141307454,ToolChainPerformance,1,StatisticBasedCase
