CaseName,Scenario,PhaseName,Tool,MetricValue,Size,RunIndex,MetricName,Iteration,Sequence
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,742383,32,2,Time,1,5
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,253596104,32,2,Memory,1,5
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,325963454,32,2,Time,1,6
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,253607496,32,2,Memory,1,6
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,402919968,32,2,AverageMemory,1,6
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,509579368,32,2,PeakMemory,1,6
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,389923,32,2,Time,2,7
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,253622960,32,2,Memory,2,7
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,306599692,32,2,Time,2,8
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,253633792,32,2,Memory,2,8
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,402946908,32,2,AverageMemory,2,8
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,552556088,32,2,PeakMemory,2,8
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,434560,32,2,Time,3,9
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,253649864,32,2,Memory,3,9
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,284051569,32,2,Time,3,10
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,253661128,32,2,Memory,3,10
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,509633096,32,2,PeakMemory,3,10
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,402973712,32,2,AverageMemory,3,10
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,451187,32,2,Time,4,11
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,253676552,32,2,Memory,4,11
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,280451814,32,2,Time,4,12
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,253687488,32,2,Memory,4,12
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,509659592,32,2,PeakMemory,4,12
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,403000316,32,2,AverageMemory,4,12
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,388276,32,2,Time,5,13
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,253703392,32,2,Memory,5,13
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,278928293,32,2,Time,5,14
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,253714136,32,2,Memory,5,14
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,403027232,32,2,AverageMemory,5,14
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,509686608,32,2,PeakMemory,5,14
StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,521902,64,3,Time,1,1
StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11898120,64,3,Memory,1,1
StatisticBasedCase,BasicXform,Generation,BATCH_VIATRA_QUERY_RETE-TEMPLATE,95926885348,64,3,Time,1,2
StatisticBasedCase,BasicXform,Generation,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2852334872,64,3,Memory,1,2
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9090552675,64,3,Time,1,3
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1532274104,64,3,Memory,1,3
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2936212104,64,3,PeakMemory,1,3
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1281423773,64,3,AverageMemory,1,3
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,603375050,64,3,Time,1,4
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624177928,64,3,Memory,1,4
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2024933400,64,3,PeakMemory,1,4
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1790333996,64,3,AverageMemory,1,4
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1082437,64,3,Time,1,5
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624205040,64,3,Memory,1,5
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,732066265,64,3,Time,1,6
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624220280,64,3,Memory,1,6
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1914753784,64,3,AverageMemory,1,6
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2173018672,64,3,PeakMemory,1,6
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,650909,64,3,Time,2,7
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624247400,64,3,Memory,2,7
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,704256657,64,3,Time,2,8
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624262552,64,3,Memory,2,8
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2173061304,64,3,PeakMemory,2,8
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1914796280,64,3,AverageMemory,2,8
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,604645,64,3,Time,3,9
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624289960,64,3,Memory,3,9
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,693886338,64,3,Time,3,10
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624304632,64,3,Memory,3,10
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2173103584,64,3,PeakMemory,3,10
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1914838700,64,3,AverageMemory,3,10
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,631488,64,3,Time,4,11
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624333216,64,3,Memory,4,11
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,691767358,64,3,Time,4,12
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624348184,64,3,Memory,4,12
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2205988576,64,3,PeakMemory,4,12
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1914882124,64,3,AverageMemory,4,12
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,626509,64,3,Time,5,13
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624376576,64,3,Memory,5,13
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,693719286,64,3,Time,5,14
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624391256,64,3,Memory,5,14
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2173190584,64,3,PeakMemory,5,14
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1914925524,64,3,AverageMemory,5,14
StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,192035,64,2,Time,1,1
StatisticBasedCase,BasicXform,EMFResourceInitialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11895560,64,2,Memory,1,1
StatisticBasedCase,BasicXform,Generation,BATCH_VIATRA_QUERY_RETE-TEMPLATE,94145624880,64,2,Time,1,2
StatisticBasedCase,BasicXform,Generation,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2853229904,64,2,Memory,1,2
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9562993404,64,2,Time,1,3
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1532314480,64,2,Memory,1,3
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2844388840,64,2,PeakMemory,1,3
StatisticBasedCase,BasicXform,Initialization,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1334208279,64,2,AverageMemory,1,3
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,613167170,64,2,Time,1,4
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624228024,64,2,Memory,1,4
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1802478396,64,2,AverageMemory,1,4
StatisticBasedCase,BasicXform,M2MTransformation1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2049194888,64,2,PeakMemory,1,4
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,927912,64,2,Time,1,5
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624254120,64,2,Memory,1,5
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,744291924,64,2,Time,1,6
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624269128,64,2,Memory,1,6
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1930480252,64,2,AverageMemory,1,6
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2204471408,64,2,PeakMemory,1,6
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,622437,64,2,Time,2,7
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624296296,64,2,Memory,2,7
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,714923251,64,2,Time,2,8
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624311640,64,2,Memory,2,8
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1930522452,64,2,AverageMemory,2,8
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2204513632,64,2,PeakMemory,2,8
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,601165,64,2,Time,3,9
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624339352,64,2,Memory,3,9
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,711416212,64,2,Time,3,10
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624354056,64,2,Memory,3,10
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2204713320,64,2,PeakMemory,3,10
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1930643824,64,2,AverageMemory,3,10
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,603954,64,2,Time,4,11
StatisticBasedCase,BasicXform,Modification,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624381632,64,2,Memory,4,11
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,703588586,64,2,Time,4,12
StatisticBasedCase,BasicXform,M2MTransformation2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1624396600,64,2,Memory,4,12
