Sequence,RunIndex,CaseName,Size,Scenario,MetricName,Tool,MetricValue,Iteration,PhaseName
8,2,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,56068236,2,M2MTransformation2
8,2,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,77553584,2,M2MTransformation2
9,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,135690,3,Modification
9,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13108416,3,Modification
10,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,69025436,3,M2MTransformation2
10,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13117168,3,M2MTransformation2
10,2,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,56079640,3,M2MTransformation2
10,2,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,99050328,3,M2MTransformation2
11,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,92592,4,Modification
11,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13117904,4,Modification
12,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,68000004,4,M2MTransformation2
12,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13126776,4,M2MTransformation2
12,2,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,56089156,4,M2MTransformation2
12,2,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,77574504,4,M2MTransformation2
13,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,103508,5,Modification
13,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13127464,5,Modification
14,2,StatisticBasedCase,2,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,63724533,5,M2MTransformation2
14,2,StatisticBasedCase,2,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,13136072,5,M2MTransformation2
14,2,StatisticBasedCase,2,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,56098696,5,M2MTransformation2
14,2,StatisticBasedCase,2,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,77584048,5,M2MTransformation2
1,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,259464,1,EMFResourceInitialization
1,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,11427168,1,EMFResourceInitialization
2,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,14014639017,1,Generation
2,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,794631336,1,Generation
3,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,66039163,1,Initialization
3,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,19256128,1,Initialization
3,3,StatisticBasedCase,32,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,80082096,1,Initialization
3,3,StatisticBasedCase,32,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,80082096,1,Initialization
4,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8660814551,1,M2MTransformation1
4,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,45219488,1,M2MTransformation1
4,3,StatisticBasedCase,32,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,959208369,1,M2MTransformation1
4,3,StatisticBasedCase,32,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3231982968,1,M2MTransformation1
5,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,448186,1,Modification
5,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,45220312,1,Modification
6,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4958219996,1,M2MTransformation2
6,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,50343816,1,M2MTransformation2
6,3,StatisticBasedCase,32,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3275949640,1,M2MTransformation2
6,3,StatisticBasedCase,32,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1304227720,1,M2MTransformation2
7,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,440540,2,Modification
7,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,50344608,2,Modification
8,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5674384405,2,M2MTransformation2
8,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,50353144,2,M2MTransformation2
8,3,StatisticBasedCase,32,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1522051032,2,M2MTransformation2
8,3,StatisticBasedCase,32,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3569579728,2,M2MTransformation2
9,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,471267,3,Modification
9,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,50353936,3,Modification
10,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4939617537,3,M2MTransformation2
10,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,50362496,3,M2MTransformation2
10,3,StatisticBasedCase,32,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1206088347,3,M2MTransformation2
10,3,StatisticBasedCase,32,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3611499368,3,M2MTransformation2
11,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,438661,4,Modification
11,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,50363312,4,Modification
12,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4967427167,4,M2MTransformation2
12,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,50372192,4,M2MTransformation2
12,3,StatisticBasedCase,32,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1195336252,4,M2MTransformation2
12,3,StatisticBasedCase,32,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3614687280,4,M2MTransformation2
13,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,495331,5,Modification
13,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,50372928,5,Modification
14,3,StatisticBasedCase,32,BasicXform,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5400018814,5,M2MTransformation2
14,3,StatisticBasedCase,32,BasicXform,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,50381544,5,M2MTransformation2
14,3,StatisticBasedCase,32,BasicXform,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3631560288,5,M2MTransformation2
14,3,StatisticBasedCase,32,BasicXform,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1423664812,5,M2MTransformation2
1,1,StatisticBasedCase,16,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1015779,1,EMFResourceInitialization
1,1,StatisticBasedCase,16,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11300328,1,EMFResourceInitialization
2,1,StatisticBasedCase,16,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3411295426,1,Generation
2,1,StatisticBasedCase,16,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,203198584,1,Generation
3,1,StatisticBasedCase,16,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,364954111,1,Initialization
3,1,StatisticBasedCase,16,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,105776560,1,Initialization
3,1,StatisticBasedCase,16,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,292924896,1,Initialization
3,1,StatisticBasedCase,16,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,174828536,1,Initialization
4,1,StatisticBasedCase,16,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,317389418,1,M2MTransformation1
4,1,StatisticBasedCase,16,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,128153080,1,M2MTransformation1
4,1,StatisticBasedCase,16,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,276779872,1,M2MTransformation1
4,1,StatisticBasedCase,16,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,212653832,1,M2MTransformation1
5,1,StatisticBasedCase,16,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4093529,1,Modification
5,1,StatisticBasedCase,16,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,130091688,1,Modification
6,1,StatisticBasedCase,16,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,22341,1,M2MTransformation2
6,1,StatisticBasedCase,16,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,130092256,1,M2MTransformation2
6,1,StatisticBasedCase,16,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,172842920,1,M2MTransformation2
6,1,StatisticBasedCase,16,BasicXform,AverageMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,151467688,1,M2MTransformation2
7,1,StatisticBasedCase,16,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1027615,2,Modification
7,1,StatisticBasedCase,16,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,130136456,2,Modification
8,1,StatisticBasedCase,16,BasicXform,Time,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11180,2,M2MTransformation2
8,1,StatisticBasedCase,16,BasicXform,Memory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,130137024,2,M2MTransformation2
8,1,StatisticBasedCase,16,BasicXform,PeakMemory,INCR_VIATRA_TRANSFORMATION-TEMPLATE,172887688,2,M2MTransformation2
