PhaseName,MetricName,Size,MetricValue,Sequence,Scenario,RunIndex,Tool,Iteration,CaseName
Modification,Memory,1,13704872,13,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,Time,1,38580416,14,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,Memory,1,13711792,14,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,AverageMemory,1,35190752,14,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,PeakMemory,1,35190752,14,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase
EMFResourceInitialization,Time,16,180820,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
EMFResourceInitialization,Memory,16,11344096,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Generation,Time,16,3265959261,2,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Generation,Memory,16,193668728,2,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Initialization,Time,16,535343369,3,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Initialization,Memory,16,117388624,3,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Initialization,AverageMemory,16,163463040,3,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Initialization,PeakMemory,16,270191360,3,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,Time,16,560596944,4,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,Memory,16,139162816,4,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,AverageMemory,16,224117500,4,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,PeakMemory,16,288154520,4,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Modification,Time,16,4026026,5,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Modification,Memory,16,141091736,5,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,Time,16,15916,6,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,Memory,16,141092304,6,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,PeakMemory,16,183783592,6,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,AverageMemory,16,162438048,6,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Modification,Time,16,1712027,7,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase
Modification,Memory,16,141127728,7,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,Time,16,16027,8,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,Memory,16,141128296,8,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,AverageMemory,16,162474040,8,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase
M2MTransformation2,PeakMemory,16,183819584,8,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase
Modification,Time,16,1398259,9,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,StatisticBasedCase
Modification,Memory,16,141164184,9,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,StatisticBasedCase
M2MTransformation2,Time,16,15612,10,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,StatisticBasedCase
M2MTransformation2,Memory,16,141164752,10,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,StatisticBasedCase
M2MTransformation2,AverageMemory,16,162510496,10,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,StatisticBasedCase
M2MTransformation2,PeakMemory,16,183856040,10,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,StatisticBasedCase
Modification,Time,16,1519965,11,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,StatisticBasedCase
Modification,Memory,16,141200968,11,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,StatisticBasedCase
M2MTransformation2,Time,16,17350,12,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,StatisticBasedCase
M2MTransformation2,Memory,16,141201560,12,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,StatisticBasedCase
M2MTransformation2,AverageMemory,16,162547304,12,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,StatisticBasedCase
M2MTransformation2,PeakMemory,16,183892848,12,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,StatisticBasedCase
Modification,Time,16,1497654,13,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,StatisticBasedCase
Modification,Memory,16,141237496,13,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,Time,16,15053,14,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,Memory,16,141238064,14,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,AverageMemory,16,162583808,14,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,StatisticBasedCase
M2MTransformation2,PeakMemory,16,183929352,14,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,StatisticBasedCase
EMFResourceInitialization,Time,8,404053,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
EMFResourceInitialization,Memory,8,11251720,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Generation,Time,8,1060081666,2,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Generation,Memory,8,59925736,2,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Initialization,Time,8,359535394,3,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Initialization,Memory,8,40944440,3,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Initialization,AverageMemory,8,64981644,3,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Initialization,PeakMemory,8,96565080,3,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,Time,8,381122950,4,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,Memory,8,51019520,4,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,AverageMemory,8,99170284,4,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation1,PeakMemory,8,136340016,4,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Modification,Time,8,3307483,5,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
Modification,Memory,8,51929912,5,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,Time,8,19114,6,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,Memory,8,51930472,6,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,PeakMemory,8,72986080,6,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
M2MTransformation2,AverageMemory,8,62458376,6,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase
