Size,Tool,PhaseName,MetricName,Sequence,RunIndex,CaseName,MetricValue,Iteration,Scenario
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Memory,6,2,StatisticBasedCase,18873568,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,PeakMemory,6,2,StatisticBasedCase,3179535176,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,AverageMemory,6,2,StatisticBasedCase,1049837882,1,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Modification,Time,7,2,StatisticBasedCase,154887,2,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Modification,Memory,7,2,StatisticBasedCase,18873688,2,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Time,8,2,StatisticBasedCase,35746917042,2,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Memory,8,2,StatisticBasedCase,19820928,2,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,PeakMemory,8,2,StatisticBasedCase,3171528600,2,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,AverageMemory,8,2,StatisticBasedCase,1043343268,2,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Modification,Time,9,2,StatisticBasedCase,111633,3,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Modification,Memory,9,2,StatisticBasedCase,19821048,3,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Time,10,2,StatisticBasedCase,36424674747,3,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Memory,10,2,StatisticBasedCase,20966696,3,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,PeakMemory,10,2,StatisticBasedCase,3172861032,3,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,AverageMemory,10,2,StatisticBasedCase,1271029760,3,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Modification,Time,11,2,StatisticBasedCase,131730,4,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Modification,Memory,11,2,StatisticBasedCase,20966880,4,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Time,12,2,StatisticBasedCase,35895349947,4,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Memory,12,2,StatisticBasedCase,21917624,4,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,AverageMemory,12,2,StatisticBasedCase,1205649811,4,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,PeakMemory,12,2,StatisticBasedCase,3163062328,4,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Modification,Time,13,2,StatisticBasedCase,132175,5,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,Modification,Memory,13,2,StatisticBasedCase,21917744,5,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Time,14,2,StatisticBasedCase,36426830490,5,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,Memory,14,2,StatisticBasedCase,22869816,5,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,PeakMemory,14,2,StatisticBasedCase,3154995856,5,BasicXform
16,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,AverageMemory,14,2,StatisticBasedCase,1143941684,5,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,EMFResourceInitialization,Time,1,2,StatisticBasedCase,188296,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,EMFResourceInitialization,Memory,1,2,StatisticBasedCase,11209696,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Generation,Time,2,2,StatisticBasedCase,51727309,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Generation,Memory,2,2,StatisticBasedCase,13125384,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Initialization,Time,3,2,StatisticBasedCase,56122799,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Initialization,Memory,3,2,StatisticBasedCase,13639768,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Initialization,PeakMemory,3,2,StatisticBasedCase,97223032,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Initialization,AverageMemory,3,2,StatisticBasedCase,65010752,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation1,Time,4,2,StatisticBasedCase,25496510,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation1,Memory,4,2,StatisticBasedCase,13979040,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation1,PeakMemory,4,2,StatisticBasedCase,35114248,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation1,AverageMemory,4,2,StatisticBasedCase,35114248,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Time,5,2,StatisticBasedCase,138494,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Memory,5,2,StatisticBasedCase,13979200,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Time,6,2,StatisticBasedCase,26956390,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Memory,6,2,StatisticBasedCase,13986912,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,PeakMemory,6,2,StatisticBasedCase,35454800,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,AverageMemory,6,2,StatisticBasedCase,35454800,1,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Time,7,2,StatisticBasedCase,123508,2,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Memory,7,2,StatisticBasedCase,13987072,2,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Time,8,2,StatisticBasedCase,31245167,2,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Memory,8,2,StatisticBasedCase,13996352,2,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,PeakMemory,8,2,StatisticBasedCase,56937528,2,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,AverageMemory,8,2,StatisticBasedCase,35462672,2,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Time,9,2,StatisticBasedCase,105364,3,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Memory,9,2,StatisticBasedCase,13996512,3,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Time,10,2,StatisticBasedCase,83340527,3,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Memory,10,2,StatisticBasedCase,14007744,3,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,PeakMemory,10,2,StatisticBasedCase,56946968,3,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,AverageMemory,10,2,StatisticBasedCase,35472112,3,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Time,11,2,StatisticBasedCase,191490,4,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Memory,11,2,StatisticBasedCase,14007968,4,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Time,12,2,StatisticBasedCase,49171099,4,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Memory,12,2,StatisticBasedCase,14016112,4,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,AverageMemory,12,2,StatisticBasedCase,35483592,4,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,PeakMemory,12,2,StatisticBasedCase,35483592,4,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Time,13,2,StatisticBasedCase,304968,5,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,Modification,Memory,13,2,StatisticBasedCase,14016264,5,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Time,14,2,StatisticBasedCase,39957587,5,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,Memory,14,2,StatisticBasedCase,14025448,5,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,PeakMemory,14,2,StatisticBasedCase,56966720,5,BasicXform
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,M2MTransformation2,AverageMemory,14,2,StatisticBasedCase,46229292,5,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,EMFResourceInitialization,Time,1,1,StatisticBasedCase,246782,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,EMFResourceInitialization,Memory,1,1,StatisticBasedCase,11453232,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Generation,Time,2,1,StatisticBasedCase,3929536909,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Generation,Memory,2,1,StatisticBasedCase,189956136,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,Time,3,1,StatisticBasedCase,488332519,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,Memory,3,1,StatisticBasedCase,97635752,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,PeakMemory,3,1,StatisticBasedCase,375151072,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,AverageMemory,3,1,StatisticBasedCase,215836572,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,Time,4,1,StatisticBasedCase,300623541,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,Memory,4,1,StatisticBasedCase,119467640,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,PeakMemory,4,1,StatisticBasedCase,288614032,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,AverageMemory,4,1,StatisticBasedCase,214313032,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Time,5,1,StatisticBasedCase,5561492,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Memory,5,1,StatisticBasedCase,121374608,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Time,6,1,StatisticBasedCase,39070,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Memory,6,1,StatisticBasedCase,121375456,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,PeakMemory,6,1,StatisticBasedCase,185225912,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,AverageMemory,6,1,StatisticBasedCase,163751056,1,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Time,7,1,StatisticBasedCase,1527134,2,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Memory,7,1,StatisticBasedCase,121410376,2,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Time,8,1,StatisticBasedCase,26264,2,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Memory,8,1,StatisticBasedCase,121411224,2,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,AverageMemory,8,1,StatisticBasedCase,163786824,2,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,PeakMemory,8,1,StatisticBasedCase,163786824,2,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Time,9,1,StatisticBasedCase,1092397,3,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Memory,9,1,StatisticBasedCase,121446656,3,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Time,10,1,StatisticBasedCase,34916,3,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Memory,10,1,StatisticBasedCase,121447504,3,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,AverageMemory,10,1,StatisticBasedCase,163823104,3,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,PeakMemory,10,1,StatisticBasedCase,163823104,3,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Time,11,1,StatisticBasedCase,1749411,4,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Memory,11,1,StatisticBasedCase,121483136,4,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Time,12,1,StatisticBasedCase,14331,4,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Memory,12,1,StatisticBasedCase,121484008,4,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,AverageMemory,12,1,StatisticBasedCase,142671908,4,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,PeakMemory,12,1,StatisticBasedCase,163859608,4,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Time,13,1,StatisticBasedCase,1275724,5,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Memory,13,1,StatisticBasedCase,121519344,5,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Time,14,1,StatisticBasedCase,15091,5,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Memory,14,1,StatisticBasedCase,121520192,5,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,PeakMemory,14,1,StatisticBasedCase,163895792,5,BasicXform
16,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,AverageMemory,14,1,StatisticBasedCase,142708092,5,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,EMFResourceInitialization,Time,1,2,StatisticBasedCase,155566,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,EMFResourceInitialization,Memory,1,2,StatisticBasedCase,11361016,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Generation,Time,2,2,StatisticBasedCase,574697910,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Generation,Memory,2,2,StatisticBasedCase,31965968,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,Time,3,2,StatisticBasedCase,145964866,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,Memory,3,2,StatisticBasedCase,32039256,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,PeakMemory,3,2,StatisticBasedCase,119807296,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Initialization,AverageMemory,3,2,StatisticBasedCase,76857604,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,Time,4,2,StatisticBasedCase,172295979,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,Memory,4,2,StatisticBasedCase,41961512,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,PeakMemory,4,2,StatisticBasedCase,139414312,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation1,AverageMemory,4,2,StatisticBasedCase,96464524,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Time,5,2,StatisticBasedCase,3362669,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,Modification,Memory,5,2,StatisticBasedCase,42834368,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Time,6,2,StatisticBasedCase,18017,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,Memory,6,2,StatisticBasedCase,42835208,1,BasicXform
8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,M2MTransformation2,PeakMemory,6,2,StatisticBasedCase,64310016,1,BasicXform
