MetricName,MetricValue,Tool,PhaseName,Scenario,Sequence,RunIndex,CaseName,Iteration,Size
Memory,12722416,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,BasicXform,4,2,StatisticBasedCase,1,2
PeakMemory,33611280,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,BasicXform,4,2,StatisticBasedCase,1,2
AverageMemory,33611280,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,BasicXform,4,2,StatisticBasedCase,1,2
Time,173575,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,5,2,StatisticBasedCase,1,2
Memory,12722192,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,5,2,StatisticBasedCase,1,2
Time,39741514,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,6,2,StatisticBasedCase,1,2
Memory,12727736,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,6,2,StatisticBasedCase,1,2
PeakMemory,34197824,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,6,2,StatisticBasedCase,1,2
AverageMemory,34197824,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,6,2,StatisticBasedCase,1,2
Time,137164,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,7,2,StatisticBasedCase,2,2
Memory,12727552,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,BasicXform,7,2,StatisticBasedCase,2,2
Time,37100427,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,BasicXform,8,2,StatisticBasedCase,2,2
