MetricName,Iteration,Size,Scenario,PhaseName,CaseName,MetricValue,RunIndex,Tool,Sequence
AverageMemory,3,32,BasicXform,M2MTransformation2,StatisticBasedCase,570621184,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10
PeakMemory,3,32,BasicXform,M2MTransformation2,StatisticBasedCase,616843080,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10
Time,4,32,BasicXform,Modification,StatisticBasedCase,1010867,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11
Memory,4,32,BasicXform,Modification,StatisticBasedCase,552749808,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11
Time,4,32,BasicXform,M2MTransformation2,StatisticBasedCase,13097,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12
Memory,4,32,BasicXform,M2MTransformation2,StatisticBasedCase,552750680,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12
PeakMemory,4,32,BasicXform,M2MTransformation2,StatisticBasedCase,616883120,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12
AverageMemory,4,32,BasicXform,M2MTransformation2,StatisticBasedCase,590846312,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12
Time,5,32,BasicXform,Modification,StatisticBasedCase,973897,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13
Memory,5,32,BasicXform,Modification,StatisticBasedCase,552789640,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13
Time,5,32,BasicXform,M2MTransformation2,StatisticBasedCase,13869,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14
Memory,5,32,BasicXform,M2MTransformation2,StatisticBasedCase,552790688,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14
AverageMemory,5,32,BasicXform,M2MTransformation2,StatisticBasedCase,584856808,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14
PeakMemory,5,32,BasicXform,M2MTransformation2,StatisticBasedCase,616922928,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14
Time,1,1,BasicXform,EMFResourceInitialization,StatisticBasedCase,159469,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Memory,1,1,BasicXform,EMFResourceInitialization,StatisticBasedCase,11181416,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1
Time,1,1,BasicXform,Generation,StatisticBasedCase,46041835,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2
Memory,1,1,BasicXform,Generation,StatisticBasedCase,12859304,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2
Time,1,1,BasicXform,Initialization,StatisticBasedCase,50308067,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3
Memory,1,1,BasicXform,Initialization,StatisticBasedCase,13608560,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3
AverageMemory,1,1,BasicXform,Initialization,StatisticBasedCase,54244136,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3
PeakMemory,1,1,BasicXform,Initialization,StatisticBasedCase,75718992,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3
Time,1,1,BasicXform,M2MTransformation1,StatisticBasedCase,22498052,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4
Memory,1,1,BasicXform,M2MTransformation1,StatisticBasedCase,13942072,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4
AverageMemory,1,1,BasicXform,M2MTransformation1,StatisticBasedCase,35084040,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4
PeakMemory,1,1,BasicXform,M2MTransformation1,StatisticBasedCase,35084040,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4
Time,1,1,BasicXform,Modification,StatisticBasedCase,138869,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5
Memory,1,1,BasicXform,Modification,StatisticBasedCase,13942232,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5
Time,1,1,BasicXform,M2MTransformation2,StatisticBasedCase,25044064,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6
Memory,1,1,BasicXform,M2MTransformation2,StatisticBasedCase,13949912,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6
AverageMemory,1,1,BasicXform,M2MTransformation2,StatisticBasedCase,35417880,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6
PeakMemory,1,1,BasicXform,M2MTransformation2,StatisticBasedCase,35417880,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6
Time,2,1,BasicXform,Modification,StatisticBasedCase,187840,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,7
Memory,2,1,BasicXform,Modification,StatisticBasedCase,13950072,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,7
Time,2,1,BasicXform,M2MTransformation2,StatisticBasedCase,25894921,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8
Memory,2,1,BasicXform,M2MTransformation2,StatisticBasedCase,13957696,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8
PeakMemory,2,1,BasicXform,M2MTransformation2,StatisticBasedCase,35425720,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8
AverageMemory,2,1,BasicXform,M2MTransformation2,StatisticBasedCase,35425720,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8
Time,3,1,BasicXform,Modification,StatisticBasedCase,140426,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,9
Memory,3,1,BasicXform,Modification,StatisticBasedCase,13957856,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,9
Time,3,1,BasicXform,M2MTransformation2,StatisticBasedCase,24469541,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10
Memory,3,1,BasicXform,M2MTransformation2,StatisticBasedCase,13970960,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10
PeakMemory,3,1,BasicXform,M2MTransformation2,StatisticBasedCase,35433504,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10
AverageMemory,3,1,BasicXform,M2MTransformation2,StatisticBasedCase,35433504,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10
Time,4,1,BasicXform,Modification,StatisticBasedCase,128945,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,11
Memory,4,1,BasicXform,Modification,StatisticBasedCase,13971192,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,11
Time,4,1,BasicXform,M2MTransformation2,StatisticBasedCase,23929816,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12
Memory,4,1,BasicXform,M2MTransformation2,StatisticBasedCase,13980056,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12
PeakMemory,4,1,BasicXform,M2MTransformation2,StatisticBasedCase,35446864,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12
AverageMemory,4,1,BasicXform,M2MTransformation2,StatisticBasedCase,35446864,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12
Time,5,1,BasicXform,Modification,StatisticBasedCase,228431,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13
Memory,5,1,BasicXform,Modification,StatisticBasedCase,13980216,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13
Time,5,1,BasicXform,M2MTransformation2,StatisticBasedCase,22818323,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14
Memory,5,1,BasicXform,M2MTransformation2,StatisticBasedCase,13988440,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14
AverageMemory,5,1,BasicXform,M2MTransformation2,StatisticBasedCase,35455864,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14
PeakMemory,5,1,BasicXform,M2MTransformation2,StatisticBasedCase,35455864,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14
Time,1,32,BasicXform,EMFResourceInitialization,StatisticBasedCase,161766,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1
Memory,1,32,BasicXform,EMFResourceInitialization,StatisticBasedCase,11592136,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1
Time,1,32,BasicXform,Generation,StatisticBasedCase,14955119509,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2
Memory,1,32,BasicXform,Generation,StatisticBasedCase,809384968,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2
Time,1,32,BasicXform,Initialization,StatisticBasedCase,1486056396,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3
Memory,1,32,BasicXform,Initialization,StatisticBasedCase,498236856,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3
