Scenario,MetricName,Tool,RunIndex,Sequence,Size,MetricValue,PhaseName,Iteration,CaseName
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,12,32,362009440,M2MTransformation2,4,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,12,32,522614876,M2MTransformation2,4,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,12,32,618986144,M2MTransformation2,4,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,13,32,343725,Modification,5,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,13,32,362023584,Modification,5,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,14,32,277475169,M2MTransformation2,5,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,14,32,362037280,M2MTransformation2,5,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,14,32,619014384,M2MTransformation2,5,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,14,32,522643116,M2MTransformation2,5,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,1,64,347420,EMFResourceInitialization,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,1,64,11857504,EMFResourceInitialization,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,2,64,84267869379,Generation,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,2,64,3398609056,Generation,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,3,64,9156001495,Initialization,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,3,64,1645334664,Initialization,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,3,64,1456636203,Initialization,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,3,64,3673731000,Initialization,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,4,64,579119876,M2MTransformation1,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,4,64,1738008992,M2MTransformation1,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,4,64,2151471400,M2MTransformation1,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,4,64,1898284344,M2MTransformation1,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,5,64,1224818,Modification,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,5,64,1738090736,Modification,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,6,64,710523041,M2MTransformation2,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,6,64,1738106240,M2MTransformation2,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,6,64,2034119572,M2MTransformation2,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,6,64,2287857976,M2MTransformation2,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,7,64,652639,Modification,2,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,7,64,1738131264,Modification,2,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,8,64,701604340,M2MTransformation2,2,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,8,64,1738145920,M2MTransformation2,2,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,8,64,2034159808,M2MTransformation2,2,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,8,64,2287897920,M2MTransformation2,2,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,9,64,553936,Modification,3,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,9,64,1738171088,Modification,3,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,10,64,700239923,M2MTransformation2,3,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,10,64,1738185760,M2MTransformation2,3,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,10,64,2287938112,M2MTransformation2,3,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,10,64,2034199816,M2MTransformation2,3,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,11,64,603327,Modification,4,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,11,64,1738211144,Modification,4,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,12,64,691993221,M2MTransformation2,4,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,12,64,1738226112,M2MTransformation2,4,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,12,64,2034239772,M2MTransformation2,4,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,12,64,2287977944,M2MTransformation2,4,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,13,64,634946,Modification,5,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,13,64,1738251624,Modification,5,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,14,64,754850559,M2MTransformation2,5,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,14,64,1738266304,M2MTransformation2,5,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,14,64,2288018176,M2MTransformation2,5,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,14,64,2034280116,M2MTransformation2,5,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,1,64,285059,EMFResourceInitialization,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,1,64,11858544,EMFResourceInitialization,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,2,64,88302281751,Generation,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,2,64,3398609800,Generation,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,3,64,9611306422,Initialization,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,3,64,1645335568,Initialization,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,3,64,3238179368,Initialization,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,3,64,1266345176,Initialization,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,4,64,599142914,M2MTransformation1,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,4,64,1738009112,M2MTransformation1,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,4,64,1894439800,M2MTransformation1,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,4,64,2119819320,M2MTransformation1,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,5,64,1484368,Modification,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,5,64,1738090824,Modification,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,6,64,748068971,M2MTransformation2,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,6,64,1738106672,M2MTransformation2,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,6,64,2276074264,M2MTransformation2,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,6,64,2022905940,M2MTransformation2,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,7,64,661144,Modification,2,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,7,64,1738131696,Modification,2,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,8,64,714355523,M2MTransformation2,2,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,8,64,1738146728,M2MTransformation2,2,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,8,64,2022947132,M2MTransformation2,2,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,8,64,2276115776,M2MTransformation2,2,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,9,64,576325,Modification,3,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,9,64,1738171896,Modification,3,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,10,64,706384652,M2MTransformation2,3,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,10,64,1738186600,M2MTransformation2,3,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,10,64,2276156160,M2MTransformation2,3,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,10,64,2022987424,M2MTransformation2,3,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,11,64,576917,Modification,4,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,11,64,1738211952,Modification,4,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,12,64,695306568,M2MTransformation2,4,StatisticBasedCase
