Sequence,CaseName,Scenario,Size,PhaseName,Tool,Iteration,RunIndex,MetricValue,MetricName
11,StatisticBasedCase,BasicXform,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,2,13982272,Memory
12,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,2,26127923,Time
12,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,2,13994720,Memory
12,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,2,35457896,PeakMemory
12,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,2,35457896,AverageMemory
13,StatisticBasedCase,BasicXform,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,2,151142,Time
13,StatisticBasedCase,BasicXform,1,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,2,13994880,Memory
14,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,2,25410731,Time
14,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,2,14002656,Memory
14,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,2,35470480,PeakMemory
14,StatisticBasedCase,BasicXform,1,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,2,35470480,AverageMemory
1,StatisticBasedCase,BasicXform,16,EMFResourceInitialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,251555,Time
1,StatisticBasedCase,BasicXform,16,EMFResourceInitialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,11430144,Memory
2,StatisticBasedCase,BasicXform,16,Generation,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,3167681739,Time
2,StatisticBasedCase,BasicXform,16,Generation,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,202681496,Memory
3,StatisticBasedCase,BasicXform,16,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,361672675,Time
3,StatisticBasedCase,BasicXform,16,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,96716944,Memory
3,StatisticBasedCase,BasicXform,16,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,152944772,AverageMemory
3,StatisticBasedCase,BasicXform,16,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,249420016,PeakMemory
4,StatisticBasedCase,BasicXform,16,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,299682611,Time
4,StatisticBasedCase,BasicXform,16,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,118541728,Memory
4,StatisticBasedCase,BasicXform,16,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,287570912,PeakMemory
4,StatisticBasedCase,BasicXform,16,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,213316536,AverageMemory
5,StatisticBasedCase,BasicXform,16,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,5374401,Time
5,StatisticBasedCase,BasicXform,16,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,120470616,Memory
6,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,39867,Time
6,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,120471464,Memory
6,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,184290856,PeakMemory
6,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,1,162816000,AverageMemory
7,StatisticBasedCase,BasicXform,16,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,1460006,Time
7,StatisticBasedCase,BasicXform,16,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,120506672,Memory
8,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,28110,Time
8,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,120507520,Memory
8,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,162852056,PeakMemory
8,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,1,162852056,AverageMemory
9,StatisticBasedCase,BasicXform,16,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,1,1116414,Time
9,StatisticBasedCase,BasicXform,16,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,1,120545512,Memory
10,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,1,31136,Time
10,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,1,120546360,Memory
10,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,1,81445448,AverageMemory
10,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,1,205840592,PeakMemory
11,StatisticBasedCase,BasicXform,16,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,2246560,Time
11,StatisticBasedCase,BasicXform,16,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,120582272,Memory
12,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,13889,Time
12,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,120583144,Memory
12,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,162927680,PeakMemory
12,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,1,141755512,AverageMemory
13,StatisticBasedCase,BasicXform,16,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,1,1445391,Time
13,StatisticBasedCase,BasicXform,16,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,1,120618768,Memory
14,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,1,12151,Time
14,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,1,120620416,Memory
14,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,1,162964152,PeakMemory
14,StatisticBasedCase,BasicXform,16,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,1,141791984,AverageMemory
1,StatisticBasedCase,BasicXform,8,EMFResourceInitialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,276316,Time
1,StatisticBasedCase,BasicXform,8,EMFResourceInitialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,11337504,Memory
2,StatisticBasedCase,BasicXform,8,Generation,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,789168470,Time
2,StatisticBasedCase,BasicXform,8,Generation,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,57418984,Memory
3,StatisticBasedCase,BasicXform,8,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,134430256,Time
3,StatisticBasedCase,BasicXform,8,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,38329256,Memory
3,StatisticBasedCase,BasicXform,8,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,119799544,PeakMemory
3,StatisticBasedCase,BasicXform,8,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,76849824,AverageMemory
4,StatisticBasedCase,BasicXform,8,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,196397707,Time
4,StatisticBasedCase,BasicXform,8,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,48427528,Memory
4,StatisticBasedCase,BasicXform,8,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,145704096,PeakMemory
4,StatisticBasedCase,BasicXform,8,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,102754392,AverageMemory
5,StatisticBasedCase,BasicXform,8,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,3154431,Time
5,StatisticBasedCase,BasicXform,8,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,49337432,Memory
6,StatisticBasedCase,BasicXform,8,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,16970,Time
6,StatisticBasedCase,BasicXform,8,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,49338272,Memory
6,StatisticBasedCase,BasicXform,8,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,70813032,PeakMemory
6,StatisticBasedCase,BasicXform,8,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,2,70813032,AverageMemory
