Iteration,MetricValue,Size,Sequence,Tool,PhaseName,MetricName,Scenario,RunIndex,CaseName
4,500971752,64,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,2,LowSynchCase
4,1890520096,64,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,2,LowSynchCase
4,1209374610,64,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,2,LowSynchCase
5,120324,64,13,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,2,LowSynchCase
5,500977624,64,13,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,2,LowSynchCase
5,1837084805,64,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,2,LowSynchCase
5,500999640,64,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,2,LowSynchCase
5,1220282274,64,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,2,LowSynchCase
5,1926014488,64,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,2,LowSynchCase
1,446652,64,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,Time,BasicXform,1,LowSynchCase
1,13432048,64,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,Memory,BasicXform,1,LowSynchCase
1,3754154044,64,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,Time,BasicXform,1,LowSynchCase
1,307746120,64,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,Memory,BasicXform,1,LowSynchCase
1,751382936,64,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,Time,BasicXform,1,LowSynchCase
1,272022440,64,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,Memory,BasicXform,1,LowSynchCase
1,327978156,64,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,AverageMemory,BasicXform,1,LowSynchCase
1,572537744,64,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,PeakMemory,BasicXform,1,LowSynchCase
1,1367659331,64,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,Time,BasicXform,1,LowSynchCase
1,502659080,64,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,Memory,BasicXform,1,LowSynchCase
1,1462914712,64,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,PeakMemory,BasicXform,1,LowSynchCase
1,980749437,64,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,AverageMemory,BasicXform,1,LowSynchCase
1,188853,64,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,1,LowSynchCase
1,502599768,64,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,1,LowSynchCase
1,1726577117,64,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,1,LowSynchCase
1,502622104,64,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,1,LowSynchCase
1,1842326400,64,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,1,LowSynchCase
1,1172463426,64,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,1,LowSynchCase
2,160999,64,7,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,1,LowSynchCase
2,502641032,64,7,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,1,LowSynchCase
2,1711059213,64,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,1,LowSynchCase
2,502985904,64,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,1,LowSynchCase
2,1952214600,64,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,1,LowSynchCase
2,1234315346,64,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,1,LowSynchCase
3,146491,64,9,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,1,LowSynchCase
3,502961984,64,9,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,1,LowSynchCase
3,1799692514,64,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,1,LowSynchCase
3,502984104,64,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,1,LowSynchCase
3,1179184413,64,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,1,LowSynchCase
3,1841881584,64,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,1,LowSynchCase
4,154680,64,11,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,1,LowSynchCase
4,502990016,64,11,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,1,LowSynchCase
4,1714164406,64,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,1,LowSynchCase
4,503012552,64,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,1,LowSynchCase
4,1177931413,64,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,1,LowSynchCase
4,1839373248,64,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,1,LowSynchCase
5,116791,64,13,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,1,LowSynchCase
5,503018624,64,13,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,1,LowSynchCase
5,2013241443,64,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,1,LowSynchCase
5,503040600,64,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,1,LowSynchCase
5,1837725760,64,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,1,LowSynchCase
5,1342266559,64,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,1,LowSynchCase
