Iteration,MetricValue,Size,Sequence,Tool,PhaseName,MetricName,Scenario,RunIndex,CaseName
5,1926298008,64,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,3,LowSynchCase
1,564505,128,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,Time,BasicXform,2,LowSynchCase
1,11186560,128,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,EMFResourceInitialization,Memory,BasicXform,2,LowSynchCase
1,7389835210,128,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,Time,BasicXform,2,LowSynchCase
1,673928720,128,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Generation,Memory,BasicXform,2,LowSynchCase
1,1736030200,128,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,Time,BasicXform,2,LowSynchCase
1,594940040,128,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,Memory,BasicXform,2,LowSynchCase
1,669584072,128,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,AverageMemory,BasicXform,2,LowSynchCase
1,1220310200,128,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Initialization,PeakMemory,BasicXform,2,LowSynchCase
1,3345362082,128,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,Time,BasicXform,2,LowSynchCase
1,1123282384,128,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,Memory,BasicXform,2,LowSynchCase
1,3154083848,128,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,PeakMemory,BasicXform,2,LowSynchCase
1,1467172643,128,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation1,AverageMemory,BasicXform,2,LowSynchCase
1,190454,128,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,2,LowSynchCase
1,1123287584,128,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,2,LowSynchCase
1,4241095975,128,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,2,LowSynchCase
1,1123310136,128,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Memory,BasicXform,2,LowSynchCase
1,4212075144,128,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,PeakMemory,BasicXform,2,LowSynchCase
1,2740824774,128,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,AverageMemory,BasicXform,2,LowSynchCase
2,159077,128,7,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Time,BasicXform,2,LowSynchCase
2,1123315400,128,7,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Modification,Memory,BasicXform,2,LowSynchCase
2,4637015138,128,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,M2MTransformation2,Time,BasicXform,2,LowSynchCase
