Iteration,Tool,Size,Scenario,RunIndex,PhaseName,Sequence,MetricValue,CaseName,MetricName
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Initialization,3,2435945728,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Initialization,3,3990213248,LowSynchCase,PeakMemory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Initialization,3,1525086026,LowSynchCase,AverageMemory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation1,4,17178778487,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation1,4,4363126088,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation1,4,6301614208,LowSynchCase,PeakMemory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation1,4,3899579375,LowSynchCase,AverageMemory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Modification,5,157750,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Modification,5,4363133216,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,6,26837482376,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,6,4363720872,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,6,7174300600,LowSynchCase,PeakMemory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,6,5309353699,LowSynchCase,AverageMemory
2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Modification,7,107400,LowSynchCase,Time
2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,Modification,7,4363728096,LowSynchCase,Memory
2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,8,22772343713,LowSynchCase,Time
2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,512,BasicXform,3,M2MTransformation2,8,4363749536,LowSynchCase,Memory
