Sequence,Iteration,Scenario,Tool,RunIndex,CaseName,PhaseName,MetricName,Size,MetricValue
13,5,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Modification,Time,2,166498
13,5,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Modification,Memory,2,12958536
14,5,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,Time,2,48798450
14,5,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,Memory,2,12965896
14,5,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,PeakMemory,2,55909040
14,5,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation2,AverageMemory,2,45171628
1,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,EMFResourceInitialization,Time,64,316104
1,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,EMFResourceInitialization,Memory,64,10165200
2,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Generation,Time,64,66557262421
2,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Generation,Memory,64,1721064952
3,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Initialization,Time,64,3671599522
3,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Initialization,Memory,64,196234360
3,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Initialization,PeakMemory,64,880286528
3,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,Initialization,AverageMemory,64,493907509
4,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation1,Time,64,1300429883
4,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation1,Memory,64,226823624
4,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,StatisticBasedCase,M2MTransformation1,PeakMemory,64,981506800
