Size,CaseName,Iteration,Scenario,Tool,MetricName,PhaseName,Sequence,MetricValue,RunIndex
64,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,14,1175519114,3
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,EMFResourceInitialization,1,266565,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,EMFResourceInitialization,1,11198960,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Generation,2,7404481490,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Generation,2,675061128,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Initialization,3,1708835955,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Initialization,3,595142352,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,Initialization,3,699987080,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,Initialization,3,1288324384,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation1,4,3310205383,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation1,4,1123818656,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation1,4,3151247904,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation1,4,1484610542,2
128,LowSynchCase,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,5,200382,2
