Iteration,Scenario,MetricName,Size,CaseName,RunIndex,Sequence,PhaseName,Tool,MetricValue
2,BasicXform,Memory,16,StatisticBasedCase,2,7,Modification,BATCH_OPTIMIZED-TEMPLATE,19045712
2,BasicXform,Time,16,StatisticBasedCase,2,8,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,38213904317
2,BasicXform,Memory,16,StatisticBasedCase,2,8,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,19993640
2,BasicXform,PeakMemory,16,StatisticBasedCase,2,8,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,3299061680
2,BasicXform,AverageMemory,16,StatisticBasedCase,2,8,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,977356393
3,BasicXform,Time,16,StatisticBasedCase,2,9,Modification,BATCH_OPTIMIZED-TEMPLATE,186901
3,BasicXform,Memory,16,StatisticBasedCase,2,9,Modification,BATCH_OPTIMIZED-TEMPLATE,19992776
3,BasicXform,Time,16,StatisticBasedCase,2,10,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,38646058173
3,BasicXform,Memory,16,StatisticBasedCase,2,10,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,21138000
3,BasicXform,PeakMemory,16,StatisticBasedCase,2,10,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,3296224088
3,BasicXform,AverageMemory,16,StatisticBasedCase,2,10,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,758577352
4,BasicXform,Time,16,StatisticBasedCase,2,11,Modification,BATCH_OPTIMIZED-TEMPLATE,120122
4,BasicXform,Memory,16,StatisticBasedCase,2,11,Modification,BATCH_OPTIMIZED-TEMPLATE,21138112
4,BasicXform,Time,16,StatisticBasedCase,2,12,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,38591523042
4,BasicXform,Memory,16,StatisticBasedCase,2,12,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,22088432
4,BasicXform,PeakMemory,16,StatisticBasedCase,2,12,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,3288415544
4,BasicXform,AverageMemory,16,StatisticBasedCase,2,12,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,1270771256
5,BasicXform,Time,16,StatisticBasedCase,2,13,Modification,BATCH_OPTIMIZED-TEMPLATE,130289
5,BasicXform,Memory,16,StatisticBasedCase,2,13,Modification,BATCH_OPTIMIZED-TEMPLATE,22088544
5,BasicXform,Time,16,StatisticBasedCase,2,14,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,38254765052
5,BasicXform,Memory,16,StatisticBasedCase,2,14,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,23040216
5,BasicXform,PeakMemory,16,StatisticBasedCase,2,14,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,3281550784
5,BasicXform,AverageMemory,16,StatisticBasedCase,2,14,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,1161018097
1,BasicXform,Time,1,StatisticBasedCase,2,1,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,264049
1,BasicXform,Memory,1,StatisticBasedCase,2,1,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,11400792
1,BasicXform,Time,1,StatisticBasedCase,2,2,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,61389531
1,BasicXform,Memory,1,StatisticBasedCase,2,2,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13093240
1,BasicXform,Time,1,StatisticBasedCase,2,3,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,66541557
1,BasicXform,Memory,1,StatisticBasedCase,2,3,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13874672
1,BasicXform,PeakMemory,1,StatisticBasedCase,2,3,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,97412512
1,BasicXform,AverageMemory,1,StatisticBasedCase,2,3,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,54462804
1,BasicXform,Time,1,StatisticBasedCase,2,4,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,25093974
1,BasicXform,Memory,1,StatisticBasedCase,2,4,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14236912
1,BasicXform,PeakMemory,1,StatisticBasedCase,2,4,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35350104
1,BasicXform,AverageMemory,1,StatisticBasedCase,2,4,M2MTransformation1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35350104
1,BasicXform,Time,1,StatisticBasedCase,2,5,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,188642
1,BasicXform,Memory,1,StatisticBasedCase,2,5,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14236728
1,BasicXform,Time,1,StatisticBasedCase,2,6,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,24650339
1,BasicXform,Memory,1,StatisticBasedCase,2,6,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14249088
1,BasicXform,PeakMemory,1,StatisticBasedCase,2,6,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35712360
1,BasicXform,AverageMemory,1,StatisticBasedCase,2,6,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35712360
2,BasicXform,Time,1,StatisticBasedCase,2,7,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,119115
2,BasicXform,Memory,1,StatisticBasedCase,2,7,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14248904
2,BasicXform,Time,1,StatisticBasedCase,2,8,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,24879084
2,BasicXform,Memory,1,StatisticBasedCase,2,8,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14256432
2,BasicXform,PeakMemory,1,StatisticBasedCase,2,8,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35724536
2,BasicXform,AverageMemory,1,StatisticBasedCase,2,8,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35724536
3,BasicXform,Time,1,StatisticBasedCase,2,9,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,118016
3,BasicXform,Memory,1,StatisticBasedCase,2,9,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14256248
3,BasicXform,Time,1,StatisticBasedCase,2,10,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,26786643
3,BasicXform,Memory,1,StatisticBasedCase,2,10,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14264848
3,BasicXform,PeakMemory,1,StatisticBasedCase,2,10,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35731880
3,BasicXform,AverageMemory,1,StatisticBasedCase,2,10,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35731880
4,BasicXform,Time,1,StatisticBasedCase,2,11,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,101281
4,BasicXform,Memory,1,StatisticBasedCase,2,11,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14264688
4,BasicXform,Time,1,StatisticBasedCase,2,12,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,25789463
4,BasicXform,Memory,1,StatisticBasedCase,2,12,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14272648
4,BasicXform,PeakMemory,1,StatisticBasedCase,2,12,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35740344
4,BasicXform,AverageMemory,1,StatisticBasedCase,2,12,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35740344
5,BasicXform,Time,1,StatisticBasedCase,2,13,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,134236
5,BasicXform,Memory,1,StatisticBasedCase,2,13,Modification,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14272464
5,BasicXform,Time,1,StatisticBasedCase,2,14,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,25682709
5,BasicXform,Memory,1,StatisticBasedCase,2,14,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14280072
5,BasicXform,PeakMemory,1,StatisticBasedCase,2,14,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35748096
5,BasicXform,AverageMemory,1,StatisticBasedCase,2,14,M2MTransformation2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,35748096
1,BasicXform,Time,16,StatisticBasedCase,1,1,EMFResourceInitialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,274176
1,BasicXform,Memory,16,StatisticBasedCase,1,1,EMFResourceInitialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11649544
1,BasicXform,Time,16,StatisticBasedCase,1,2,Generation,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3126109198
1,BasicXform,Memory,16,StatisticBasedCase,1,2,Generation,INCR_VIATRA_TRANSFORMATION-TEMPLATE,159161696
1,BasicXform,Time,16,StatisticBasedCase,1,3,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,485468828
1,BasicXform,Memory,16,StatisticBasedCase,1,3,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,86699104
1,BasicXform,AverageMemory,16,StatisticBasedCase,1,3,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,175405364
1,BasicXform,PeakMemory,16,StatisticBasedCase,1,3,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,314991744
1,BasicXform,Time,16,StatisticBasedCase,1,4,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,300574392
1,BasicXform,Memory,16,StatisticBasedCase,1,4,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,106878000
1,BasicXform,PeakMemory,16,StatisticBasedCase,1,4,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,237023584
1,BasicXform,AverageMemory,16,StatisticBasedCase,1,4,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,183336448
1,BasicXform,Time,16,StatisticBasedCase,1,5,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6223900
1,BasicXform,Memory,16,StatisticBasedCase,1,5,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,108632984
1,BasicXform,Time,16,StatisticBasedCase,1,6,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,51706
1,BasicXform,Memory,16,StatisticBasedCase,1,6,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,108633864
1,BasicXform,AverageMemory,16,StatisticBasedCase,1,6,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,151583392
1,BasicXform,PeakMemory,16,StatisticBasedCase,1,6,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,173058248
2,BasicXform,Time,16,StatisticBasedCase,1,7,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2176764
2,BasicXform,Memory,16,StatisticBasedCase,1,7,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,108698752
2,BasicXform,Time,16,StatisticBasedCase,1,8,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,41700
2,BasicXform,Memory,16,StatisticBasedCase,1,8,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,108699632
2,BasicXform,PeakMemory,16,StatisticBasedCase,1,8,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,194598856
2,BasicXform,AverageMemory,16,StatisticBasedCase,1,8,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,151649160
3,BasicXform,Time,16,StatisticBasedCase,1,9,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2814168
3,BasicXform,Memory,16,StatisticBasedCase,1,9,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,108765064
3,BasicXform,Time,16,StatisticBasedCase,1,10,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,27136
3,BasicXform,Memory,16,StatisticBasedCase,1,10,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,108765944
3,BasicXform,PeakMemory,16,StatisticBasedCase,1,10,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,151715472
3,BasicXform,AverageMemory,16,StatisticBasedCase,1,10,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,130240808
4,BasicXform,Time,16,StatisticBasedCase,1,11,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2438978
4,BasicXform,Memory,16,StatisticBasedCase,1,11,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,108831544
4,BasicXform,Time,16,StatisticBasedCase,1,12,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,19375
4,BasicXform,Memory,16,StatisticBasedCase,1,12,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,108832448
4,BasicXform,PeakMemory,16,StatisticBasedCase,1,12,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,151781976
4,BasicXform,AverageMemory,16,StatisticBasedCase,1,12,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,151781976
5,BasicXform,Time,16,StatisticBasedCase,1,13,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1832017
5,BasicXform,Memory,16,StatisticBasedCase,1,13,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,108897576
5,BasicXform,Time,16,StatisticBasedCase,1,14,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,17308
5,BasicXform,Memory,16,StatisticBasedCase,1,14,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,108898456
5,BasicXform,AverageMemory,16,StatisticBasedCase,1,14,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,151847984
5,BasicXform,PeakMemory,16,StatisticBasedCase,1,14,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,151847984
1,BasicXform,Time,8,StatisticBasedCase,2,1,EMFResourceInitialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,233832
1,BasicXform,Memory,8,StatisticBasedCase,2,1,EMFResourceInitialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11557632
1,BasicXform,Time,8,StatisticBasedCase,2,2,Generation,INCR_VIATRA_TRANSFORMATION-TEMPLATE,803180800
1,BasicXform,Memory,8,StatisticBasedCase,2,2,Generation,INCR_VIATRA_TRANSFORMATION-TEMPLATE,48268336
1,BasicXform,Time,8,StatisticBasedCase,2,3,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,138064590
1,BasicXform,Memory,8,StatisticBasedCase,2,3,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,36262528
1,BasicXform,PeakMemory,8,StatisticBasedCase,2,3,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,130752960
1,BasicXform,AverageMemory,8,StatisticBasedCase,2,3,Initialization,INCR_VIATRA_TRANSFORMATION-TEMPLATE,77065808
1,BasicXform,Time,8,StatisticBasedCase,2,4,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,180406394
1,BasicXform,Memory,8,StatisticBasedCase,2,4,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,45603400
1,BasicXform,PeakMemory,8,StatisticBasedCase,2,4,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,122162480
1,BasicXform,AverageMemory,8,StatisticBasedCase,2,4,M2MTransformation1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,89950220
1,BasicXform,Time,8,StatisticBasedCase,2,5,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2986677
1,BasicXform,Memory,8,StatisticBasedCase,2,5,Modification,INCR_VIATRA_TRANSFORMATION-TEMPLATE,46423216
1,BasicXform,Time,8,StatisticBasedCase,2,6,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16320
1,BasicXform,Memory,8,StatisticBasedCase,2,6,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,46424088
1,BasicXform,PeakMemory,8,StatisticBasedCase,2,6,M2MTransformation2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,67898848
