PhaseName,Sequence,Size,Scenario,RunIndex,CaseName,MetricValue,Iteration,Tool,MetricName
M2MTransformation2,8,64,BasicXform,3,StatisticBasedCase,1111585674,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,8,64,BasicXform,3,StatisticBasedCase,226820720,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,8,64,BasicXform,3,StatisticBasedCase,1039059136,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
M2MTransformation2,8,64,BasicXform,3,StatisticBasedCase,730975877,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
Modification,9,64,BasicXform,3,StatisticBasedCase,621558,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,9,64,BasicXform,3,StatisticBasedCase,226820736,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,10,64,BasicXform,3,StatisticBasedCase,1063850891,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,10,64,BasicXform,3,StatisticBasedCase,226823072,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,10,64,BasicXform,3,StatisticBasedCase,1001501808,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
M2MTransformation2,10,64,BasicXform,3,StatisticBasedCase,743275045,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
Modification,11,64,BasicXform,3,StatisticBasedCase,541972,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,11,64,BasicXform,3,StatisticBasedCase,226823112,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,12,64,BasicXform,3,StatisticBasedCase,1036519730,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,12,64,BasicXform,3,StatisticBasedCase,226831128,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,12,64,BasicXform,3,StatisticBasedCase,1001503832,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
M2MTransformation2,12,64,BasicXform,3,StatisticBasedCase,743277189,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
Modification,13,64,BasicXform,3,StatisticBasedCase,589442,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,13,64,BasicXform,3,StatisticBasedCase,226831168,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,14,64,BasicXform,3,StatisticBasedCase,1016574485,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,14,64,BasicXform,3,StatisticBasedCase,226835480,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,14,64,BasicXform,3,StatisticBasedCase,755581957,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
M2MTransformation2,14,64,BasicXform,3,StatisticBasedCase,1001512208,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
EMFResourceInitialization,1,16,BasicXform,2,StatisticBasedCase,190314,1,BATCH_OPTIMIZED-TEMPLATE,Time
EMFResourceInitialization,1,16,BasicXform,2,StatisticBasedCase,9392704,1,BATCH_OPTIMIZED-TEMPLATE,Memory
Generation,2,16,BasicXform,2,StatisticBasedCase,1865014195,1,BATCH_OPTIMIZED-TEMPLATE,Time
Generation,2,16,BasicXform,2,StatisticBasedCase,48417744,1,BATCH_OPTIMIZED-TEMPLATE,Memory
Initialization,3,16,BasicXform,2,StatisticBasedCase,28013,1,BATCH_OPTIMIZED-TEMPLATE,Time
Initialization,3,16,BasicXform,2,StatisticBasedCase,12086448,1,BATCH_OPTIMIZED-TEMPLATE,Memory
Initialization,3,16,BasicXform,2,StatisticBasedCase,32441024,1,BATCH_OPTIMIZED-TEMPLATE,PeakMemory
Initialization,3,16,BasicXform,2,StatisticBasedCase,22263836,1,BATCH_OPTIMIZED-TEMPLATE,AverageMemory
M2MTransformation1,4,16,BasicXform,2,StatisticBasedCase,29195739939,1,BATCH_OPTIMIZED-TEMPLATE,Time
M2MTransformation1,4,16,BasicXform,2,StatisticBasedCase,15896944,1,BATCH_OPTIMIZED-TEMPLATE,Memory
M2MTransformation1,4,16,BasicXform,2,StatisticBasedCase,1450604352,1,BATCH_OPTIMIZED-TEMPLATE,PeakMemory
M2MTransformation1,4,16,BasicXform,2,StatisticBasedCase,717688381,1,BATCH_OPTIMIZED-TEMPLATE,AverageMemory
Modification,5,16,BasicXform,2,StatisticBasedCase,266480,1,BATCH_OPTIMIZED-TEMPLATE,Time
Modification,5,16,BasicXform,2,StatisticBasedCase,15897064,1,BATCH_OPTIMIZED-TEMPLATE,Memory
M2MTransformation2,6,16,BasicXform,2,StatisticBasedCase,29170157032,1,BATCH_OPTIMIZED-TEMPLATE,Time
M2MTransformation2,6,16,BasicXform,2,StatisticBasedCase,16880952,1,BATCH_OPTIMIZED-TEMPLATE,Memory
M2MTransformation2,6,16,BasicXform,2,StatisticBasedCase,1451125912,1,BATCH_OPTIMIZED-TEMPLATE,PeakMemory
M2MTransformation2,6,16,BasicXform,2,StatisticBasedCase,682606336,1,BATCH_OPTIMIZED-TEMPLATE,AverageMemory
Modification,7,16,BasicXform,2,StatisticBasedCase,180171,2,BATCH_OPTIMIZED-TEMPLATE,Time
Modification,7,16,BasicXform,2,StatisticBasedCase,16881040,2,BATCH_OPTIMIZED-TEMPLATE,Memory
M2MTransformation2,8,16,BasicXform,2,StatisticBasedCase,29327043945,2,BATCH_OPTIMIZED-TEMPLATE,Time
M2MTransformation2,8,16,BasicXform,2,StatisticBasedCase,17915728,2,BATCH_OPTIMIZED-TEMPLATE,Memory
M2MTransformation2,8,16,BasicXform,2,StatisticBasedCase,1452247072,2,BATCH_OPTIMIZED-TEMPLATE,PeakMemory
M2MTransformation2,8,16,BasicXform,2,StatisticBasedCase,716356574,2,BATCH_OPTIMIZED-TEMPLATE,AverageMemory
Modification,9,16,BasicXform,2,StatisticBasedCase,152669,3,BATCH_OPTIMIZED-TEMPLATE,Time
Modification,9,16,BasicXform,2,StatisticBasedCase,17915816,3,BATCH_OPTIMIZED-TEMPLATE,Memory
M2MTransformation2,10,16,BasicXform,2,StatisticBasedCase,29523296833,3,BATCH_OPTIMIZED-TEMPLATE,Time
M2MTransformation2,10,16,BasicXform,2,StatisticBasedCase,18853952,3,BATCH_OPTIMIZED-TEMPLATE,Memory
M2MTransformation2,10,16,BasicXform,2,StatisticBasedCase,659986515,3,BATCH_OPTIMIZED-TEMPLATE,AverageMemory
M2MTransformation2,10,16,BasicXform,2,StatisticBasedCase,1453079080,3,BATCH_OPTIMIZED-TEMPLATE,PeakMemory
Modification,11,16,BasicXform,2,StatisticBasedCase,171570,4,BATCH_OPTIMIZED-TEMPLATE,Time
Modification,11,16,BasicXform,2,StatisticBasedCase,18854064,4,BATCH_OPTIMIZED-TEMPLATE,Memory
M2MTransformation2,12,16,BasicXform,2,StatisticBasedCase,29379612875,4,BATCH_OPTIMIZED-TEMPLATE,Time
M2MTransformation2,12,16,BasicXform,2,StatisticBasedCase,19990456,4,BATCH_OPTIMIZED-TEMPLATE,Memory
M2MTransformation2,12,16,BasicXform,2,StatisticBasedCase,1454400344,4,BATCH_OPTIMIZED-TEMPLATE,PeakMemory
M2MTransformation2,12,16,BasicXform,2,StatisticBasedCase,703722605,4,BATCH_OPTIMIZED-TEMPLATE,AverageMemory
Modification,13,16,BasicXform,2,StatisticBasedCase,195315,5,BATCH_OPTIMIZED-TEMPLATE,Time
Modification,13,16,BasicXform,2,StatisticBasedCase,19990568,5,BATCH_OPTIMIZED-TEMPLATE,Memory
M2MTransformation2,14,16,BasicXform,2,StatisticBasedCase,29432173490,5,BATCH_OPTIMIZED-TEMPLATE,Time
M2MTransformation2,14,16,BasicXform,2,StatisticBasedCase,20931704,5,BATCH_OPTIMIZED-TEMPLATE,Memory
M2MTransformation2,14,16,BasicXform,2,StatisticBasedCase,1455159944,5,BATCH_OPTIMIZED-TEMPLATE,PeakMemory
M2MTransformation2,14,16,BasicXform,2,StatisticBasedCase,721126326,5,BATCH_OPTIMIZED-TEMPLATE,AverageMemory
EMFResourceInitialization,1,1,BasicXform,2,StatisticBasedCase,609344,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
EMFResourceInitialization,1,1,BasicXform,2,StatisticBasedCase,9462144,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
Generation,2,1,BasicXform,2,StatisticBasedCase,74556321,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Generation,2,1,BasicXform,2,StatisticBasedCase,10636232,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
Initialization,3,1,BasicXform,2,StatisticBasedCase,62289051,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Initialization,3,1,BasicXform,2,StatisticBasedCase,11962768,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
Initialization,3,1,BasicXform,2,StatisticBasedCase,95477448,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
Initialization,3,1,BasicXform,2,StatisticBasedCase,52527756,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
M2MTransformation1,4,1,BasicXform,2,StatisticBasedCase,28559443,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation1,4,1,BasicXform,2,StatisticBasedCase,12239792,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation1,4,1,BasicXform,2,StatisticBasedCase,33438248,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
M2MTransformation1,4,1,BasicXform,2,StatisticBasedCase,33438248,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
Modification,5,1,BasicXform,2,StatisticBasedCase,114202,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,5,1,BasicXform,2,StatisticBasedCase,12239576,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,6,1,BasicXform,2,StatisticBasedCase,29156115,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,6,1,BasicXform,2,StatisticBasedCase,12245728,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,6,1,BasicXform,2,StatisticBasedCase,33715256,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
M2MTransformation2,6,1,BasicXform,2,StatisticBasedCase,33715256,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
Modification,7,1,BasicXform,2,StatisticBasedCase,113679,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,7,1,BasicXform,2,StatisticBasedCase,12245512,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,8,1,BasicXform,2,StatisticBasedCase,29700882,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,8,1,BasicXform,2,StatisticBasedCase,12252840,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,8,1,BasicXform,2,StatisticBasedCase,33721192,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
M2MTransformation2,8,1,BasicXform,2,StatisticBasedCase,55196048,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
Modification,9,1,BasicXform,2,StatisticBasedCase,106567,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,9,1,BasicXform,2,StatisticBasedCase,12252624,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,10,1,BasicXform,2,StatisticBasedCase,30125946,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,10,1,BasicXform,2,StatisticBasedCase,12261168,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,10,1,BasicXform,2,StatisticBasedCase,33728304,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
M2MTransformation2,10,1,BasicXform,2,StatisticBasedCase,33728304,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
Modification,11,1,BasicXform,2,StatisticBasedCase,102910,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,11,1,BasicXform,2,StatisticBasedCase,12260976,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,12,1,BasicXform,2,StatisticBasedCase,31047104,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,12,1,BasicXform,2,StatisticBasedCase,12266944,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,12,1,BasicXform,2,StatisticBasedCase,33736680,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
M2MTransformation2,12,1,BasicXform,2,StatisticBasedCase,33736680,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
Modification,13,1,BasicXform,2,StatisticBasedCase,110388,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,13,1,BasicXform,2,StatisticBasedCase,12266728,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,14,1,BasicXform,2,StatisticBasedCase,30457355,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,14,1,BasicXform,2,StatisticBasedCase,12273096,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,14,1,BasicXform,2,StatisticBasedCase,33742408,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
M2MTransformation2,14,1,BasicXform,2,StatisticBasedCase,33742408,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
EMFResourceInitialization,1,4,BasicXform,1,StatisticBasedCase,630060,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time
EMFResourceInitialization,1,4,BasicXform,1,StatisticBasedCase,9404064,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory
Generation,2,4,BasicXform,1,StatisticBasedCase,292770674,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time
Generation,2,4,BasicXform,1,StatisticBasedCase,15752128,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory
Initialization,3,4,BasicXform,1,StatisticBasedCase,57012773,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time
Initialization,3,4,BasicXform,1,StatisticBasedCase,13443920,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory
Initialization,3,4,BasicXform,1,StatisticBasedCase,52832136,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory
Initialization,3,4,BasicXform,1,StatisticBasedCase,42094712,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory
M2MTransformation1,4,4,BasicXform,1,StatisticBasedCase,48551720,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time
M2MTransformation1,4,4,BasicXform,1,StatisticBasedCase,14887152,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory
M2MTransformation1,4,4,BasicXform,1,StatisticBasedCase,34919352,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory
M2MTransformation1,4,4,BasicXform,1,StatisticBasedCase,34919352,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory
Modification,5,4,BasicXform,1,StatisticBasedCase,372713,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time
Modification,5,4,BasicXform,1,StatisticBasedCase,14895472,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory
M2MTransformation2,6,4,BasicXform,1,StatisticBasedCase,52034382,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time
M2MTransformation2,6,4,BasicXform,1,StatisticBasedCase,14953944,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory
M2MTransformation2,6,4,BasicXform,1,StatisticBasedCase,36371104,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory
M2MTransformation2,6,4,BasicXform,1,StatisticBasedCase,36371104,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory
Modification,7,4,BasicXform,1,StatisticBasedCase,366088,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time
Modification,7,4,BasicXform,1,StatisticBasedCase,14960568,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory
M2MTransformation2,8,4,BasicXform,1,StatisticBasedCase,46529875,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time
M2MTransformation2,8,4,BasicXform,1,StatisticBasedCase,14967512,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory
M2MTransformation2,8,4,BasicXform,1,StatisticBasedCase,36436200,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory
M2MTransformation2,8,4,BasicXform,1,StatisticBasedCase,36436200,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory
