PhaseName,RunIndex,Size,MetricName,Sequence,Tool,Iteration,CaseName,Scenario,MetricValue
M2MTransformation2,2,16,PeakMemory,14,BATCH_OPTIMIZED-TEMPLATE,5,StatisticBasedCase,BasicXform,3059046568
M2MTransformation2,2,16,AverageMemory,14,BATCH_OPTIMIZED-TEMPLATE,5,StatisticBasedCase,BasicXform,1109805939
EMFResourceInitialization,2,1,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,735672
EMFResourceInitialization,2,1,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,11086616
Generation,2,1,Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,103719768
Generation,2,1,Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,13107440
Initialization,2,1,Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,106705181
Initialization,2,1,Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,13294368
Initialization,2,1,AverageMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,32679888
Initialization,2,1,PeakMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,32679888
M2MTransformation1,2,1,Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,58607018
M2MTransformation1,2,1,Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,13612040
M2MTransformation1,2,1,AverageMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,34780232
M2MTransformation1,2,1,PeakMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,34780232
Modification,2,1,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,161162
Modification,2,1,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,13612880
M2MTransformation2,2,1,Time,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,59854450
M2MTransformation2,2,1,Memory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,13622864
M2MTransformation2,2,1,AverageMemory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,35098760
M2MTransformation2,2,1,PeakMemory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,35098760
Modification,2,1,Time,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase,BasicXform,144153
Modification,2,1,Memory,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase,BasicXform,13623640
M2MTransformation2,2,1,Time,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase,BasicXform,51850298
M2MTransformation2,2,1,Memory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase,BasicXform,13632472
M2MTransformation2,2,1,AverageMemory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase,BasicXform,35109520
M2MTransformation2,2,1,PeakMemory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase,BasicXform,35109520
Modification,2,1,Time,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase,BasicXform,119989
Modification,2,1,Memory,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase,BasicXform,13632256
M2MTransformation2,2,1,Time,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase,BasicXform,46292463
M2MTransformation2,2,1,Memory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase,BasicXform,13639088
M2MTransformation2,2,1,PeakMemory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase,BasicXform,35118136
M2MTransformation2,2,1,AverageMemory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase,BasicXform,35118136
Modification,2,1,Time,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase,BasicXform,99544
Modification,2,1,Memory,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase,BasicXform,13639888
M2MTransformation2,2,1,Time,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase,BasicXform,38031774
M2MTransformation2,2,1,Memory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase,BasicXform,13648624
M2MTransformation2,2,1,PeakMemory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase,BasicXform,35125792
M2MTransformation2,2,1,AverageMemory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase,BasicXform,35125792
Modification,2,1,Time,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase,BasicXform,120196
Modification,2,1,Memory,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase,BasicXform,13649400
M2MTransformation2,2,1,Time,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase,BasicXform,35238456
M2MTransformation2,2,1,Memory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase,BasicXform,13656232
M2MTransformation2,2,1,AverageMemory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase,BasicXform,35135280
M2MTransformation2,2,1,PeakMemory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase,BasicXform,35135280
EMFResourceInitialization,1,16,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,233256
EMFResourceInitialization,1,16,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,11306160
Generation,1,16,Time,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,3208179122
Generation,1,16,Memory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,201861648
Initialization,1,16,Time,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,444813485
Initialization,1,16,Memory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,119422992
Initialization,1,16,AverageMemory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,164180256
Initialization,1,16,PeakMemory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,271448016
M2MTransformation1,1,16,Time,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,546826418
M2MTransformation1,1,16,Memory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,141189544
M2MTransformation1,1,16,AverageMemory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,226690244
M2MTransformation1,1,16,PeakMemory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,291050872
Modification,1,16,Time,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,3987311
Modification,1,16,Memory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,143118456
M2MTransformation2,1,16,Time,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,15915
M2MTransformation2,1,16,Memory,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,143119024
M2MTransformation2,1,16,AverageMemory,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,164572656
M2MTransformation2,1,16,PeakMemory,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,186026088
Modification,1,16,Time,7,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,BasicXform,1587881
Modification,1,16,Memory,7,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,BasicXform,143154912
M2MTransformation2,1,16,Time,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,BasicXform,15384
M2MTransformation2,1,16,Memory,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,BasicXform,143155680
M2MTransformation2,1,16,AverageMemory,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,BasicXform,186062652
M2MTransformation2,1,16,PeakMemory,8,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,StatisticBasedCase,BasicXform,186062544
Modification,1,16,Time,9,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,StatisticBasedCase,BasicXform,1470785
Modification,1,16,Memory,9,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,StatisticBasedCase,BasicXform,143192008
M2MTransformation2,1,16,Time,10,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,StatisticBasedCase,BasicXform,15247
M2MTransformation2,1,16,Memory,10,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,StatisticBasedCase,BasicXform,143193144
M2MTransformation2,1,16,PeakMemory,10,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,StatisticBasedCase,BasicXform,186099640
M2MTransformation2,1,16,AverageMemory,10,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,StatisticBasedCase,BasicXform,164646208
Modification,1,16,Time,11,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,StatisticBasedCase,BasicXform,1563666
Modification,1,16,Memory,11,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,StatisticBasedCase,BasicXform,143229208
M2MTransformation2,1,16,Time,12,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,StatisticBasedCase,BasicXform,16408
M2MTransformation2,1,16,Memory,12,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,StatisticBasedCase,BasicXform,143229800
M2MTransformation2,1,16,PeakMemory,12,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,StatisticBasedCase,BasicXform,186136864
M2MTransformation2,1,16,AverageMemory,12,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,StatisticBasedCase,BasicXform,164683432
Modification,1,16,Time,13,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,StatisticBasedCase,BasicXform,1503961
Modification,1,16,Memory,13,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,StatisticBasedCase,BasicXform,143266280
M2MTransformation2,1,16,Time,14,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,StatisticBasedCase,BasicXform,16958
M2MTransformation2,1,16,Memory,14,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,StatisticBasedCase,BasicXform,143266848
M2MTransformation2,1,16,AverageMemory,14,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,StatisticBasedCase,BasicXform,164720480
M2MTransformation2,1,16,PeakMemory,14,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,StatisticBasedCase,BasicXform,186173912
EMFResourceInitialization,2,8,Time,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,402493
EMFResourceInitialization,2,8,Memory,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,11213840
Generation,2,8,Time,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,692135177
Generation,2,8,Memory,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,35269368
Initialization,2,8,Time,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,276666937
Initialization,2,8,Memory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,34812136
Initialization,2,8,AverageMemory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,55259256
Initialization,2,8,PeakMemory,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,76744600
M2MTransformation1,2,8,Time,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,382198931
M2MTransformation1,2,8,Memory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,44689952
M2MTransformation1,2,8,AverageMemory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,99268688
M2MTransformation1,2,8,PeakMemory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,142239376
Modification,2,8,Time,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,3715555
Modification,2,8,Memory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,45598736
M2MTransformation2,2,8,Time,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,17397
M2MTransformation2,2,8,Memory,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,45599296
M2MTransformation2,2,8,AverageMemory,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,56342056
M2MTransformation2,2,8,PeakMemory,6,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,StatisticBasedCase,BasicXform,67084616
