MetricName,PhaseName,Scenario,Tool,Size,RunIndex,Sequence,Iteration,MetricValue,CaseName
PeakMemory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,14,5,3374016320,StatisticBasedCase
Time,EMFResourceInitialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,1,1,171438,StatisticBasedCase
Memory,EMFResourceInitialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,1,1,9525128,StatisticBasedCase
Time,Generation,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,2,1,119628875,StatisticBasedCase
Memory,Generation,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,2,1,12159960,StatisticBasedCase
Time,Initialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,3,1,58849546,StatisticBasedCase
Memory,Initialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,3,1,12132376,StatisticBasedCase
PeakMemory,Initialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,3,1,74190432,StatisticBasedCase
AverageMemory,Initialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,3,1,52715556,StatisticBasedCase
Time,M2MTransformation1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,4,1,46058921,StatisticBasedCase
Memory,M2MTransformation1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,4,1,12714368,StatisticBasedCase
AverageMemory,M2MTransformation1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,4,1,44345220,StatisticBasedCase
PeakMemory,M2MTransformation1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,4,1,55082632,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,5,1,191023,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,5,1,12714144,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,6,1,48292097,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,6,1,12719880,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,6,1,44927208,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,6,1,77139496,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,7,2,160947,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,7,2,12719656,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,8,2,48899876,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,8,2,12725800,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,8,2,98619856,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,8,2,55670144,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,9,3,148787,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,9,3,12725704,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,10,3,49292508,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,10,3,12736480,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,10,3,44938760,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,10,3,55676184,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,11,4,143009,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,11,4,12736280,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12,4,49209507,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12,4,12743192,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12,4,55686784,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12,4,44949360,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,13,5,210337,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,13,5,12743008,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,14,5,47660738,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,14,5,12749000,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,14,5,55693504,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,14,5,44956072,StatisticBasedCase
Time,EMFResourceInitialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,1,1,173070,StatisticBasedCase
Memory,EMFResourceInitialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,1,1,9861520,StatisticBasedCase
Time,Generation,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,2,1,14727069737,StatisticBasedCase
Memory,Generation,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,2,1,389002400,StatisticBasedCase
Time,Initialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,3,1,619404768,StatisticBasedCase
Memory,Initialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,3,1,37655560,StatisticBasedCase
PeakMemory,Initialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,3,1,241802344,StatisticBasedCase
AverageMemory,Initialization,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,3,1,161744988,StatisticBasedCase
Time,M2MTransformation1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,4,1,651633034,StatisticBasedCase
Memory,M2MTransformation1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,4,1,49997304,StatisticBasedCase
PeakMemory,M2MTransformation1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,4,1,613213904,StatisticBasedCase
AverageMemory,M2MTransformation1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,4,1,357410024,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,5,1,553916,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,5,1,49997320,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,6,1,599202051,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,6,1,50005400,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,6,1,369753008,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,6,1,625556944,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,7,2,388737,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,7,2,50005088,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,8,2,514547378,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,8,2,50008120,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,8,2,369760800,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,8,2,625564760,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,9,3,416411,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,9,3,50007904,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,10,3,481857611,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,10,3,50014624,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,10,3,689992104,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,10,3,369763632,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,11,4,311872,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,11,4,50014440,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,12,4,479275094,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,12,4,50021072,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,12,4,625574072,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,12,4,369770144,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,13,5,314395,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,13,5,50020888,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,14,5,479761822,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,14,5,50027968,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,14,5,369776628,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,32,3,14,5,625580616,StatisticBasedCase
Time,EMFResourceInitialization,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,1,1,237833,StatisticBasedCase
Memory,EMFResourceInitialization,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,1,1,9761624,StatisticBasedCase
Time,Generation,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,2,1,3136885735,StatisticBasedCase
Memory,Generation,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,2,1,104431680,StatisticBasedCase
Time,Initialization,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,3,1,555584903,StatisticBasedCase
Memory,Initialization,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,3,1,64273688,StatisticBasedCase
AverageMemory,Initialization,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,3,1,152869740,StatisticBasedCase
PeakMemory,Initialization,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,3,1,272219112,StatisticBasedCase
Time,M2MTransformation1,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,4,1,296206369,StatisticBasedCase
Memory,M2MTransformation1,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,4,1,79033992,StatisticBasedCase
AverageMemory,M2MTransformation1,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,4,1,149314320,StatisticBasedCase
PeakMemory,M2MTransformation1,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,4,1,213309248,StatisticBasedCase
Time,Modification,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,5,1,5489836,StatisticBasedCase
Memory,Modification,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,5,1,80188120,StatisticBasedCase
Time,M2MTransformation2,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,6,1,15506,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,6,1,80188992,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,6,1,122708872,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,6,1,122708872,StatisticBasedCase
Time,Modification,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,7,2,1778458,StatisticBasedCase
Memory,Modification,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,7,2,80209496,StatisticBasedCase
Time,M2MTransformation2,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,8,2,16575,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,8,2,80210368,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,8,2,122730248,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,8,2,122730248,StatisticBasedCase
