MetricValue,Iteration,Scenario,RunIndex,Tool,Size,Sequence,MetricName,CaseName,PhaseName
273373118,4,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,12,Time,StatisticBasedCase,M2MTransformation2
28279072,4,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,12,Memory,StatisticBasedCase,M2MTransformation2
221366400,4,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,12,AverageMemory,StatisticBasedCase,M2MTransformation2
371550528,4,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,12,PeakMemory,StatisticBasedCase,M2MTransformation2
277253,5,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,13,Time,StatisticBasedCase,Modification
28279888,5,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,13,Memory,StatisticBasedCase,Modification
269233303,5,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,14,Time,StatisticBasedCase,M2MTransformation2
28286672,5,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,14,Memory,StatisticBasedCase,M2MTransformation2
221374196,5,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,14,AverageMemory,StatisticBasedCase,M2MTransformation2
371558248,5,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,14,PeakMemory,StatisticBasedCase,M2MTransformation2
205367,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,1,Time,StatisticBasedCase,EMFResourceInitialization
11090840,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,1,Memory,StatisticBasedCase,EMFResourceInitialization
4065838853,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,2,Time,StatisticBasedCase,Generation
202687192,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,2,Memory,StatisticBasedCase,Generation
11927,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,3,Time,StatisticBasedCase,Initialization
13785728,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,3,Memory,StatisticBasedCase,Initialization
56727360,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,3,PeakMemory,StatisticBasedCase,Initialization
56727360,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,3,AverageMemory,StatisticBasedCase,Initialization
34665301005,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,4,Time,StatisticBasedCase,M2MTransformation1
17683520,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,4,Memory,StatisticBasedCase,M2MTransformation1
3507316320,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,4,PeakMemory,StatisticBasedCase,M2MTransformation1
1280482375,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,4,AverageMemory,StatisticBasedCase,M2MTransformation1
370159,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,5,Time,StatisticBasedCase,Modification
17683920,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,5,Memory,StatisticBasedCase,Modification
35499826953,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,6,Time,StatisticBasedCase,M2MTransformation2
18727472,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,6,Memory,StatisticBasedCase,M2MTransformation2
1080723462,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,6,AverageMemory,StatisticBasedCase,M2MTransformation2
3265978728,1,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,6,PeakMemory,StatisticBasedCase,M2MTransformation2
486938,2,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,7,Time,StatisticBasedCase,Modification
18727848,2,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,7,Memory,StatisticBasedCase,Modification
35249018835,2,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,8,Time,StatisticBasedCase,M2MTransformation2
19674576,2,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,8,Memory,StatisticBasedCase,M2MTransformation2
3265134104,2,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,8,PeakMemory,StatisticBasedCase,M2MTransformation2
1090711654,2,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,8,AverageMemory,StatisticBasedCase,M2MTransformation2
259537,3,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,9,Time,StatisticBasedCase,Modification
19674952,3,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,9,Memory,StatisticBasedCase,Modification
34670568957,3,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,10,Time,StatisticBasedCase,M2MTransformation2
20820096,3,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,10,Memory,StatisticBasedCase,M2MTransformation2
3253866984,3,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,10,PeakMemory,StatisticBasedCase,M2MTransformation2
1085702894,3,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,10,AverageMemory,StatisticBasedCase,M2MTransformation2
265952,4,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,11,Time,StatisticBasedCase,Modification
20820496,4,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,11,Memory,StatisticBasedCase,Modification
35345540034,4,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,12,Time,StatisticBasedCase,M2MTransformation2
21770896,4,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,12,Memory,StatisticBasedCase,M2MTransformation2
957940701,4,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,12,AverageMemory,StatisticBasedCase,M2MTransformation2
3246263448,4,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,12,PeakMemory,StatisticBasedCase,M2MTransformation2
253294,5,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,13,Time,StatisticBasedCase,Modification
21771272,5,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,13,Memory,StatisticBasedCase,Modification
35407966149,5,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,14,Time,StatisticBasedCase,M2MTransformation2
22722920,5,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,14,Memory,StatisticBasedCase,M2MTransformation2
1109287534,5,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,14,AverageMemory,StatisticBasedCase,M2MTransformation2
3241141848,5,BasicXform,2,BATCH_OPTIMIZED-TEMPLATE,16,14,PeakMemory,StatisticBasedCase,M2MTransformation2
1143309,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,Time,StatisticBasedCase,EMFResourceInitialization
11071384,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,1,Memory,StatisticBasedCase,EMFResourceInitialization
93369256,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,Time,StatisticBasedCase,Generation
13182656,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,2,Memory,StatisticBasedCase,Generation
117823510,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,3,Time,StatisticBasedCase,Initialization
13287096,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,3,Memory,StatisticBasedCase,Initialization
32667872,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,3,AverageMemory,StatisticBasedCase,Initialization
32667872,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,3,PeakMemory,StatisticBasedCase,Initialization
74104726,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,4,Time,StatisticBasedCase,M2MTransformation1
13618496,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,4,Memory,StatisticBasedCase,M2MTransformation1
34772960,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,4,PeakMemory,StatisticBasedCase,M2MTransformation1
34772960,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,4,AverageMemory,StatisticBasedCase,M2MTransformation1
143798,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,5,Time,StatisticBasedCase,Modification
13619264,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,5,Memory,StatisticBasedCase,Modification
80450779,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,6,Time,StatisticBasedCase,M2MTransformation2
13627648,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,6,Memory,StatisticBasedCase,M2MTransformation2
35105144,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,6,PeakMemory,StatisticBasedCase,M2MTransformation2
35105144,1,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,6,AverageMemory,StatisticBasedCase,M2MTransformation2
279809,2,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,7,Time,StatisticBasedCase,Modification
13627464,2,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,7,Memory,StatisticBasedCase,Modification
60991254,2,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,8,Time,StatisticBasedCase,M2MTransformation2
13636408,2,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,8,Memory,StatisticBasedCase,M2MTransformation2
56598688,2,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,8,PeakMemory,StatisticBasedCase,M2MTransformation2
35113344,2,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,8,AverageMemory,StatisticBasedCase,M2MTransformation2
148501,3,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,9,Time,StatisticBasedCase,Modification
13637176,3,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,9,Memory,StatisticBasedCase,Modification
48075140,3,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,10,Time,StatisticBasedCase,M2MTransformation2
13645256,3,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,10,Memory,StatisticBasedCase,M2MTransformation2
35123056,3,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,10,AverageMemory,StatisticBasedCase,M2MTransformation2
35123056,3,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,10,PeakMemory,StatisticBasedCase,M2MTransformation2
155431,4,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,11,Time,StatisticBasedCase,Modification
13646112,4,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,11,Memory,StatisticBasedCase,Modification
48322475,4,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,12,Time,StatisticBasedCase,M2MTransformation2
13654672,4,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,12,Memory,StatisticBasedCase,M2MTransformation2
35132016,4,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,12,AverageMemory,StatisticBasedCase,M2MTransformation2
35132016,4,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,12,PeakMemory,StatisticBasedCase,M2MTransformation2
187115,5,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,13,Time,StatisticBasedCase,Modification
13655440,5,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,13,Memory,StatisticBasedCase,Modification
41782007,5,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,14,Time,StatisticBasedCase,M2MTransformation2
13662480,5,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,14,Memory,StatisticBasedCase,M2MTransformation2
45883996,5,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,14,AverageMemory,StatisticBasedCase,M2MTransformation2
56626672,5,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,14,PeakMemory,StatisticBasedCase,M2MTransformation2
349874,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,Time,StatisticBasedCase,EMFResourceInitialization
11290760,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,1,Memory,StatisticBasedCase,EMFResourceInitialization
3180687555,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,2,Time,StatisticBasedCase,Generation
202581416,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,2,Memory,StatisticBasedCase,Generation
450160638,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,3,Time,StatisticBasedCase,Initialization
101543008,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,3,Memory,StatisticBasedCase,Initialization
164382120,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,3,AverageMemory,StatisticBasedCase,Initialization
271808608,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,3,PeakMemory,StatisticBasedCase,Initialization
674147769,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,4,Time,StatisticBasedCase,M2MTransformation1
123298536,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,4,Memory,StatisticBasedCase,M2MTransformation1
208970088,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,4,AverageMemory,StatisticBasedCase,M2MTransformation1
273426024,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,4,PeakMemory,StatisticBasedCase,M2MTransformation1
4063315,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,5,Time,StatisticBasedCase,Modification
125229616,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,5,Memory,StatisticBasedCase,Modification
15207,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,6,Time,StatisticBasedCase,M2MTransformation2
125230384,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,6,Memory,StatisticBasedCase,M2MTransformation2
168200760,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,6,PeakMemory,StatisticBasedCase,M2MTransformation2
146715572,1,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,6,AverageMemory,StatisticBasedCase,M2MTransformation2
1460570,2,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,7,Time,StatisticBasedCase,Modification
125268016,2,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,7,Memory,StatisticBasedCase,Modification
15359,2,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,8,Time,StatisticBasedCase,M2MTransformation2
125268584,2,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,8,Memory,StatisticBasedCase,M2MTransformation2
146753972,2,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,8,AverageMemory,StatisticBasedCase,M2MTransformation2
168239160,2,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,8,PeakMemory,StatisticBasedCase,M2MTransformation2
1588722,3,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,9,Time,StatisticBasedCase,Modification
125306912,3,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,9,Memory,StatisticBasedCase,Modification
15424,3,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,10,Time,StatisticBasedCase,M2MTransformation2
125307480,3,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,10,Memory,StatisticBasedCase,M2MTransformation2
168278056,3,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,10,AverageMemory,StatisticBasedCase,M2MTransformation2
168278056,3,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,10,PeakMemory,StatisticBasedCase,M2MTransformation2
1495300,4,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,11,Time,StatisticBasedCase,Modification
125346104,4,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,11,Memory,StatisticBasedCase,Modification
14850,4,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,12,Time,StatisticBasedCase,M2MTransformation2
125346696,4,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,12,Memory,StatisticBasedCase,M2MTransformation2
168317272,4,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,12,PeakMemory,StatisticBasedCase,M2MTransformation2
146832084,4,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,12,AverageMemory,StatisticBasedCase,M2MTransformation2
1584247,5,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,13,Time,StatisticBasedCase,Modification
125384944,5,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,13,Memory,StatisticBasedCase,Modification
15613,5,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,14,Time,StatisticBasedCase,M2MTransformation2
125385712,5,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,14,Memory,StatisticBasedCase,M2MTransformation2
168356196,5,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,14,AverageMemory,StatisticBasedCase,M2MTransformation2
168356088,5,BasicXform,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE,16,14,PeakMemory,StatisticBasedCase,M2MTransformation2
267978,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,1,Time,StatisticBasedCase,EMFResourceInitialization
11201368,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,1,Memory,StatisticBasedCase,EMFResourceInitialization
1046076268,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,2,Time,StatisticBasedCase,Generation
61414744,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,2,Memory,StatisticBasedCase,Generation
205681535,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,3,Time,StatisticBasedCase,Initialization
40600648,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,3,Memory,StatisticBasedCase,Initialization
66000804,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,3,AverageMemory,StatisticBasedCase,Initialization
98228816,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,3,PeakMemory,StatisticBasedCase,Initialization
372997377,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,4,Time,StatisticBasedCase,M2MTransformation1
50674960,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,4,Memory,StatisticBasedCase,M2MTransformation1
148027896,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,4,PeakMemory,StatisticBasedCase,M2MTransformation1
105057204,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,4,AverageMemory,StatisticBasedCase,M2MTransformation1
4373973,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,5,Time,StatisticBasedCase,Modification
51621104,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,5,Memory,StatisticBasedCase,Modification
16119,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,6,Time,StatisticBasedCase,M2MTransformation2
51621664,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,6,Memory,StatisticBasedCase,M2MTransformation2
62364424,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,6,AverageMemory,StatisticBasedCase,M2MTransformation2
73106984,1,BasicXform,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,6,PeakMemory,StatisticBasedCase,M2MTransformation2
